1)
"","x"
"1",1.91504998869549
"2",4.06122731106557
"3",-0.698815082766864
"4",8.37760073057507
"5",2.44250990536029
"6",2.47838647029346
"7",2.44756979398671
"8",2.35910449160741
"9",7.1876360918987
"10",4.2294157357987
"11",5.61173730757356
"12",1.29787531402331
"13",3.59417236672841
"14",1.10499714207942
"15",4.59026364782019
"16",1.46033327484262
"17",2.65915567006248
"18",5.98753574320123
"19",2.22815761030626
"20",2.9295954502056
"21",-0.103521904309851
"22",6.2328888633457
"23",2.34760029727068
"24",5.42201016169847
"25",6.26252019940652
"26",2.44384719018141
"27",5.6264661890246
"28",1.49876763382149
"29",4.23362137802935
"30",4.5776352107974
"31",0.593678073801144
"32",3.50522373663457
"33",1.76132757703255
"34",-1.20867895864834
"35",0.239206546926598
"36",0.943196701408348
"37",3.31104186566598
"38",5.24803205635886
"39",2.52008058200432
"40",3.1681679254512
"41",6.71612087615939
"42",3.03232456881336
"43",5.94133695408706
"44",6.6375467087264
"45",2.27268899233944
"46",4.5866741189735
"47",1.47573635511796
"48",-1.770993289612
"49",4.66498498425212
"50",-0.353675597151588
"51",2.65212766396774
"52",2.38372859380811
"53",3.36062558547004
"54",6.40205772586521
"55",3.98819653548351
"56",2.93803265616319
"57",0.329774951530463
"58",6.28167225850642
"59",2.32038011197403
"60",0.0670051552404945
"61",4.46004802893445
"63",0.974164624906504
"64",5.11896720180501
"65",1.2415487740653
"66",4.08027916712225
"67",5.90696714958078
"68",0.977615851844609
"69",7.61885365306051
"70",8.68625711136165
"71",1.42233223834535
"72",4.64891653318246
"73",3.64849851543519
"74",6.38129068290642
"75",9.19604682815522
"76",8.74753209268065
"77",2.95249559654581
"78",7.78353748564898
"79",11.3386515389468
"80",7.58335236367522
"81",8.30724813419972
"82",3.92127512564019
"83",7.72317998409706
"84",4.65944835956336
"85",2.19679917729923
"86",7.62159885443331
"87",2.78665850358381
"88",5.81718462796174
"89",1.8468740597761
"90",5.26124541451128
"91",6.90614062799187
"92",2.59922236563409
"93",7.52964149190145
"94",7.65892790291476
"95",3.61435141275993
"96",0.217210514119851
"97",4.68836771653327
"98",6.39220119791264
"99",10.470802044935
"100",7.18809856361257
"101",7.20018057503076
"102",9.7072508526707
"103",6.64138120813481
"104",3.1747421202445
"105",0.643218317913111
"106",5.41445615892991
"107",0.570273743253691
"108",3.71736560164696
"109",8.99768489956476
"110",4.07758429649358
"111",6.50334951446322
"112",7.09223580873137
"113",3.24234945305733
"114",9.39092581939908
"115",3.158402846355
"116",5.22626618046669
"117",3.19881995827034
"118",1.30064887221504
"119",7.51796388154453
"120",3.89849822384488
"121",5.63720185798784
"122",8.42003614876273
"123",3.95721423186801
"124",6.08825699657856
"125",8.14460196324834
"126",4.1187652328581
"127",2.40413299387614
"128",6.5473390412267
