1)
  season   size  speed mxPH mnO2   Cl  NO3   NH4  oPO4   PO4  Chla   a1   a2  a3  a4  a5   a6  a7
1 spring medium medium 8.00  6.3 69.0 6.24 131.7   6.5  49.3  3.80 35.5  4.7 0.0 4.9 9.2  4.6 2.7
2 spring medium medium 8.00  9.6 82.1 1.29 122.5  30.8 194.1 10.00 15.1 16.4 3.9 1.4 2.4  1.0 0.0
3 summer  small   high 7.09  3.2 40.0 5.33 346.7 246.0   6.0  0.80  0.0  2.7 2.4 0.0 0.0  0.0 4.9
4 spring  small    low 5.70  4.8 35.8 8.54  98.2   1.8 138.7  6.43 28.1  0.0 0.0 0.0 1.7 13.2 1.9
5 winter medium medium 6.60  9.0 10.1 4.07 233.7 104.7  97.6 11.70 55.5  2.9 2.6 0.0 2.9 20.4 1.0
6 spring  small medium 8.05 11.6 10.2 1.73  58.5  38.6  75.2  0.60  3.7 16.0 0.0 3.4 7.5  0.0 1.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,medium,medium,8,6.3,69,6.238,131.66701,6.5,49.333,3.8,4.7,4.9,4.6,2.7
2,spring,medium,medium,8,9.6,82.111,1.288,122.5,30.75,194.10001,10,16.4,1.4,1,0
3,summer,small,high,7.09,3.2,40.02,5.33,346.66699,246,6,0.8,2.7,0,0,4.9
4,spring,small,low,5.7,4.8,35.75,8.543,98.182,1.8,138.7,6.429,0,0,13.2,1.9
5,winter,medium,medium,6.6,9,10.078,4.071,233.7,104.727,97.58,11.7,2.9,0,20.4,1
6,spring,small,medium,8.05,11.62,10.207,1.732,58.5,38.625,75.207,0.6,16,3.4,0,1
7,summer,medium,medium,8.15,10.3,8.3,5.132,235,26.625,16,23.8,0,3.9,3.9,0
8,summer,medium,medium,7.9,10.6,54.19,1.287,102.75,44.667,211.66701,6.9,6.4,0,11.5,0
9,winter,small,low,8.6,5.3,48.429,1.32,10,NA,104,4.3,5.4,0,16.7,0
10,spring,medium,high,8.6,11,4.575,1.39,931.83301,8.692,214,2.8,2.6,0,0,3.9
11,summer,medium,medium,8.56,11.4,53.333,2.102,380,12.75,116.2,6.8,0,1.7,0,0
12,winter,small,high,8.3,11.3,16,1.527,103.333,48.667,14.354,1,0,11,1.9,0
13,winter,small,medium,8.43,9.6,NA,1.223,40,24,60,20.6,0,7.8,0,0
14,summer,large,high,8.5,9.4,8,8.759,130,23,17,68.05,28.2,0,0,2.7
15,autumn,small,high,7.5,9.6,43,3.734,103.333,61.556,235.66701,2,5,1.4,12.6,0
16,summer,small,medium,8.2,9.9,82.852,2.586,39,97.333,304,1.1,0,5,0,0
17,spring,small,medium,7.78,8,7,1.415,14.75,4,50,NA,12.7,0,0,2.9
18,winter,large,high,7.6,10.5,6.167,1.715,81,35.333,147.83299,2,2.1,1.9,29.5,0
19,autumn,small,low,6.5,4.4,29.775,0.445,24064,60,27.5,16,6,2.5,52.5,2.1
20,winter,medium,medium,8.7,10.7,5,2.67,245,53.625,287,6.8,0,3.5,22.3,1.4
21,summer,medium,high,7.29,8.1,129.375,4.825,3466.65991,467.5,320.39999,2,4.3,6.8,0,0
22,winter,large,high,8.4,11.8,65.333,4.508,914,15.6,NA,1.1,0,0,0,0
23,autumn,small,medium,7.93,7.7,5.273,3.245,112.857,51.111,6.75,0.5,25.4,4.3,22.9,0
24,winter,small,high,6.6,11.5,12.444,2.302,160,102.364,87.125,1.7,0,13.4,8.3,0
25,summer,small,low,7.72,6.7,61.05,5.13,128.571,41.5,11.5,5.5,8.6,3.5,0,2.5
26,spring,small,high,8.21,10.3,64.093,3.976,165,412.33301,23.485,3,0,0,10.1,1.4
