1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","spring","medium","medium",8,6.3,69,6.238,131.66701,6.5,49.333,3.8,35.5,4.7,0,4.9,9.2,4.6,2.7
"2","spring","medium","medium",8,9.6,82.111,1.288,122.5,30.75,194.10001,10,15.1,16.4,3.9,1.4,2.4,1,0
"3","summer","small","high",7.09,3.2,40.02,5.33,346.66699,246,6,0.8,0,2.7,2.4,0,0,0,4.9
"4","spring","small","low",5.7,4.8,35.75,8.543,98.182,1.8,138.7,6.429,28.1,0,0,0,1.7,13.2,1.9
"5","winter","medium","medium",6.6,9,10.078,4.071,233.7,104.727,97.58,11.7,55.5,2.9,2.6,0,2.9,20.4,1
"6","spring","small","medium",8.05,11.62,10.207,1.732,58.5,38.625,75.207,0.6,3.7,16,0,3.4,7.5,0,1
"7","summer","medium","medium",8.15,10.3,8.3,5.132,235,26.625,16,23.8,4.1,0,3.2,3.9,0,3.9,0
"8","summer","medium","medium",7.9,10.6,54.19,1.287,102.75,44.667,211.66701,6.9,0,6.4,1.1,0,1.2,11.5,0
"10","spring","medium","high",8.6,11,4.575,1.39,931.83301,8.692,214,2.8,1.2,2.6,1,0,0,0,3.9
"11","summer","medium","medium",8.56,11.4,53.333,2.102,380,12.75,116.2,6.8,3.3,0,0,1.7,0,0,0
"12","winter","small","high",8.3,11.3,16,1.527,103.333,48.667,14.354,1,31.8,0,0,11,0,1.9,0
"14","summer","large","high",8.5,9.4,8,8.759,130,23,17,68.05,0,28.2,2,0,1.9,0,2.7
"15","autumn","small","high",7.5,9.6,43,3.734,103.333,61.556,235.66701,2,1.9,5,9,1.4,3.4,12.6,0
"16","summer","small","medium",8.2,9.9,82.852,2.586,39,97.333,304,1.1,24.3,0,10.8,5,28.8,0,0
"18","winter","large","high",7.6,10.5,6.167,1.715,81,35.333,147.83299,2,0,2.1,3.1,1.9,7.7,29.5,0
"19","autumn","small","low",6.5,4.4,29.775,0.445,24064,60,27.5,16,0,6,9.9,2.5,1.2,52.5,2.1
