1)
  season  size  speed mxPH mnO2    Cl  NO3   NH4  oPO4   PO4 Chla   a1   a2 a3  a4   a5   a6  a7
1 spring small medium 7.77  9.4 41.16 0.23 578.0 105.0 122.0 54.4  0.0 20.1  0 7.7 34.3  0.0 0.0
2 autumn small medium 8.40 12.0  7.61 4.87 380.0  33.8 171.3 11.7 18.0  0.0  0 0.0  0.0  6.2 0.0
3 autumn large   high 7.55  3.6 40.02 8.69 346.7  39.0  75.2 17.5  1.7 53.6  1 0.0 19.7 22.3 0.0
4 winter small medium 7.57 10.0  8.69 2.32  98.2   1.0 138.7 13.1  3.3  0.0  0 1.7  0.0  0.0 2.9
5 winter small   high 9.06  9.0 77.00 1.42 155.0  34.6 304.0   NA  3.4  6.0  0 0.0  0.0  4.1 1.0
6 winter small    low 8.55 10.0 56.72 2.68  58.5  58.2  46.4  0.8 39.7 11.3  0 6.8  0.0 12.6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,small,medium,7.77,9.4,41.163,0.23,578,105,122,54.367,20.1,7.7,0,0
2,autumn,small,medium,8.4,12,7.613,4.87,380,33.8,171.272,11.7,0,0,6.2,0
3,autumn,large,high,7.55,3.6,40.02,8.688,346.66699,39,75.207,17.491,53.6,0,22.3,0
4,winter,small,medium,7.57,10,8.69,2.316,98.182,1,138.7,13.1,0,1.7,0,2.9
5,winter,small,high,9.06,9,77,1.42,155,34.636,304,NA,6,0,4.1,1
6,winter,small,low,8.55,10,56.717,2.68,58.5,58.222,46.438,0.8,11.3,6.8,12.6,0
7,spring,medium,low,8.15,10.3,5.83,0.846,235,2,35.2,20.87,1,3.9,2.2,0
8,spring,small,medium,8.2,7.1,11.867,4.99,627.27301,45.9,60,28.4,4.7,0,8.3,14.4
9,autumn,small,medium,7.83,7.8,32.3,1.651,18,3,120.889,5.2,1.7,6.9,0,0
10,spring,medium,high,8,9.9,17.75,1.39,12.5,1,11.818,NA,3.9,2.9,0,3.9
11,autumn,medium,high,8.4,9.7,104.818,4.17,42,12.75,111.375,20.8,0,0,0,0
12,autumn,large,medium,8.3,12.5,16,0.735,18.429,125.667,14.354,1,0,0,1.5,0
13,spring,medium,high,8,9.6,2.933,1.223,737.5,6,19,9.384,1.4,2.2,0,0
14,summer,small,high,7.8,6.8,77.364,8.759,10,46.667,17,68.05,0,0,0,0
15,summer,small,high,6.6,10.6,95.367,6.045,102.75,13,262.72699,4.9,5,0,16.6,1.4
16,autumn,large,high,7.09,11.5,10.936,3.07,14.75,238.2,138.5,1.1,40.9,2.5,1.6,0
17,spring,medium,medium,8.6,5.8,7,1.921,120,221.89999,81.558,22.7,4.1,0,6.8,1.2
18,summer,medium,high,8.5,12.1,NA,1.443,103.333,35.333,254.60001,15,0,1.9,29.5,3.2
19,summer,small,medium,7.19,3.4,9,1.203,32,8.692,6,9.882,18.4,1.3,17.8,0
20,winter,small,high,8.66,7.1,139.989,1.873,27.286,4,246.66701,6.8,0,4.6,0,10.2
21,autumn,large,high,8.2,10.7,3.5,4.825,244.60001,61.556,200.231,0.3,0,4,0,1.4
22,spring,medium,low,8.3,9.2,23.825,6.188,62.5,15.6,71,0.5,0,2.3,0,0
23,spring,small,medium,6.6,8.9,74.667,0.05,245,41.5,18,1.7,25.4,0,0,2.9
24,autumn,small,medium,8.7,7.7,54.19,2.55,208.33299,53.625,232.89999,2,0,3.7,3.9,2.1
25,spring,medium,medium,8.06,8.1,NA,2.8,10.5,12.889,11.5,1.4,0,3.5,0,0
