1)
  season   size  speed mxPH mnO2   Cl  NO3    NH4  oPO4   PO4 Chla   a1   a2   a3  a4   a5   a6  a7
1 winter medium   high 8.10  9.4 34.0 6.24  578.0 105.0   7.2 50.0  0.0  0.0  0.0 2.2 34.2  8.3 0.0
2 winter  large medium 8.40 10.2   NA 2.59 3466.7 234.5 102.3  1.3 16.8 15.7  1.2 1.4  0.0  1.0 0.0
3 winter medium medium 8.00 10.0 40.0 2.30  346.7 246.0  84.5 17.5 39.7 53.6  7.8 0.0  0.0  0.0 1.6
4 autumn  small medium 8.06  4.8 10.2 1.72   98.2  26.6  20.8  4.9  3.6 13.7  0.0 0.0  9.5  0.0 2.9
5 autumn  large   high 8.00  9.8 49.6 2.32  233.7  58.2  72.9  4.5  3.3  0.0 20.2 0.0  0.0  4.1 0.0
6 spring medium medium 7.19 10.1 65.3 3.78   58.5  13.0  98.2  0.9  1.2 11.3  0.0 3.9  0.0 12.6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,high,8.1,9.4,34.037,6.238,578,105,7.2,50,0,2.2,8.3,0
2,winter,large,medium,8.4,10.2,NA,2.586,3466.65991,234.5,102.333,1.3,15.7,1.4,1,0
3,winter,medium,medium,8,10,40.02,2.302,346.66699,246,84.46,17.491,53.6,0,0,1.6
4,autumn,small,medium,8.06,4.8,10.207,1.718,98.182,26.625,20.75,4.9,13.7,0,0,2.9
5,autumn,large,high,8,9.8,49.625,2.323,233.7,58.222,72.9,4.5,0,0,4.1,0
6,spring,medium,medium,7.19,10.1,65.333,3.778,58.5,13,98.25,0.9,11.3,3.9,12.6,0
7,summer,medium,low,7.4,10.7,26.76,3.414,235,61.182,201.778,3.2,7.6,4,1.4,1.5
8,summer,medium,low,8.2,10.8,82.852,4.99,51.111,44.667,60,6.4,12.4,4.6,0,2.1
9,autumn,large,low,8.35,9.4,NA,1.587,122.85,564.59998,221.278,6.5,0,6.9,0,0
10,winter,medium,high,7.9,9.9,4.575,3.9,178.57001,12,262.72699,3.7,8.9,4.3,17.7,3.9
11,summer,small,high,7.61,12,7.25,1.287,90,55,40.667,0.8,21.5,1.2,0,0
12,winter,small,high,8.3,8.1,9.055,1.003,5,412.33301,6.5,1,1.9,4.6,1.5,6
13,summer,medium,high,7.78,9.6,64,1.223,65.556,24,213,17.2,1.2,0,5.1,0
14,winter,large,high,7.4,3.4,104.818,9.773,10,18.667,17,68.05,6.4,2.7,5.5,2.7
15,winter,small,high,8.7,6.8,7,1.448,46.2,100,218,2,0,0,16.6,0
16,winter,small,high,8,9.2,187.183,3.726,14.75,97.333,52.875,1.1,0,5.7,1.6,0
17,spring,medium,medium,7.74,NA,4.7,4.17,39,51.111,NA,4.5,15.9,0,6.8,1.2
18,spring,medium,medium,7.9,NA,136,1.443,35,196.62,47,24.556,28,0,42.1,3.2
19,summer,small,high,6.6,9.6,61.05,2.102,3515,16.833,27.5,22.5,0,4.3,0,1
20,winter,medium,high,8.5,6.3,5,6.225,245,209.85699,236,6.8,0,0,7.9,31.2
21,autumn,small,medium,9.5,8.4,3.5,4.825,83.75,467.5,586,1.1,38.8,0,11.5,1.4
22,spring,small,high,8.3,4.9,11.867,0.735,914,267.75,285.71399,0.5,7.5,0,0,1.6
23,autumn,small,medium,7.75,9,29.5,0.86,429.20001,125.667,18,2.86,25.4,2.5,0,0
24,winter,small,high,7.2,5.3,50,1.715,13.5,61.556,87.125,0.3,0,1.9,0,0
25,spring,small,medium,8.4,5.3,10.936,5.13,124.364,41.5,10.75,16,0,3.5,0,0
26,autumn,small,medium,7.6,6,87,5.456,120,50.889,279.06601,3,1.4,0,10.1,0
27,winter,large,medium,8.7,8.4,22.286,5.164,28,109,252.5,2,38.5,2.3,0,0
28,summer,small,medium,9.1,8.1,69,3.02,20,236.39999,43.5,20.829,2,0,1.5,0
29,summer,small,medium,8,5.5,8.69,1.67,153,12,88.5,0.8,0,0,5.9,2.5
30,autumn,large,medium,6.6,9.4,9,8.543,723.66699,36.3,277.33301,3,12,3.4,0,1.9
31,summer,medium,medium,7,8.3,8.3,0.825,46.5,19.111,142,9,13.2,0,1.8,7.8
32,summer,medium,high,8.2,10.3,26,3.78,60,16.8,108,92.667,0,0,0,2.2
33,summer,small,high,7.4,9.5,34.5,3.07,160,1.8,56.091,21.22,1,0,42.7,1.2
34,summer,small,high,8.5,11.21,46.167,0.23,170.909,24.667,253.25,31.738,5.4,6.8,11.1,0
35,spring,medium,low,8.27,10.6,7,3.316,89.6,34.5,69.93,5.45,0,0,0,2.2
36,spring,small,medium,7.9,11.9,38.125,0.73,25.833,16,44.136,7.3,11.2,0,20.4,1
37,autumn,medium,medium,8,10.9,32.54,1.527,142,9,22.9,2.3,0,0,0,2.1
38,summer,small,high,8.21,8.2,5.273,10.416,175,2.5,3,28.4,1.7,1.1,0,1.2
39,spring,large,medium,8.3,11.7,NA,9.248,49,35.333,6,6.209,12.7,3.7,31.8,30.1
40,summer,small,medium,8.4,10.5,40.226,3.351,43.75,182.42,183.66701,17.2,1.7,1.9,0,0
41,winter,small,low,8,1.8,53,0.23,102.75,58.875,11.5,53.1,0,0,2.4,1
42,spring,medium,high,8.5,7.1,54.19,1.42,60.11,10.583,175.04601,13.2,21.7,0,8.3,16.7
43,spring,medium,high,8.3,8.2,47.778,1.47,76,2,124.2,NA,40.9,0,0,0
44,summer,small,high,7.6,11.1,173.75,7.83,16.2,276.85001,14,12.32,3.1,0,0,0
45,winter,small,low,8.05,8.5,69.75,4.555,42,6.5,57.833,41,12,0,5.5,0
