1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","medium","high",8.1,9.4,34.037,6.238,578,105,7.2,50,0,0,0,2.2,34.2,8.3,0
"3","winter","medium","medium",8,10,40.02,2.302,346.66699,246,84.46,17.491,39.7,53.6,7.8,0,0,0,1.6
"4","autumn","small","medium",8.06,4.8,10.207,1.718,98.182,26.625,20.75,4.9,3.6,13.7,0,0,9.5,0,2.9
"5","autumn","large","high",8,9.8,49.625,2.323,233.7,58.222,72.9,4.5,3.3,0,20.2,0,0,4.1,0
"6","spring","medium","medium",7.19,10.1,65.333,3.778,58.5,13,98.25,0.9,1.2,11.3,0,3.9,0,12.6,0
"7","summer","medium","low",7.4,10.7,26.76,3.414,235,61.182,201.778,3.2,0,7.6,13.5,4,1.7,1.4,1.5
"8","summer","medium","low",8.2,10.8,82.852,4.99,51.111,44.667,60,6.4,0,12.4,2.1,4.6,8.1,0,2.1
"10","winter","medium","high",7.9,9.9,4.575,3.9,178.57001,12,262.72699,3.7,17,8.9,3.9,4.3,0,17.7,3.9
"11","summer","small","high",7.61,12,7.25,1.287,90,55,40.667,0.8,14.7,21.5,0,1.2,2.9,0,0
"12","winter","small","high",8.3,8.1,9.055,1.003,5,412.33301,6.5,1,43.7,1.9,25.9,4.6,18.7,1.5,6
"13","summer","medium","high",7.78,9.6,64,1.223,65.556,24,213,17.2,43.5,1.2,2.7,0,10.2,5.1,0
"14","winter","large","high",7.4,3.4,104.818,9.773,10,18.667,17,68.05,0,6.4,0,2.7,20,5.5,2.7
"15","winter","small","high",8.7,6.8,7,1.448,46.2,100,218,2,41,0,3.4,0,0,16.6,0
"16","winter","small","high",8,9.2,187.183,3.726,14.75,97.333,52.875,1.1,24.3,0,8,5.7,19,1.6,0
"19","summer","small","high",6.6,9.6,61.05,2.102,3515,16.833,27.5,22.5,3.3,0,9.9,4.3,2.2,0,1
"20","winter","medium","high",8.5,6.3,5,6.225,245,209.85699,236,6.8,35.5,0,22.9,0,10.6,7.9,31.2
"21","autumn","small","medium",9.5,8.4,3.5,4.825,83.75,467.5,586,1.1,58.7,38.8,7,0,0,11.5,1.4
"22","spring","small","high",8.3,4.9,11.867,0.735,914,267.75,285.71399,0.5,0,7.5,23.2,0,0,0,1.6
"23","autumn","small","medium",7.75,9,29.5,0.86,429.20001,125.667,18,2.86,13.6,25.4,0,2.5,0,0,0
"24","winter","small","high",7.2,5.3,50,1.715,13.5,61.556,87.125,0.3,3.4,0,1,1.9,0,0,0
"25","spring","small","medium",8.4,5.3,10.936,5.13,124.364,41.5,10.75,16,2.2,0,3.3,3.5,0,0,0
"26","autumn","small","medium",7.6,6,87,5.456,120,50.889,279.06601,3,1.9,1.4,0,0,1.4,10.1,0
"27","winter","large","medium",8.7,8.4,22.286,5.164,28,109,252.5,2,66,38.5,0,2.3,1.2,0,0
"28","summer","small","medium",9.1,8.1,69,3.02,20,236.39999,43.5,20.829,30.3,2,0,0,2.7,1.5,0
