1)
  season   size  speed mxPH mnO2    Cl  NO3    NH4  oPO4   PO4  Chla   a1   a2  a3   a4   a5   a6
1 winter medium medium 8.00  9.4 11.00 6.24  643.0 105.0 124.2 54.37  2.9  4.7 0.0  4.3 11.7 21.4
2 spring  small medium 8.70 11.1 29.20 1.87 1495.0  33.8  76.3  1.30 32.5 15.7 0.0  2.4  0.0  0.0
3 winter  small   high 8.00  3.4 44.00 5.33   62.5  21.1  46.4    NA 18.9  0.0 4.8 11.5  0.0  0.0
4 spring medium medium 8.53  4.8 15.54 0.91 1386.2 137.6 296.0 24.56  2.4  0.0 0.0  6.6  1.7  0.0
5 summer  small    low 8.66 11.4  3.27 1.42   96.7 197.8 170.0 20.87 55.5  3.8 0.0  0.0  9.9  4.1
6 autumn medium   high 7.19 10.1  4.33 3.68   89.6  77.3 116.2  5.62  1.2 11.3 1.0  4.0  3.6  0.0
   a7
1 0.0
2 1.9
3 0.0
4 0.0
5 1.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,medium,8,9.4,11,6.238,643,105,124.2,54.367,4.7,4.3,21.4,0
2,spring,small,medium,8.7,11.1,29.2,1.87,1495,33.8,76.333,1.3,15.7,2.4,0,1.9
3,winter,small,high,8,3.4,44,5.33,62.5,21.083,46.438,NA,0,11.5,0,0
4,spring,medium,medium,8.53,4.8,15.541,0.91,1386.25,137.60001,296,24.556,0,6.6,0,0
5,summer,small,low,8.66,11.4,3.275,1.42,96.667,197.83299,170,20.87,3.8,0,4.1,1
6,autumn,medium,high,7.19,10.1,4.326,3.678,89.6,77.333,116.2,5.62,11.3,4,0,0
7,summer,large,medium,8.1,7.6,17.75,5.132,43.75,36.3,7.654,NA,1,0,0,0
8,summer,medium,medium,8.5,8.5,4.545,2.954,8,35.333,152.33299,4.5,4.6,0,0,0
9,winter,medium,medium,7.5,7.8,136,1.32,122.85,16,104,4.3,4.6,1.7,0,1.4
10,summer,medium,high,8.1,11.62,32.92,2.273,132.25,246,47,5.8,12.7,0,0,3.9
11,summer,medium,medium,8.4,11.6,12.536,2.67,101,12.75,253.25,6.209,0,0,0,5.5
12,summer,small,high,8.3,9.6,16,6.188,28,NA,14.354,1,4.3,1.3,0,31.6
13,winter,small,medium,8.2,9.4,81.333,3.833,92,104.5,213,NA,0,7.8,0,0
14,summer,small,high,7.91,9.8,77.364,8.759,10,57.6,173.75,30.4,0,1,0,2.7
15,summer,large,high,7.61,9.6,12.146,1.448,6400,3,624.73297,NA,5,0,16.6,2.9
16,winter,large,high,7.55,11.1,4.7,3.773,197.909,97.333,194.10001,4,1,1.6,10.1,2.2
17,spring,medium,medium,7.78,8.3,47.778,4.535,39,18.667,175.04601,16,53.6,0,6.8,0
18,autumn,medium,high,7.14,10.3,NA,1.732,103.333,191.75,183.66701,2.1,3.9,1.9,0,1.5
19,summer,small,low,9,6.5,65.75,0.445,271.25,16,391.75,2,4.1,0,1.9,0
20,autumn,small,medium,7.7,11,49.625,3.685,245,4,287,6.8,0,4.6,0,1.4
21,summer,small,medium,7.83,3.2,9.055,2.231,12.5,14.667,84,14.775,0,2.1,11.5,1.4
22,spring,small,high,7.57,9.2,22.455,1.715,105.556,144,285.71399,20.829,0,0,0,14.4
23,autumn,large,low,7.75,8.7,63.51,0.63,102.75,125.667,18,2.8,25.4,1.2,12.4,0
24,winter,large,high,7.2,5.3,9,0.735,2167.37012,39,233.5,13.1,0,1,0,3.2
25,spring,large,high,7.79,7.1,29.5,1.587,235,28.625,11.5,11.6,0,3.5,10.3,0
26,spring,medium,high,8.21,9.7,12.182,3.976,165,9,84.46,3,0,0,1.6,5.8
27,autumn,medium,high,7.4,6.3,26,0.461,11.111,3.8,61.444,NA,40.7,1.9,0,0
28,autumn,small,high,6.8,10.7,77,6.2,160,9,NA,75,0,3.4,0,3.9
29,spring,small,high,8,1.8,5.273,1.003,20,36.909,186,0.8,0,0,0,0
30,autumn,medium,medium,8.2,6.7,53,8.543,205.66701,7.3,771.59998,0.5,0,0,42.1,3.6
31,autumn,medium,medium,7.4,9.3,8.3,5.099,49,19.111,211.66701,2.1,6.7,0,0,7.8
32,winter,medium,medium,8.7,10.3,26,3.78,133.636,132.5,108,25,1,0,0,0
33,winter,medium,high,7.4,5.4,53.333,3.02,124.167,175.66701,6,21.22,28,0,42.7,10.8
34,spring,small,high,8.4,11.7,53,NA,12.727,1,87.125,1.7,0,6.8,0,0
35,winter,small,high,8.27,8.6,45.273,3.316,18.429,220.75,102.571,5.45,12.7,7.6,0,2.2
36,summer,small,medium,8.7,8.4,130.67,4.99,308.75,1.625,265.25,7.3,0,0,0,1
37,winter,large,medium,8.3,10.9,NA,5.456,98.333,196.62,85,20.578,1.4,3.9,0,2.1
38,autumn,small,medium,8.4,8.2,5,2.818,101.667,2.5,607.16699,9.882,1.7,6.8,0,0
39,winter,medium,high,8.1,6.8,54.143,2.102,65.556,32,82.444,3.7,11.6,3.7,0,30.1
40,winter,small,high,7.5,10.5,64,3.351,228.75,182.42,254.60001,50,0,0,22.3,2.7
41,winter,small,medium,8.84,9.6,46.167,6.096,192.5,39,361,0.3,7.5,0,0,0
42,spring,large,high,7.8,11.4,NA,0.923,22.5,2,50,13.2,3.1,0,0,0
43,winter,large,high,8.3,13.1,39,5.099,1911,10.583,127.222,22.5,40.9,44.6,5.5,0
44,summer,small,high,8.3,8.8,3.86,7.83,51.429,276.85001,6,11.84,7,0,7.9,0
45,winter,medium,high,8.3,7.6,69.75,4.555,42,10.8,57.833,3.9,3.4,0,0,1.2
46,winter,medium,high,7.9,9.2,7,0.536,38.111,53.625,586,18.33,0,3.2,0,0
47,summer,small,medium,8.1,10.6,40.167,0.376,35,205.636,4,0.9,12.7,2.2,2,9.7
48,summer,medium,low,8.1,4.3,9,1.374,49.5,5,56.667,3,4.9,0,0,0
49,spring,medium,low,7.8,11.8,15,5.13,142,109,146.452,2,0,1,0,2.1
50,summer,small,medium,7.8,7.7,30.523,0.886,370,22.444,20.812,1.3,7.4,0,1.5,0
51,autumn,large,high,8.15,8.1,9,9.08,33.636,12.75,72.9,0.2,0,0,0,1.4
52,summer,large,medium,7.9,6.9,63.625,6.225,170.909,54.1,46.6,4.5,8.7,0,17.1,1.1
53,winter,medium,high,8.5,11,43.09,1.172,28.333,46.667,116.2,0.5,0,0,0,1.4
54,summer,large,medium,8.3,11.8,66.3,3.765,130,51.111,140.22,0.8,0,0,0,0
55,winter,medium,medium,8,9.2,1.17,1.288,10.5,428.75,344.60001,1.4,0,4.1,0,5.9
56,autumn,small,medium,8.7,4.9,32.54,2.586,5,282.16699,205.875,28.4,1.7,0,0,0
57,autumn,large,high,8.06,7.7,23.825,1.32,3515,62.625,292.625,2,2.7,0,0,1.9
58,summer,medium,medium,8.58,9,6.3,0.642,15,61.182,6,NA,5.4,1,0,1.4
59,spring,medium,high,6.6,11.7,43.97,3.414,43.75,60.833,219.909,7.3,5.5,0,29.5,0
60,autumn,small,low,8.5,12.1,NA,0.825,98.182,27,79.75,NA,12,1.7,6.7,0
61,spring,small,medium,8.6,10.5,61.05,5.97,46.5,264.89999,388.16699,65.7,3.8,0,0,6.1
62,spring,small,high,9.1,NA,47,0.267,66.667,78.333,111.75,4.3,9.6,0,0,0
63,spring,small,high,7.45,8.8,187.183,5.414,NA,25.167,56.091,0.3,0,0,1.4,0
64,winter,medium,high,7.9,9.7,8,1.203,15,41.5,6.75,8.1,4.3,0,0,1.9
65,summer,large,high,7.9,11.3,NA,1.474,120,24,7.2,2.9,0,5,1.4,2.4
66,spring,large,medium,7.44,11.7,3.136,0.73,131.66701,72,75.904,6.167,1.4,1.2,0,0
