1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","medium","medium",8,9.4,11,6.238,643,105,124.2,54.367,2.9,4.7,0,4.3,11.7,21.4,0
"2","spring","small","medium",8.7,11.1,29.2,1.87,1495,33.8,76.333,1.3,32.5,15.7,0,2.4,0,0,1.9
"4","spring","medium","medium",8.53,4.8,15.541,0.91,1386.25,137.60001,296,24.556,2.4,0,0,6.6,1.7,0,0
"5","summer","small","low",8.66,11.4,3.275,1.42,96.667,197.83299,170,20.87,55.5,3.8,0,0,9.9,4.1,1
"6","autumn","medium","high",7.19,10.1,4.326,3.678,89.6,77.333,116.2,5.62,1.2,11.3,1,4,3.6,0,0
"8","summer","medium","medium",8.5,8.5,4.545,2.954,8,35.333,152.33299,4.5,0,4.6,3.9,0,15.3,0,0
"9","winter","medium","medium",7.5,7.8,136,1.32,122.85,16,104,4.3,56.8,4.6,1.7,1.7,8.2,0,1.4
"10","summer","medium","high",8.1,11.62,32.92,2.273,132.25,246,47,5.8,17,12.7,1,0,6.4,0,3.9
"11","summer","medium","medium",8.4,11.6,12.536,2.67,101,12.75,253.25,6.209,8.7,0,0,0,0,0,5.5
"14","summer","small","high",7.91,9.8,77.364,8.759,10,57.6,173.75,30.4,24.8,0,11.8,1,1.9,0,2.7
"16","winter","large","high",7.55,11.1,4.7,3.773,197.909,97.333,194.10001,4,9.2,1,1.4,1.6,0,10.1,2.2
"17","spring","medium","medium",7.78,8.3,47.778,4.535,39,18.667,175.04601,16,2.2,53.6,0,0,0,6.8,0
"19","summer","small","low",9,6.5,65.75,0.445,271.25,16,391.75,2,39.7,4.1,3.3,0,0,1.9,0
"20","autumn","small","medium",7.7,11,49.625,3.685,245,4,287,6.8,35.5,0,13.6,4.6,1.2,0,1.4
"21","summer","small","medium",7.83,3.2,9.055,2.231,12.5,14.667,84,14.775,0,0,0,2.1,4.1,11.5,1.4
"22","spring","small","high",7.57,9.2,22.455,1.715,105.556,144,285.71399,20.829,3.1,0,0,0,6.1,0,14.4
"23","autumn","large","low",7.75,8.7,63.51,0.63,102.75,125.667,18,2.8,32.8,25.4,2,1.2,27.6,12.4,0
"24","winter","large","high",7.2,5.3,9,0.735,2167.37012,39,233.5,13.1,2.5,0,0,1,0,0,3.2
"25","spring","large","high",7.79,7.1,29.5,1.587,235,28.625,11.5,11.6,5.3,0,0,3.5,1.4,10.3,0
"26","spring","medium","high",8.21,9.7,12.182,3.976,165,9,84.46,3,17.3,0,0,0,13.3,1.6,5.8
"29","spring","small","high",8,1.8,5.273,1.003,20,36.909,186,0.8,31.1,0,7.5,0,0,0,0
"30","autumn","medium","medium",8.2,6.7,53,8.543,205.66701,7.3,771.59998,0.5,3.3,0,4.7,0,0,42.1,3.6
"31","autumn","medium","medium",7.4,9.3,8.3,5.099,49,19.111,211.66701,2.1,1.4,6.7,1.7,0,7.5,0,7.8
"32","winter","medium","medium",8.7,10.3,26,3.78,133.636,132.5,108,25,2.2,1,1.9,0,1,0,0
"33","winter","medium","high",7.4,5.4,53.333,3.02,124.167,175.66701,6,21.22,0,28,1.9,0,2.5,42.7,10.8
"35","winter","small","high",8.27,8.6,45.273,3.316,18.429,220.75,102.571,5.45,0,12.7,0,7.6,0,0,2.2
"36","summer","small","medium",8.7,8.4,130.67,4.99,308.75,1.625,265.25,7.3,18.3,0,0,0,0,0,1
"38","autumn","small","medium",8.4,8.2,5,2.818,101.667,2.5,607.16699,9.882,86.6,1.7,2,6.8,0,0,0
"39","winter","medium","high",8.1,6.8,54.143,2.102,65.556,32,82.444,3.7,2,11.6,7.3,3.7,8.1,0,30.1
"40","winter","small","high",7.5,10.5,64,3.351,228.75,182.42,254.60001,50,43.5,0,7.5,0,0,22.3,2.7
"41","winter","small","medium",8.84,9.6,46.167,6.096,192.5,39,361,0.3,0,7.5,2.9,0,7.7,0,0
"43","winter","large","high",8.3,13.1,39,5.099,1911,10.583,127.222,22.5,0,40.9,0,44.6,0,5.5,0
"44","summer","small","high",8.3,8.8,3.86,7.83,51.429,276.85001,6,11.84,7.2,7,2.4,0,0,7.9,0
"45","winter","medium","high",8.3,7.6,69.75,4.555,42,10.8,57.833,3.9,0,3.4,1.4,0,0,0,1.2
"46","winter","medium","high",7.9,9.2,7,0.536,38.111,53.625,586,18.33,16.6,0,1.2,3.2,2.9,0,0
"47","summer","small","medium",8.1,10.6,40.167,0.376,35,205.636,4,0.9,2.4,12.7,4.9,2.2,0,2,9.7
