1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","medium","medium",7.74,6.2,41.163,6.238,25,102,79.75,4.5,1.9,0,10.2,2.9,2.2,8.3,2
"2","summer","small","medium",9.1,11,7.333,1.288,10,104.222,215.5,1.3,15.1,15.7,0,2.6,0,0,4.9
"4","spring","small","low",7.78,7.6,4.7,2.316,14.75,36,61.5,50.225,9.2,5.5,18.9,2.4,1.7,8.2,2.9
"5","autumn","small","medium",8,9,64.093,1.42,233.7,58.222,201.778,5.544,0,0,0,0,0,4.1,0
"6","autumn","small","high",7.19,12,28.333,3.778,161.81799,13,75.207,3.2,16.8,25.4,9.4,4,8.6,4.5,6.6
"7","summer","medium","medium",8.56,10.3,3.275,2.231,25.833,32,249.25,3.2,39.1,1,3.2,3.5,5.8,1.4,30.1
"8","autumn","small","medium",7.4,10.6,139.989,9.08,46.2,10.8,6,7.9,0,0,3.9,1,10.2,0,1.1
"10","autumn","medium","medium",8.1,8.2,130.67,1.39,178.57001,8.692,23,14.7,17,11.3,1,0,8.6,17,3.9
"11","winter","small","high",7.62,10.2,53.333,0.406,56.364,19.111,279.06601,0.8,15.5,21.6,0,12.7,0,0,0
"12","summer","medium","medium",8.3,7.1,87,1.003,371.11099,137.60001,14.354,53.1,32.1,21.7,4.7,0,0,1.5,0
"13","winter","medium","high",8.06,9.6,64,4.665,49.5,24,213,1.3,3.4,4.7,1.2,0,11.5,0,10.2
"14","summer","small","high",7.72,3.4,8.3,4.99,10,144,17,0.5,74.2,6.4,0,1.7,1.9,31.8,2.7
"15","autumn","small","high",8.66,11.7,54.19,1.448,46.5,13,188.66701,2,2.2,21.5,0,5,6.4,0,3.6
"18","summer","medium","high",8.87,11.5,7,1.443,28,180.66701,138.7,5.609,0,5,0,1.9,7.7,12.7,0
"19","autumn","small","low",7.45,6.8,29.775,5.078,3466.65991,10,27.5,7.6,50.6,0,5.6,4.3,0,0,6
"20","winter","medium","medium",8.5,10.7,5,2.822,197.909,564.59998,287,0.8,35.5,8.9,13.6,0,10.6,0,1.4
"21","spring","medium","high",7.83,10.7,3.5,1.32,931.83301,467.5,82.444,1,0,0,0,0,16.2,0,0
"23","autumn","small","medium",8.3,10.3,73.25,3.245,18.429,125.667,171.272,2,23.2,3.4,7,2.5,0,6.4,0
"24","spring","small","low",7.2,5.3,63.292,1.715,723.66699,41.5,75.904,20.6,0,1.4,0,3.7,0,0,1
"25","winter","small","medium",7.84,3.3,63.51,0.866,11.111,60,143.75,21.22,13,8.6,1.2,0,0,0,0
"26","spring","large","high",8.1,5.8,32.3,1.287,103.333,9,98.143,3,0,0,8.8,0,12.4,22.9,1
"29","summer","small","medium",8,6.7,8.69,1.572,153,3.222,121,6.429,1.6,0,2.3,0,11.2,0,1.6
"30","spring","medium","low",7.7,10.4,39,5.456,208.33299,12,183.66701,9,0,0,1,4.1,0,0,0
"31","autumn","medium","medium",6.8,9.3,50,3.33,165,28.625,607.16699,0.8,2.8,16,16,6.8,7.5,0,0
"32","winter","medium","high",8.5,11.8,7,6.2,40,132.5,197.14301,26.8,3.6,0,1.9,0,22.1,11.1,2.2
"33","winter","small","high",7.4,9.5,20.083,3.02,217.75,282.16699,102.571,1.4,1.2,0,2.4,0,5.9,42.7,1.2
"34","spring","large","medium",8.7,11.3,49.625,1.172,461.875,50.889,35.2,30.4,0,9.1,0,6.8,0,0,0
"35","winter","small","high",7.83,10.7,12.536,3.316,103,6.5,26,3.7,24,19.6,3.3,0,20,17,10.8
"36","summer","small","medium",8.7,8.4,44,1.415,27.5,412.33301,218,13,18.3,0,0,0,19.7,0,1
"37","winter","large","high",8.8,10.9,1.17,1.587,142,41.3,146.452,0.6,17.1,16,1.1,1,0,0,4.3
"38","winter","medium","low",8,8.2,194.75,10.416,15,2.5,205.875,0.8,12.6,1.9,2,1.1,2.7,0,0
"39","winter","medium","medium",8.84,11,66.3,1.208,27.286,196.62,116.2,13.1,2,12.7,0,1.8,0,0,0
"40","winter","large","high",8.4,10.5,41.25,3.351,228.75,10.583,320.39999,17.2,14.7,2.7,7.5,0,2.7,0,0
"41","spring","small","medium",9,6.3,57.75,0.536,51.111,16.833,11.818,5.45,12.3,5.9,5,0,0,2.6,0
"42","spring","medium","high",7.91,11.7,51.113,4.87,245,3,187.05701,2.5,2.2,0,0,0,3.2,0,6.1
"43","winter","small","high",8.3,10.7,50,2.64,2082.8501,2,124.2,0.5,12.7,40.9,19.7,0,0,0,0
"44","spring","large","medium",8.1,9.4,0.222,0.77,10,276.85001,313.60001,11.84,0,10.4,1.2,0,8.7,7.9,1.4
"45","summer","small","high",8.4,8.5,69.75,4.555,10.5,34.5,7,4.5,6.7,28.2,25.3,6.9,3.1,0,0
"46","winter","small","high",8.3,7.8,47,6.096,32.727,78.333,130.75,2.15,1.5,1.5,0,5.7,2.4,64.6,0
