1)
  season   size  speed mxPH mnO2   Cl   NO3   NH4 oPO4   PO4 Chla   a1   a2  a3  a4   a5   a6   a7
1 winter medium medium 8.00  3.2 41.2 3.678 578.0 62.6 122.0 20.9 32.1  3.4 1.4 0.0  6.5  8.3  1.4
2 autumn medium medium 7.80  9.9 29.2 4.930 153.0 77.3  45.0  1.0  0.0  1.2 4.1 0.0  0.0  0.0  0.0
3 autumn medium medium 7.60  8.2 40.0 3.734 103.3 19.7 388.2   NA  0.0  0.0 1.7 4.1 20.0  0.0 14.4
4 summer  small medium 8.30  7.8 30.5 0.381  98.2 61.2 138.7  3.2  2.4  0.0 1.9 0.0  0.0  0.0  3.9
5 winter  small   high 8.00  9.0   NA 1.420 124.0  1.0  22.9  0.3  0.0  6.7 1.5 0.0  0.0  0.0  0.0
6 summer medium medium 7.19  6.3 94.0 4.030  58.5 13.0  75.2  0.5 52.2 72.6 0.0 4.0  1.7 12.6  0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,medium,8,3.2,41.163,3.678,578,62.625,122,20.87,3.4,0,8.3,1.4
2,autumn,medium,medium,7.8,9.9,29.2,4.93,153,77.333,45,1,1.2,0,0,0
3,autumn,medium,medium,7.6,8.2,40.02,3.734,103.333,19.727,388.16699,NA,0,4.1,0,14.4
4,summer,small,medium,8.3,7.8,30.523,0.381,98.182,61.182,138.7,3.2,0,0,0,3.9
5,winter,small,high,8,9,NA,1.42,124,1,22.9,0.3,6.7,0,0,0
6,summer,medium,medium,7.19,6.3,94,4.03,58.5,13,75.207,0.5,72.6,4,12.6,0
7,summer,small,medium,9.1,10.3,66.3,0.308,235,111.25,249.25,22.5,0,3.9,0,0
8,summer,small,medium,8.2,10.6,43.97,4.99,8,1.25,82.444,6.9,7.6,2.2,0,0
9,spring,small,medium,8.3,10.7,NA,1.32,122.85,26,97.58,10,11.2,2.2,0,2.1
10,winter,small,medium,7.93,9.9,4.575,0.81,178.57001,31.333,16,16,0,3,9.9,3.9
11,autumn,large,medium,8.4,9.8,39,1.287,308.75,12.75,40.667,0.8,0,1.7,0,0
12,winter,medium,medium,7.7,10.5,12.536,1.003,758.75,NA,197.14301,22.9,7.5,2.4,1.5,0
13,winter,small,low,7.74,6,56.717,3.31,10,27,71,17.2,0,7.8,0,6
14,summer,medium,high,7.72,11.9,77.364,8.759,505,57.6,17,50.225,0,1,6.2,1.2
15,summer,medium,high,7.9,9.6,65.333,3.773,217.75,13,57.833,2,4.1,2.1,16.6,1.9
16,autumn,small,high,7.7,13.1,65.75,3.07,1386.25,97.333,98.25,30.4,4.6,5,0,0
17,spring,medium,medium,7.3,6.3,7,6.225,236,18.667,50,3,0,0,6.8,0
18,winter,medium,high,8.5,10.4,32.54,45.65,120,18.25,76.333,0.8,0,1.9,29.5,0
19,summer,medium,high,6.8,6.8,60.8,3.778,60.11,19.111,14,15.3,0,4.3,0,1
20,spring,small,high,8.4,10.7,5,0.73,245,3.8,194.10001,18.37,6.4,0,0,1.4
21,autumn,medium,medium,8,11.7,13,6.045,3466.65991,28.625,213,3.3,1.7,1.1,0,3.2
22,autumn,medium,high,7.3,7.9,22.455,4.94,120,15.6,391.75,0.5,19.6,2.3,0,0
23,winter,small,high,8.7,7.1,29.5,3.245,225,125.667,361,NA,5.5,0,0,4.3
24,summer,small,high,7,9.4,50,1.715,92,53.625,87.125,1.7,0,3.7,0,0
25,winter,small,medium,7.29,10.2,22.35,5.13,11.111,41.5,15,1.4,0,0,0,0
26,summer,medium,medium,8.21,10.3,87,2.323,165,26.625,84.46,3,0,2.2,10.1,3.4
27,winter,large,low,8.16,8.4,11.867,1.875,10,151.33299,127.222,17.491,2.1,2.9,0,0
28,summer,small,low,8,10.1,77,10.416,255,9,NA,75,0,0,1.2,0
29,spring,large,high,8.3,7.7,187.183,3.414,20,34.5,121,0.8,15.9,0,0,3.9
30,autumn,medium,medium,7.9,11.8,NA,8.543,35,12,279.06601,4.3,0,0,0,3.6
31,winter,medium,medium,8.4,9.3,4.545,2.163,60,19.111,50.455,5.62,0,0,5.5,7.8
32,winter,small,high,8,3.6,26,3.78,60,102.333,137.778,92.667,1.6,0,6.8,1.7
33,summer,small,high,9,9.5,17.75,3.02,124.167,51.75,102.571,21.22,1,0,0,2.7
34,winter,small,medium,7.8,9.9,53,2.22,92.375,37.375,253.25,3.6,9.1,6.8,0,0
35,winter,small,high,8,6.5,48.429,4.188,32.5,39,175.04601,5.45,13.2,0,31.8,1.7
36,autumn,small,low,8.7,11.8,54.19,2.316,27.5,14.667,44.136,13,0,0,0,0
37,autumn,large,high,7.9,8.7,1.17,6.096,244.60001,1.625,269.66699,11.84,0,0,6.7,0
38,summer,small,medium,8.05,4.3,49.625,7.16,137.27299,191.75,6.667,0.5,3.9,0,0,0
39,spring,small,medium,8.5,8.6,36.248,1.374,65.556,10.667,147.83299,6.209,0,0,0,0
40,winter,small,high,7.9,10.5,41.25,1.39,98.333,12.75,236,4.5,16.2,2.2,0,1.2
41,autumn,medium,high,8,11.2,42.636,6.188,102.75,16.833,69.93,5.2,1,0,0,0
42,spring,large,low,7.6,7.1,85.982,0.923,12.727,144.66701,111.375,2.1,21.7,0,0,1.2
43,summer,medium,high,8.3,8.3,50,1.534,76,44,124.2,1.4,40.9,0,32.9,0
44,spring,medium,high,8.66,8.8,391.5,7.83,110,4.25,326.85699,NA,3.1,0,8.7,0
45,spring,medium,high,7.3,6.5,NA,1.732,42,7.3,188.66701,8.155,28.2,0,17.1,4.1
46,spring,medium,high,7.7,12.5,17.375,0.536,54.75,20,187.05701,2,0,3.2,0,0
47,summer,small,medium,8,9.6,47.229,0.376,5,16,292.625,0.8,0,0,0,2.4
48,autumn,small,high,8.3,9.9,69.75,1.288,72.6,5,219.909,2,0,0,1.6,1.9
49,spring,small,high,7.6,6.7,15,4.555,206.53799,27,6,22.5,0,1.2,0,0
50,summer,medium,medium,8.2,11.21,10.975,0.886,224.286,22.444,558.75,12.1,12.7,11,15.8,0
51,spring,large,high,7.6,8.1,63.51,1.223,192.5,104.727,211.66701,18.3,1.5,6.6,1.2,0
52,summer,medium,high,7.9,7.9,3.86,1.873,3515,58.875,275.14301,3.7,12.7,2.2,0,0
53,winter,large,high,7.84,10.1,82.852,2.443,28.333,7.75,34,6.8,5,0,3.1,1.6
54,spring,small,medium,7.2,9.8,194.75,0.91,18.333,4,138.5,0.8,0,0,0,0
55,winter,large,high,8.84,9.2,11,2.302,131.66701,9,6.5,41,0,2.2,0,0
56,spring,small,medium,5.6,11.5,82.111,3.14,914,39,26,1.1,2.1,0,0,0
57,autumn,medium,low,8.4,10.1,NA,1.32,102.5,70,4,4.5,12.7,0,0,0
58,winter,small,high,7.5,1.5,57.848,4.86,5738.33008,104.5,6,9,5.4,1,0,0
59,spring,medium,high,9.7,8.5,7.838,3.908,62.5,2,102.333,2.8,1.9,0,0,0
60,summer,large,medium,8.27,5.7,NA,0.77,10,1,313.60001,12.32,12,0,7.9,0
61,spring,large,medium,8.3,10,9,5.97,46.5,264.89999,56.667,4.5,0,2.5,0,0
62,spring,small,medium,7.5,10.2,69,1.588,155,NA,72.696,NA,0,2.4,0,3.2
63,summer,small,medium,7.45,4.9,131.39999,0.23,34.333,26.6,61.444,0.5,1,1.4,0,0
64,winter,small,high,7.57,8.2,8,4.82,14.75,2,52.875,18.33,4.3,1,2.4,1.4
65,autumn,small,low,7.8,8.2,13.5,1.474,105.556,33.8,6,2.9,0,44.6,0,2.7
66,winter,small,low,7.44,10.8,3.136,0.866,271.25,34.636,152.33299,1,0,0,0,1.4
67,spring,medium,low,7.4,8.1,3.275,1.443,112.857,44.667,3,6.429,41,4.6,0,0
68,spring,small,high,8.7,8.3,32.056,0.921,10,75.875,173.75,5.233,16.4,0,0,0
69,spring,medium,high,8.2,3.2,125.6,2.942,486.5,54.1,304,NA,0,7.6,8.5,1.9
70,winter,medium,high,9.1,10.7,39.109,3.685,18,412.33301,46.438,81.54,0,1.2,0,1.9
71,spring,medium,low,9.5,10.7,11.088,0.642,33.636,221.89999,77.434,34.75,2.1,0,7,3.3
72,spring,medium,low,7.62,10.5,12.778,0.663,176.66701,7.4,142,6.4,10.4,0,10.6,1.4
73,summer,large,medium,NA,12.9,8.3,2.603,6400,55,127,5.111,0,0,21.4,4.2
74,autumn,large,medium,7.55,8.5,10.078,3.617,137,136.75,20.812,21,0,0,5.1,2.9
75,winter,medium,medium,7.77,10.4,129.375,0.86,17.778,50.889,235.66701,3,53.6,0,0,0
76,summer,medium,high,8.15,9.8,173.75,5.164,124.364,24.667,39,4,0,1,17,1.4
77,autumn,medium,medium,9.06,12,6.167,5.099,370,10.583,58.374,54.367,3.8,1.8,33.2,1
78,winter,large,low,8.5,5.9,10.936,0.735,83.75,36,7.2,2,13.7,0,2.7,6.6
79,winter,small,medium,8.07,11.7,21.95,3.14,32.5,51.111,11.8,3,5.8,11.3,0,0
80,autumn,medium,high,7.83,8.9,19.22,0.461,161.81799,3.333,23.485,2.8,21.6,0,0,0
81,autumn,large,medium,7.8,13.4,5.273,3.444,1168,180.66701,284,5.544,0,4.6,77.6,0
82,spring,medium,high,7.7,5.4,28.333,0.825,10.5,53,56.091,4.3,8,4.9,8.2,0
83,winter,large,medium,8.22,10.8,5.326,5.414,25.833,181,85,53.1,31.9,4.4,0,0
84,winter,small,low,7.4,11.17,40.167,1.051,10,27.5,205.875,7.9,4.1,0,0,31.2
85,summer,large,high,6.6,9.4,16,4.408,737.5,173,140.517,20.578,28,1.2,22.9,25.6
86,winter,small,medium,7.6,4.9,31.091,3.316,81,137.60001,35.2,0.8,13.2,0,0,22.1
