1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","medium","medium",8,3.2,41.163,3.678,578,62.625,122,20.87,32.1,3.4,1.4,0,6.5,8.3,1.4
"2","autumn","medium","medium",7.8,9.9,29.2,4.93,153,77.333,45,1,0,1.2,4.1,0,0,0,0
"4","summer","small","medium",8.3,7.8,30.523,0.381,98.182,61.182,138.7,3.2,2.4,0,1.9,0,0,0,3.9
"6","summer","medium","medium",7.19,6.3,94,4.03,58.5,13,75.207,0.5,52.2,72.6,0,4,1.7,12.6,0
"7","summer","small","medium",9.1,10.3,66.3,0.308,235,111.25,249.25,22.5,12.6,0,11.8,3.9,5.8,0,0
"8","summer","small","medium",8.2,10.6,43.97,4.99,8,1.25,82.444,6.9,7.2,7.6,3.9,2.2,15.3,0,0
"10","winter","small","medium",7.93,9.9,4.575,0.81,178.57001,31.333,16,16,66,0,1,3,5.2,9.9,3.9
"11","autumn","large","medium",8.4,9.8,39,1.287,308.75,12.75,40.667,0.8,14.7,0,0,1.7,2.9,0,0
"13","winter","small","low",7.74,6,56.717,3.31,10,27,71,17.2,1.4,0,10.8,7.8,34.3,0,6
"14","summer","medium","high",7.72,11.9,77.364,8.759,505,57.6,17,50.225,13,0,19.6,1,0,6.2,1.2
"15","summer","medium","high",7.9,9.6,65.333,3.773,217.75,13,57.833,2,14.4,4.1,5.4,2.1,3.6,16.6,1.9
"16","autumn","small","high",7.7,13.1,65.75,3.07,1386.25,97.333,98.25,30.4,24.3,4.6,1.2,5,2.5,0,0
"17","spring","medium","medium",7.3,6.3,7,6.225,236,18.667,50,3,0,0,0,0,9.9,6.8,0
"18","winter","medium","high",8.5,10.4,32.54,45.65,120,18.25,76.333,0.8,46.2,0,3.1,1.9,7.7,29.5,0
"19","summer","medium","high",6.8,6.8,60.8,3.778,60.11,19.111,14,15.3,2.4,0,25.9,4.3,1.2,0,1
"20","spring","small","high",8.4,10.7,5,0.73,245,3.8,194.10001,18.37,2.2,6.4,22.9,0,20.8,0,1.4
"21","autumn","medium","medium",8,11.7,13,6.045,3466.65991,28.625,213,3.3,0,1.7,2,1.1,10.6,0,3.2
"22","autumn","medium","high",7.3,7.9,22.455,4.94,120,15.6,391.75,0.5,3.1,19.6,0,2.3,4,0,0
"24","summer","small","high",7,9.4,50,1.715,92,53.625,87.125,1.7,0,0,1,3.7,15.9,0,0
"25","winter","small","medium",7.29,10.2,22.35,5.13,11.111,41.5,15,1.4,39.7,0,1.4,0,1.2,0,0
"26","summer","medium","medium",8.21,10.3,87,2.323,165,26.625,84.46,3,4.1,0,13.5,2.2,5.9,10.1,3.4
"27","winter","large","low",8.16,8.4,11.867,1.875,10,151.33299,127.222,17.491,32.5,2.1,1.4,2.9,19,0,0
"29","spring","large","high",8.3,7.7,187.183,3.414,20,34.5,121,0.8,1.4,15.9,0,0,0,0,3.9
"31","winter","medium","medium",8.4,9.3,4.545,2.163,60,19.111,50.455,5.62,0,0,0,0,7.5,5.5,7.8
"32","winter","small","high",8,3.6,26,3.78,60,102.333,137.778,92.667,18.9,1.6,1.9,0,0,6.8,1.7
"33","summer","small","high",9,9.5,17.75,3.02,124.167,51.75,102.571,21.22,7,1,1.9,0,0,0,2.7
"34","winter","small","medium",7.8,9.9,53,2.22,92.375,37.375,253.25,3.6,15.5,9.1,0,6.8,6.6,0,0
"35","winter","small","high",8,6.5,48.429,4.188,32.5,39,175.04601,5.45,5.3,13.2,5.5,0,0,31.8,1.7
"36","autumn","small","low",8.7,11.8,54.19,2.316,27.5,14.667,44.136,13,18.3,0,0,0,11.3,0,0
"37","autumn","large","high",7.9,8.7,1.17,6.096,244.60001,1.625,269.66699,11.84,0,0,5.6,0,17.8,6.7,0
"38","summer","small","medium",8.05,4.3,49.625,7.16,137.27299,191.75,6.667,0.5,6.5,3.9,0,0,0,0,0
"39","spring","small","medium",8.5,8.6,36.248,1.374,65.556,10.667,147.83299,6.209,0,0,0,0,0,0,0
"40","winter","small","high",7.9,10.5,41.25,1.39,98.333,12.75,236,4.5,7.8,16.2,0,2.2,44.4,0,1.2
"41","autumn","medium","high",8,11.2,42.636,6.188,102.75,16.833,69.93,5.2,0,1,5,0,0,0,0
"42","spring","large","low",7.6,7.1,85.982,0.923,12.727,144.66701,111.375,2.1,0,21.7,3.3,0,10.2,0,1.2
"43","summer","medium","high",8.3,8.3,50,1.534,76,44,124.2,1.4,12.7,40.9,10.6,0,12.4,32.9,0
"46","spring","medium","high",7.7,12.5,17.375,0.536,54.75,20,187.05701,2,29.5,0,0,3.2,0,0,0
"47","summer","small","medium",8,9.6,47.229,0.376,5,16,292.625,0.8,3.3,0,1.2,0,11.7,0,2.4
"48","autumn","small","high",8.3,9.9,69.75,1.288,72.6,5,219.909,2,51.8,0,0,0,0,1.6,1.9
"49","spring","small","high",7.6,6.7,15,4.555,206.53799,27,6,22.5,9.2,0,6.6,1.2,0,0,0
"50","summer","medium","medium",8.2,11.21,10.975,0.886,224.286,22.444,558.75,12.1,3.4,12.7,0,11,1.2,15.8,0
"51","spring","large","high",7.6,8.1,63.51,1.223,192.5,104.727,211.66701,18.3,4.4,1.5,0,6.6,1.4,1.2,0
