1)
  season   size  speed mxPH mnO2    Cl   NO3    NH4  oPO4   PO4  Chla   a1   a2  a3  a4   a5   a6
1 winter medium medium 8.10  7.1 41.16 6.238  308.8  51.1 213.0    NA  3.3  0.0 0.0 1.3  0.0  8.3
2 summer  large    low 8.10 12.0 29.20 1.288 1495.0 205.6 236.0  1.30  4.4 28.2 4.1 2.6  1.2  0.0
3 autumn medium   high 7.35 11.4  1.17 5.164   10.0 246.0  46.4  5.54  0.0  9.1 0.0 1.0  0.0  0.0
4 spring  large medium 8.58  4.8  1.55 2.316 3515.0  61.2  23.0  0.30  3.1  0.0 5.4 0.0 11.3  0.0
5 winter  small medium 8.00  9.0  2.11 0.921  233.7  58.2 127.2 10.50 12.2 14.7 0.0 0.0 13.3  4.1
6 summer medium medium 7.19 10.0  6.17 1.726   27.1  13.0 142.0 24.56 12.6 32.8 0.0 0.0  0.0 16.7
    a7
1  1.9
2  0.0
3 12.5
4  0.0
5  1.0
6  0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,medium,8.1,7.1,41.163,6.238,308.75,51.111,213,NA,0,1.3,8.3,1.9
2,summer,large,low,8.1,12,29.2,1.288,1495,205.636,236,1.3,28.2,2.6,0,0
3,autumn,medium,high,7.35,11.4,1.17,5.164,10,246,46.438,5.544,9.1,1,0,12.5
4,spring,large,medium,8.58,4.8,1.549,2.316,3515,61.182,23,0.3,0,0,0,0
5,winter,small,medium,8,9,2.111,0.921,233.7,58.222,127.222,10.5,14.7,0,4.1,1
6,summer,medium,medium,7.19,10,6.167,1.726,27.069,13,142,24.556,32.8,0,16.7,0
7,spring,medium,medium,8.15,6.5,NA,4.87,239,23,138.5,2.1,8.6,3.9,1.4,1
8,spring,medium,medium,8.2,10.7,4.545,4.99,345.45499,44.667,35.2,27.618,1.6,1.7,15.8,2.4
9,spring,small,high,8.2,7.8,10.078,2.273,122.85,276.85001,246.66701,10,5.4,6.9,0,3.9
10,spring,medium,medium,7.9,10,57.75,4.698,178.57001,27,262.72699,20.829,8.9,11.3,49.4,3.9
11,autumn,small,low,8.4,10.7,53.333,1.287,137.27299,51.125,40.667,13,0,0,0,0
12,summer,small,low,7.925,8.1,29.5,1.335,18.429,25.167,304,19.4,5.8,2.6,0,0
13,winter,large,high,7.8,9.6,32.54,1.223,10,196.62,87.125,11.6,12.7,0,0,6
14,spring,small,high,7.72,5.9,88,5.132,10,57.6,17,1.1,2.6,0,1.6,5.2
15,summer,small,high,7.6,12.1,47,1.448,46.2,13,61.6,3.2,0,0,16.6,0
16,winter,small,high,7.55,11.5,129.375,1.588,14.75,97.333,98.25,6.429,21.7,0,42.7,3.3
17,spring,small,medium,7.78,3.2,7,1.415,39,18.667,214,50,8,0,0,0
18,winter,small,high,7.14,11.1,85.982,0.536,380,144,84.46,14.775,15.9,1.9,4.6,3.2
19,summer,medium,high,7.9,11.5,95.367,2.603,128.571,60,34,41,3.8,4.3,8.3,0
20,winter,medium,medium,7.4,11.3,11,1.374,51.429,3,388.16699,21.22,0,4.6,0,1
21,autumn,medium,medium,8.1,7.3,30.125,0.941,58.5,33.8,167.89999,11.1,0,6.8,0,0
22,spring,small,high,7.6,9.8,32.056,4.188,125.333,12.889,6,21.9,11.2,4,1.2,2.2
23,autumn,small,low,7.75,8.9,69,0.381,27.286,102.333,18,NA,25.4,0,17.1,0
24,summer,medium,medium,7.6,5.3,7,1.715,206.53799,53.625,122,1.7,4.1,2.2,7.9,0
25,spring,small,high,8.43,3.6,50,5.41,11.111,41.5,11.5,5.5,12.7,4.4,0,0
26,summer,large,high,7.4,10.3,87,1.212,165,9,277.33301,3,2.1,0,0,1.6
27,winter,small,high,7.8,8.4,11.867,3.765,120,61.556,102.333,17.491,0,4.9,52.5,0
28,autumn,medium,high,8.7,10,77,2.64,16.2,9,60,75,0,0,0,1.9
29,spring,small,high,8.7,5.5,31.091,6.64,20,16.833,13.6,4.3,0,0,8.2,0
30,autumn,large,medium,8.16,11.1,151.83299,8.543,28,12,50.455,3,0,4.6,42.1,3.6
31,autumn,large,medium,7.8,9.3,8.3,4.825,60.11,22.444,49.333,5.62,0,0,0,5.8
32,spring,small,high,7.5,10.3,0.222,3.78,60,10.583,137.778,2.8,0,1,4.5,2.2
33,spring,large,medium,8.5,9.5,20.083,0.996,124.167,120.5,303.33301,NA,1,0,64.6,1.2
34,spring,medium,medium,8,10.68,40.226,1.172,461.875,51.111,58.623,8.1,53.6,0,0,0
35,winter,large,medium,8.6,6.7,39,1.534,123.333,78.333,147.83299,5.45,8,0,3.3,22.1
36,autumn,small,low,9.1,4.3,59.067,3.245,10.5,15.6,20.812,68.05,0,1.7,0,0
37,summer,medium,high,8,9.8,194.75,1.921,370,428.75,218,1.5,15.7,2.4,6.7,1.4
38,autumn,medium,low,8.4,8.2,9,2.954,10,66.4,3,9.882,1.7,0,0,0
39,summer,small,low,8.1,10.53,23.825,3.561,65.556,26.6,116.2,6.209,12.7,3.7,8.5,30.1
40,winter,small,medium,8.47,10.5,30.523,3.351,18.333,182.42,183.66701,17.2,2.7,0,0,0
41,spring,small,low,6.6,8.4,46.167,0.05,1990.16003,104.5,205.875,8.957,1.2,0,10.3,0
42,winter,medium,high,7.61,6.5,10.5,0.406,137,564.59998,175.04601,13.2,0,0,0,0
43,winter,small,medium,5.7,11,3,3.978,217.75,1.333,124.2,2,41,1,0,1.4
44,spring,large,high,8.4,8.8,56.717,7.83,90,187,91.111,11.84,3.1,44.6,17.8,0
45,winter,medium,medium,7.6,9.5,69.75,4.408,42,104.222,57.833,3.9,6,0,12.4,2.1
46,winter,medium,high,8.3,5.8,54.19,4.071,737.5,34.5,26,3.3,6.7,3.2,9.9,0
47,winter,medium,medium,7.8,10.7,173.75,0.376,54.75,16,292.625,0.8,0,0,15.7,0
48,winter,medium,high,8.3,6.9,17.75,2.822,5.8,24.667,265.25,3,0,0,6.8,0
49,winter,small,medium,NA,10.8,15,1.718,40,12,197.14301,1.3,9.6,5,0,0
50,autumn,small,high,6.5,10.2,10.207,1.587,142,16.8,154.125,7.6,1.7,6.6,0,1.6
51,autumn,medium,high,8.4,9.9,104.818,NA,421.66699,38.625,27.5,7.9,13.2,0,0,1.4
52,summer,medium,high,7.8,7.9,22.286,4.459,84.667,45.9,361,2,12,2.2,0,1.1
53,spring,large,high,7.9,4.4,63.51,3.833,28.333,7.75,235.66701,18.33,5.6,1.4,0,2.9
54,summer,small,medium,8.6,1.5,0.8,0.91,92.375,3.545,143.75,0.8,28,0,0,0
55,winter,large,high,8.84,11.21,14.32,0.699,170.909,151.33299,6.5,NA,3.9,0,0,0
56,winter,large,medium,8,10.7,47.229,3.318,32,39,16,15.3,0,0,0,2.9
57,summer,medium,medium,7.9,10.2,4.083,1.32,10,71,4,NA,0,0,0,0
58,spring,medium,medium,9.1,9,6.3,2.68,153.75,346.16699,6,NA,18.4,1,0,0
59,summer,medium,high,7.09,7.1,77.364,2.512,8,2,61.444,15.6,1.9,0,4.7,1.2
60,spring,medium,medium,8.7,6.2,16,2.978,118.571,2.5,6.2,22.5,8.7,0,8.7,0
61,autumn,medium,low,6.8,9,NA,3.678,578,30.75,85,3.7,1.4,0,1.5,0
62,winter,medium,medium,7.5,NA,8,4.03,18,NA,56.667,NA,0,0,1.8,0
63,spring,small,high,7.45,6,187.183,5.414,NA,3.333,71,3.6,1.9,0,1.4,0
64,winter,small,high,7.57,8.2,NA,2.102,43.75,2,6.75,1,7,6.2,2.4,1.4
65,summer,large,high,8.87,11.3,4.326,5.099,10,62.625,138.7,3.8,0,4.3,0,0
66,summer,small,medium,7.44,11.7,36.248,0.672,15,12.75,75.904,5.111,15.2,0,0,1.4
