1)
"","x"
"1",0.34490117835542
"2",3.05399503021107
"3",2.33064416655375
"4",2.07813178316314
"5",0.476170449042944
"6",2.23251285067372
"7",1.35736580728594
"8",1.62781839228936
"9",2.66408817719094
"10",2.12993343589195
"11",0.651729083829416
"12",1.31216553590234
"13",2.79401177036575
"14",3.37793825044207
"15",3.76559979195239
"16",3.08194307592862
"17",1.08476371329016
"18",2.79006604150328
"19",3.71578980285194
"20",0.398469072345517
"21",0.583611471800689
"22",3.01690982722068
"23",1.02946542649649
"24",1.71706137116016
"25",2.30839148998253
"26",4.89425558200826
"27",1.24963511638139
"28",1.46916601715095
"29",2.15555906976957
"30",4.01381166804796
"31",2.25846322291997
"32",2.72487965399686
"33",2.67856579292895
"34",2.05731862837655
"35",1.35613877886466
"36",-0.515287904285841
"37",5.43039730869763
"38",-0.3887931189061
"39",1.67867460875001
"40",1.03539622359785
"41",1.98081335453006
"42",1.69999090487218
"43",1.86675843260939
"44",4.22999200393703
"45",1.39323434496058
"46",0.82884126604535
"47",2.10406102607902
"48",0.327870981149261
"49",0.708817685021602
"50",2.40428342576116
"51",2.3076005999994
"52",2.51591782092356
"53",3.41477961824953
"54",0.995755249231269
"55",2.16407930526337
"56",2.20847777503436
"57",2.12965671316738
"58",1.70200886533312
"59",3.38923618866273
"60",0.900151341938868
"61",0.678283890654803
"62",0.659270106815473
"63",4.48188351288891
"64",1.67721142517156
"65",3.6899293427526
"66",3.11386281199988
"67",0.0828594325741757
"68",1.75677191275869
"69",1.78037557220785
"70",0.587792245305093
"71",0.432562230050022
"72",3.03184818159721
"73",3.15266495509514
"74",2.42722501513592
"75",0.651905200741934
"76",2.23383378375343
"77",1.35855420492524
"78",0.893399536527091
"79",2.94527743845154
"80",0.958459307683681
"81",1.46933809973104
"82",1.88800971620621
"83",1.59779076999462
"84",3.61919528789088
"85",0.82981479287297
"86",1.46861931948306
"87",3.52792883145571
"88",1.92422853748956
"89",2.19559976014212
"90",2.74445743181036
"91",2.52718739301368
"92",3.69853680821486
"93",-0.0584556200428677
"94",0.946870070092629
"95",3.39480475537878
"96",2.18669589132366
"97",1.18528603937206
"98",0.133259793105024
"99",2.14521966241633
"100",2.96860317105338
"101",-0.0560524095296226
"102",4.07323511414182
"103",1.08117496024011
"104",1.69183431370191
"105",2.5394464125288
"106",2.4350218196985
"107",2.6295080164923
"108",2.09700643184941
"109",2.64272521855323
"110",-0.0520147203472743
"111",1.26171850378636
"112",0.254566506049324
"113",1.12861088860815
"114",3.75704974180966
"115",1.67811069706947
"116",2.15675357983527
"117",1.75324565524354
"118",0.774863276495283
"119",0.526942208222032
"120",3.2196613200636
"121",3.09753561094698
"122",1.66005841304716
"123",2.09990282039504
"124",0.392604487518681
"125",2.93247543537731
"126",3.14927374686334
"127",-0.297885454866538
"128",1.70349402053711
"129",1.80007803605721
"130",1.63427424155062
"131",0.177074316522222
"132",1.5555401146294
"133",3.33100818104527
"134",2.10451905489404
"135",2.03100722740976
"136",2.3375050802437
"137",0.502251895021896
"138",0.564877163953816
"139",6.29168282355859
"140",1.94231667083857
"141",0.761323628236662
"142",3.95018455452149
"143",4.69571300075893
"144",2.67924026991769
"145",2.48779636623569
"146",1.73134546550492
"147",2.67771386531113
"148",3.64227623100786
"149",0.898028749998041
"150",5.07215366370114
"151",3.1620114839481
"152",0.758851296548615
"153",4.54044392630299
"154",3.47520134652811
"155",1.35818397908599
"156",1.2827260476804
"157",3.40796067391309
"158",-0.517829189612694
"159",1.11173228506198
"160",2.52190565530327
"161",2.3651281081285
"162",2.48146509579548
"163",3.49980239170435
"164",1.63751334111293
"165",1.2119766026098
"166",3.03107425311756
"167",1.15388494013915
"168",2.22865082445909
"169",0.448052096321663
"170",2.38987200277965
"171",4.80658032967352
"172",2.30208921622514
"173",1.58685841418429
"174",3.38422546555495
"175",2.3642697025227
"176",0.772916208959345
"177",1.37381806768504
