1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"2","summer","large","low",8.1,12,29.2,1.288,1495,205.636,236,1.3,4.4,28.2,4.1,2.6,1.2,0,0
"3","autumn","medium","high",7.35,11.4,1.17,5.164,10,246,46.438,5.544,0,9.1,0,1,0,0,12.5
"4","spring","large","medium",8.58,4.8,1.549,2.316,3515,61.182,23,0.3,3.1,0,5.4,0,11.3,0,0
"5","winter","small","medium",8,9,2.111,0.921,233.7,58.222,127.222,10.5,12.2,14.7,0,0,13.3,4.1,1
"6","summer","medium","medium",7.19,10,6.167,1.726,27.069,13,142,24.556,12.6,32.8,0,0,0,16.7,0
"8","spring","medium","medium",8.2,10.7,4.545,4.99,345.45499,44.667,35.2,27.618,3.6,1.6,0,1.7,1.4,15.8,2.4
"9","spring","small","high",8.2,7.8,10.078,2.273,122.85,276.85001,246.66701,10,50.6,5.4,1.7,6.9,0,0,3.9
"10","spring","medium","medium",7.9,10,57.75,4.698,178.57001,27,262.72699,20.829,19,8.9,20.2,11.3,1.4,49.4,3.9
"11","autumn","small","low",8.4,10.7,53.333,1.287,137.27299,51.125,40.667,13,14.7,0,2.7,0,2.9,0,0
"12","summer","small","low",7.925,8.1,29.5,1.335,18.429,25.167,304,19.4,32.1,5.8,4.7,2.6,6.4,0,0
"13","winter","large","high",7.8,9.6,32.54,1.223,10,196.62,87.125,11.6,3.6,12.7,0,0,1.2,0,6
"14","spring","small","high",7.72,5.9,88,5.132,10,57.6,17,1.1,14.4,2.6,0,0,1.9,1.6,5.2
"15","summer","small","high",7.6,12.1,47,1.448,46.2,13,61.6,3.2,3.8,0,0,0,0,16.6,0
"16","winter","small","high",7.55,11.5,129.375,1.588,14.75,97.333,98.25,6.429,25.5,21.7,0,0,5.8,42.7,3.3
"17","spring","small","medium",7.78,3.2,7,1.415,39,18.667,214,50,0,8,0,0,0,0,0
"18","winter","small","high",7.14,11.1,85.982,0.536,380,144,84.46,14.775,1.7,15.9,2.9,1.9,0,4.6,3.2
"19","summer","medium","high",7.9,11.5,95.367,2.603,128.571,60,34,41,81.9,3.8,2,4.3,0,8.3,0
"20","winter","medium","medium",7.4,11.3,11,1.374,51.429,3,388.16699,21.22,11.3,0,13.6,4.6,9.9,0,1
"21","autumn","medium","medium",8.1,7.3,30.125,0.941,58.5,33.8,167.89999,11.1,0,0,0,6.8,0,0,0
"22","spring","small","high",7.6,9.8,32.056,4.188,125.333,12.889,6,21.9,10.3,11.2,0,4,0,1.2,2.2
"24","summer","medium","medium",7.6,5.3,7,1.715,206.53799,53.625,122,1.7,0,4.1,1,2.2,0,7.9,0
"25","spring","small","high",8.43,3.6,50,5.41,11.111,41.5,11.5,5.5,16.8,12.7,1.2,4.4,0,0,0
"26","summer","large","high",7.4,10.3,87,1.212,165,9,277.33301,3,4.1,2.1,8.8,0,5.9,0,1.6
"27","winter","small","high",7.8,8.4,11.867,3.765,120,61.556,102.333,17.491,56.8,0,0,4.9,22.5,52.5,0
"28","autumn","medium","high",8.7,10,77,2.64,16.2,9,60,75,30.3,0,3,0,1.2,0,1.9
"29","spring","small","high",8.7,5.5,31.091,6.64,20,16.833,13.6,4.3,46.9,0,19.6,0,3.2,8.2,0
"30","autumn","large","medium",8.16,11.1,151.83299,8.543,28,12,50.455,3,3.4,0,14.6,4.6,0,42.1,3.6
"31","autumn","large","medium",7.8,9.3,8.3,4.825,60.11,22.444,49.333,5.62,1.7,0,0,0,0,0,5.8
"32","spring","small","high",7.5,10.3,0.222,3.78,60,10.583,137.778,2.8,18.1,0,1.9,1,4,4.5,2.2
"34","spring","medium","medium",8,10.68,40.226,1.172,461.875,51.111,58.623,8.1,1.4,53.6,12.9,0,2.9,0,0
"35","winter","large","medium",8.6,6.7,39,1.534,123.333,78.333,147.83299,5.45,2.4,8,3.3,0,3.4,3.3,22.1
"36","autumn","small","low",9.1,4.3,59.067,3.245,10.5,15.6,20.812,68.05,18.3,0,0,1.7,1,0,0
"37","summer","medium","high",8,9.8,194.75,1.921,370,428.75,218,1.5,14.6,15.7,5.6,2.4,0,6.7,1.4
"38","autumn","medium","low",8.4,8.2,9,2.954,10,66.4,3,9.882,1.2,1.7,1.6,0,0,0,0
