1)
  season   size  speed mxPH mnO2   Cl   NO3    NH4  oPO4   PO4  Chla   a1   a2   a3  a4  a5   a6
1 autumn medium   high 7.19  9.4 41.2 0.672   28.0  51.1 254.6  1.10 12.2  0.0  2.9 1.2 0.0  0.0
2 spring medium medium 7.80 10.7 29.2 1.288 1495.0 261.6 111.4  4.30 15.1 12.7  7.5 2.4 0.0  0.0
3 autumn  small   high 7.09 11.4  3.0 5.330  110.0  58.2 132.5  5.08  3.3 17.1  0.0 0.0 3.6  0.0
4 summer medium   high 8.20 10.2 60.8 0.050   98.2  61.2 127.2    NA  2.4 19.6 18.9 0.0 6.6  0.0
5 autumn  small medium 8.00  9.4 16.0 1.420  102.5 246.0  97.6 10.50 46.2  2.9 11.8 0.0 0.0 42.7
6 summer medium medium 8.30  7.3 53.3 3.778 2167.4  13.0 284.0 28.40  7.0  8.9  0.0 0.0 0.0  8.2
   a7
1 0.0
2 1.0
3 9.7
4 0.0
5 1.0
6 1.2
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,medium,high,7.19,9.4,41.163,0.672,28,51.111,254.60001,1.1,0,1.2,0,0
2,spring,medium,medium,7.8,10.68,29.2,1.288,1495,261.60001,111.375,4.3,12.7,2.4,0,1
3,autumn,small,high,7.09,11.4,3,5.33,110,58.222,132.54601,5.083,17.1,0,0,9.7
4,summer,medium,high,8.2,10.2,60.8,0.05,98.182,61.182,127.222,NA,19.6,0,0,0
5,autumn,small,medium,8,9.4,16,1.42,102.5,246,97.58,10.5,2.9,0,42.7,1
6,summer,medium,medium,8.3,7.3,53.333,3.778,2167.37012,13,284,28.4,8.9,0,8.2,1.2
7,summer,medium,medium,8.15,8.4,47.229,5.132,235,3.333,138.5,3.2,1,0,0,0
8,summer,small,medium,7.91,10.6,4.545,4.99,10,97.333,18.293,4,1.6,0,0,0
9,winter,medium,medium,8.5,8.8,11.088,2.586,170.909,26,218,10,4.6,6.9,0,18.6
10,summer,large,high,8.4,9.9,4.575,0.826,38.111,36,146.452,17.2,11.3,4.4,6.2,3.9
