1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","medium","high",7.19,9.4,41.163,0.672,28,51.111,254.60001,1.1,12.2,0,2.9,1.2,0,0,0
"2","spring","medium","medium",7.8,10.68,29.2,1.288,1495,261.60001,111.375,4.3,15.1,12.7,7.5,2.4,0,0,1
"3","autumn","small","high",7.09,11.4,3,5.33,110,58.222,132.54601,5.083,3.3,17.1,0,0,3.6,0,9.7
"5","autumn","small","medium",8,9.4,16,1.42,102.5,246,97.58,10.5,46.2,2.9,11.8,0,0,42.7,1
"6","summer","medium","medium",8.3,7.3,53.333,3.778,2167.37012,13,284,28.4,7,8.9,0,0,0,8.2,1.2
"7","summer","medium","medium",8.15,8.4,47.229,5.132,235,3.333,138.5,3.2,86.6,1,4.1,0,5.8,0,0
"8","summer","small","medium",7.91,10.6,4.545,4.99,10,97.333,18.293,4,0,1.6,5.5,0,15.3,0,0
"9","winter","medium","medium",8.5,8.8,11.088,2.586,170.909,26,218,10,9.2,4.6,1.7,6.9,0,0,18.6
"10","summer","large","high",8.4,9.9,4.575,0.826,38.111,36,146.452,17.2,43.5,11.3,4.9,4.4,27.6,6.2,3.9
"11","autumn","small","high",8.3,4.8,131.39999,0.33,380,12.75,81.558,0.3,7.6,41,0,1.7,22.1,0,0
"13","winter","medium","medium",7.74,1.5,104.818,3.318,1386.25,26.625,213,24.556,31.1,0,1,1,1.2,0,2.9
"14","autumn","medium","medium",7.72,8.9,127.833,0.663,505,19.111,432.909,19.4,0,6.4,0,1.2,4,22.9,0
"15","summer","small","high",8.3,9.6,41.25,6.54,46.2,7.667,140.517,4.5,1.9,0,2.6,0,0,0,0
"16","spring","medium","low",7.55,11.1,4.7,1.726,58.5,209.85699,23,1.1,24.3,0,1.7,0,0,1.6,14.4
"18","autumn","small","high",7.14,10.4,32.54,4.94,3515,35.333,52.875,0.5,1.7,15.7,0,0,7.7,0,0
"19","winter","small","low",7.9,6.8,4.326,6.238,758.75,60,6,2,5.9,0,0,1.7,13.3,0,1.5
"20","winter","small","medium",8.5,10.7,40.226,0.81,245,564.59998,72.9,3.3,74.2,0,2.5,0,0,0,2.4
"21","winter","medium","high",8.7,10.7,7.838,1.051,124.167,467.5,586,30,0,0,0,6.8,8.6,0,1.2
"22","summer","small","high",8,4.3,22.455,0.735,32,100,122,0.5,2,0,0,2.3,0,10.6,3.9
"24","winter","small","high",8,10.9,48.429,1.715,208.33299,53.625,87.125,6.9,0,3.9,0,3.7,2.1,0,0
"26","spring","large","low",6.6,10.7,87,0.758,165,39,17.333,3,54,3.9,8.8,0,0,29.5,0
"27","winter","large","high",7.4,8.4,11.867,1.535,18.429,61.556,6.75,2,1.4,0,0,0,4.1,5.1,0
"28","autumn","large","high",6.8,10.1,77,0.63,20,102.364,6.5,75,30.3,0,1.6,1.2,1.7,0,0
"29","winter","small","medium",8.2,10.6,8.69,3.908,20,23,121,15.6,3.4,0,19.6,1,14.9,16.7,0
"30","autumn","medium","high",8.7,11.1,54.143,1.203,52.2,12,98.25,0.5,0,0,14.6,0,6.4,0,3.6
"31","winter","medium","high",7.8,9.3,11,3.85,34,191.75,253.25,0.8,3.4,5,0,0,7.5,1.4,0
"32","winter","small","medium",8.06,9.2,10.207,3.78,60,132.5,326.85699,4.667,75.8,0,11.5,0,3.2,0,0
"33","summer","medium","medium",7.4,10.5,5.273,3.316,3466.65991,120.5,102.571,0.8,3.6,3.8,0,0,2.5,0,4.3
"34","spring","small","high",8.4,10.8,53,1.172,137,104.727,125.8,2.9,13.6,9.1,2,3.7,2.6,0,0
"35","winter","small","low",8.27,6.7,139.989,0.921,246.364,182.42,269.66699,88.255,16.6,0,0,0,0,4.5,0
"36","summer","medium","medium",7.7,7.1,44,0.381,27.5,187,6,13,0,0,0,0,0,0,0
"37","autumn","medium","medium",7.6,10.9,3.5,1.921,142,48,624.73297,22.5,28.1,0,5.6,0,0,6.7,1.7
"38","winter","small","medium",8,1.8,49.625,10.416,35,2.5,142,5.62,12.6,1.7,6.8,1.1,0,0,2.7
"39","winter","small","high",9.1,7.6,1.17,2.323,137.27299,60.833,116.2,6.209,0,12.7,0,0,0,0,0
"40","summer","small","high",8.87,13.4,51.113,0.406,228.75,19.727,183.66701,4.5,2.2,2.9,7.5,0,1.2,0,0
"41","winter","medium","low",8,11.2,46.167,3.14,10.5,53,11,15,0,5.9,5,1.9,0,6.9,0
"42","spring","small","high",8.35,7.1,2.2,0.866,60.11,14.667,40.667,4.3,7.2,21.7,10.1,0,0,1.4,0
"44","spring","small","high",9.1,10.1,173.75,5.41,224.286,276.85001,276,11.84,4.1,0,0,0,0,7.9,0
"46","winter","medium","medium",8.3,7.7,10.5,3.773,89.6,78.333,43.5,2,2.5,1.5,0,2.2,2.9,49.4,0
"47","autumn","small","medium",8.1,6,66.3,0.376,43.75,16,292.625,0.8,17.1,21.5,2.5,0,16.2,0,2.7
"48","autumn","small","high",7.8,12.6,29.775,1.87,123.333,5,23.485,12.32,1.9,0,0,0,0,0,0
"49","spring","small","medium",7.5,9.8,15,5.97,40,27,61.444,1.4,9.2,0,0,2.7,0,5.5,0
"50","spring","small","high",6.5,7.8,17.75,3.02,124.364,22.444,98.143,12.1,41,0,0,0,8,13.1,0
"51","summer","small","medium",8.1,8.1,22.35,1.474,32.727,12.75,221.278,9,0,53.6,1,0,6.4,0,0
"52","summer","medium","high",8.66,7.9,30.125,4.459,33.636,45.9,361,17.2,1.9,1.7,1.6,2.2,0,0,1.1
"53","spring","small","high",7.9,11.5,26,3.765,239,7.75,34,1.3,0,0,1.2,0,0,11.5,0
"56","winter","small","low",7.61,4.9,3.275,5.099,5,9,85,1.1,4,0,0,0,0,16.6,1.4
"57","spring","small","medium",8,3.2,47,9.08,205.66701,25.167,4,21.9,3.8,2.1,0,7.7,2.4,20.4,1.9
"59","autumn","medium","high",6.6,10.5,20.083,3.33,215.556,2,79.75,2.1,1.4,21.5,24.8,0,0,0,4.1
