1)
  season   size  speed mxPH mnO2    Cl   NO3    NH4  oPO4   PO4 Chla   a1   a2   a3  a4   a5  a6
1 winter  small   high 7.80  9.4 41.16 6.238  122.5  53.0   7.0  3.8  3.8  4.7  0.0 0.0 34.2 8.3
2 spring  small   high 7.74 11.7 71.44 0.941 1495.0  33.8   3.0  1.3 89.8 15.7  0.0 0.0  2.4 0.0
3 autumn  small medium 8.21 11.4 61.05 5.330   10.5 246.0 771.6  2.7  3.3 53.6  0.0 1.9  1.2 0.0
4 spring  small medium 8.20   NA  5.33 5.099  105.6  57.6 138.7  1.1  2.4 38.5 18.9 2.1  1.2 0.0
5 winter medium   high 7.80 10.1  5.27 2.805   15.0   9.0  27.5  1.5 55.5  0.0  1.5 7.7  0.0 6.8
6 spring medium medium 7.50  6.2 47.78 2.304  578.0 220.8 313.6  0.8  1.7 11.3  5.4 4.0  0.0 0.0
   a7
1 0.0
2 0.0
3 9.7
4 0.0
5 0.0
6 2.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,small,high,7.8,9.4,41.163,6.238,122.5,53,7,3.8,4.7,0,8.3,0
2,spring,small,high,7.74,11.7,71.444,0.941,1495,33.8,3,1.3,15.7,0,0,0
3,autumn,small,medium,8.21,11.4,61.05,5.33,10.5,246,771.59998,2.7,53.6,1.9,0,9.7
4,spring,small,medium,8.2,NA,5.326,5.099,105.556,57.6,138.7,1.1,38.5,2.1,0,0
5,winter,medium,high,7.8,10.1,5.273,2.805,15,9,27.5,1.5,0,7.7,6.8,0
6,spring,medium,medium,7.5,6.2,47.778,2.304,578,220.75,313.60001,0.8,11.3,4,0,2
7,winter,medium,medium,7.9,7.7,47.229,5.132,235,10,132.54601,3.2,0,0,5.9,0
8,summer,small,medium,8.7,9.8,9,4.99,13.5,238.2,60,5.609,0,2.4,0,3.3
9,winter,medium,medium,7.8,1.5,63.292,2.603,122.85,26,130.75,10,14.6,0,17.2,2.4
10,summer,medium,medium,8,9.9,53.425,1.39,2167.37012,8.692,14,0.8,8.9,3.2,4.5,0
11,autumn,large,medium,8.3,10.2,53.333,3.318,244.60001,12.75,40.667,0.8,1.5,0,0,0
12,summer,small,high,8.3,9.9,16,7.195,18.429,NA,214,NA,0,0,1.5,0
13,winter,large,high,9.1,11.8,64,4.87,225,428.75,47,2.86,21.7,0,0,0
14,spring,small,low,8.1,10.53,77.364,8.759,6400,182.42,17,8.1,32.8,1,10.3,2.7
15,autumn,large,high,8.24,9.6,23.25,3.2,233.7,13,6,0.3,1.4,0,0,0
16,autumn,small,medium,7.55,9.6,4.7,3.07,90,97.333,89.625,1.1,0,5,1.6,0
17,autumn,medium,high,7.78,8,50,0.735,39,36,50,NA,0,2.3,17,1.2
18,winter,small,high,7.14,10.4,32.54,1.67,643,75,211.66701,0.5,21.5,0,0,1
19,summer,small,low,8.3,10.3,29.775,5.97,24064,8.6,79.75,2,0,4.6,0,0
20,spring,medium,medium,8.8,9.9,5,0.996,245,564.59998,287,13.1,4.1,4.6,77.6,1.4
