1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","small","high",7.8,9.4,41.163,6.238,122.5,53,7,3.8,3.8,4.7,0,0,34.2,8.3,0
"2","spring","small","high",7.74,11.7,71.444,0.941,1495,33.8,3,1.3,89.8,15.7,0,0,2.4,0,0
"3","autumn","small","medium",8.21,11.4,61.05,5.33,10.5,246,771.59998,2.7,3.3,53.6,0,1.9,1.2,0,9.7
"5","winter","medium","high",7.8,10.1,5.273,2.805,15,9,27.5,1.5,55.5,0,1.5,7.7,0,6.8,0
"6","spring","medium","medium",7.5,6.2,47.778,2.304,578,220.75,313.60001,0.8,1.7,11.3,5.4,4,0,0,2
"7","winter","medium","medium",7.9,7.7,47.229,5.132,235,10,132.54601,3.2,30.3,0,0,0,5.8,5.9,0
"8","summer","small","medium",8.7,9.8,9,4.99,13.5,238.2,60,5.609,9.2,0,3.9,2.4,15.3,0,3.3
"9","winter","medium","medium",7.8,1.5,63.292,2.603,122.85,26,130.75,10,50.6,14.6,1.7,0,0,17.2,2.4
"10","summer","medium","medium",8,9.9,53.425,1.39,2167.37012,8.692,14,0.8,17,8.9,1,3.2,6.4,4.5,0
"11","autumn","large","medium",8.3,10.2,53.333,3.318,244.60001,12.75,40.667,0.8,14.7,1.5,0,0,0,0,0
"13","winter","large","high",9.1,11.8,64,4.87,225,428.75,47,2.86,43.5,21.7,1,0,1.2,0,0
"14","spring","small","low",8.1,10.53,77.364,8.759,6400,182.42,17,8.1,0,32.8,0,1,1.9,10.3,2.7
"15","autumn","large","high",8.24,9.6,23.25,3.2,233.7,13,6,0.3,0,1.4,1.4,0,2.2,0,0
"16","autumn","small","medium",7.55,9.6,4.7,3.07,90,97.333,89.625,1.1,24.3,0,1.7,5,17.8,1.6,0
"18","winter","small","high",7.14,10.4,32.54,1.67,643,75,211.66701,0.5,1.7,21.5,3.1,0,1.4,0,1
"19","summer","small","low",8.3,10.3,29.775,5.97,24064,8.6,79.75,2,1.6,0,2.4,4.6,0,0,0
"20","spring","medium","medium",8.8,9.9,5,0.996,245,564.59998,287,13.1,12.6,4.1,1.7,4.6,0,77.6,1.4
"21","autumn","medium","medium",7.83,10.2,10.207,4.825,3466.65991,4,586,4.5,0,4.9,3.4,0,8,11.5,1.4
"22","spring","small","low",8.3,8.3,22.455,3.908,914,15.6,285.71399,1,0,5.8,0,0,0,0,31.2
"23","winter","small","low",7.8,6.8,82.852,3.778,10,5,18,7.6,12.3,12,0,0,27.6,0,0
"24","winter","medium","high",7.2,5.8,43.97,1.715,931.83301,53.625,124.2,1.7,0,0,22.9,3.7,0,0,1.9
"25","spring","large","medium",7.6,6.7,0.222,3.829,11.111,23,61.6,26.8,13,8.6,0,3.5,0,42.1,3.4
"26","summer","medium","high",7.9,8.6,87,3.976,165,31.333,84.46,3,11.3,0,42.8,0,0,5.1,0
"27","summer","small","high",7.57,11.5,5.83,1.51,28,61.556,54.916,22.7,32.5,12.7,5,4.9,4.1,7.5,0
"29","winter","small","medium",8.8,5.5,53,5.13,246.364,36.3,121,12.32,56.8,0,19.6,0,9,0,7
"31","autumn","large","medium",7.8,9.3,2.111,1.572,60,261.60001,142,5.62,48.3,16,1.2,0,9.9,0,1.1
"32","autumn","medium","medium",7.5,10.3,95.367,3.78,101.667,132.5,284,0.5,39.1,12.7,0,0,9.5,32.9,0
"33","summer","large","high",7.4,9.5,39,3.726,66.667,120.5,75.333,21.22,0,0,4.8,0,0,0,1.2
"34","summer","large","medium",8.1,9.4,9.055,0.77,40,37.375,253.25,31.738,0,9.1,0,6.8,2.6,0,1.4
"35","spring","medium","high",7.7,11.8,39,5.414,98.333,34.5,72.9,20.8,5.3,2.9,2.4,0,3.4,0,3.9
"36","spring","small","medium",8.7,7.1,7,0.381,196,58.875,11,13,18.3,7.6,0,0,5,0,0
"37","autumn","medium","high",7.5,12.1,1.17,1.921,142,1.625,57.833,0.2,15.1,15.2,5.6,0,35.6,0,2.1
"38","summer","small","high",8,8.2,73.25,10.416,224.286,102.333,56.667,11.7,16.6,1.7,1,1.1,0,13.2,1
"39","spring","small","high",8.3,11.7,54.143,0.23,647.57001,196.62,75.207,0.5,2,0,0,2.6,0,31.8,30.1
"40","winter","medium","medium",7.61,10.3,7,7.74,228.75,7.667,183.66701,5.2,2.2,2.7,0,6.6,44.4,2,4.9
"41","spring","small","high",8,11.2,46.167,4.188,102.75,64,205.875,3.7,39.7,5.9,9.9,3.5,4.9,0,0
"42","autumn","medium","high",8.1,7.1,8.3,0.923,12.5,32.5,6.667,13.2,1.2,21.7,0,0,5.6,0,0
"43","winter","medium","high",8.3,7.9,82.857,2.273,109,136.75,87.125,22.5,12.7,4.6,1.8,0,7.7,0,1.2
"44","summer","large","low",8.3,8.8,173.75,7.83,51.429,282.16699,558.75,27.5,4.1,0,1.2,2.5,0,22.9,0
"45","winter","medium","high",8.15,4.4,69.75,0.672,255,41.5,146.452,3.9,13.6,28.2,1.4,0,0,5.5,0
"46","winter","small","medium",7.4,12.5,127.833,1.655,21.571,78.333,116.2,25,29.5,21.6,0,1,0,0,0
"47","summer","small","medium",8.7,7.7,29.5,4.86,102.5,19.727,52.875,0.8,2.4,12.7,1.2,4.8,0,29.5,0
"48","autumn","small","low",8.3,11.7,9,3.561,72.6,35.333,56.091,21.9,1.9,0,0,0,12.4,0,0
"49","autumn","small","high",7.6,8.4,15,3.02,430,2.5,317,1.4,0,0,0,1.2,0,0,0
"50","summer","small","low",8.1,10.6,31,0.886,10,25.167,232.83299,12.1,7.8,0,1.2,0,4,15.8,0
"51","winter","small","medium",8.4,3.4,22.35,1.335,32.727,12.75,6,11.6,0,0,0,0,1.7,0,6
"52","summer","small","medium",8.66,9,10.078,4.459,20,104.727,45,16,24,0,4.1,0,1.4,0,3.6
"53","spring","small","high",7.9,9.8,55.35,1.718,10,61.182,34,0.5,0,2.9,0,0,10.2,0,0
"54","autumn","large","medium",7.2,6.6,43,0.91,43.75,16,11.818,0.8,7.6,1,1.2,3.5,2.7,0,0
"56","winter","large","medium",5.6,8.4,4.326,3.14,5,1,147.83299,30.4,0,0,2.6,0,0,0,0
"58","winter","small","medium",9.1,9,65.333,1.288,32.5,234.5,6.2,19.4,1.9,5.4,3.2,1.6,7.3,64.6,1
"59","autumn","large","high",7.09,7.3,40.02,2.316,345.45499,2,167.89999,18.33,1.4,0,24.8,0,1.2,0,1
"60","summer","medium","medium",8.7,9.8,7.25,2.231,172.5,39,277.33301,4.9,0,25.4,0,0,10.6,42.7,0
"61","winter","medium","medium",6.6,10,82.111,4.053,46.5,159.5,85,1.1,31.1,0,0,0,20.8,1.2,0
"64","winter","medium","high",7.4,8.1,17.75,1.203,34,2,18.293,2,20.3,4.3,0,1.2,0,12.7,0
"66","winter","small","medium",8,6,3.136,1.42,88.182,467.5,292.625,6.9,16.8,0,19.5,0,6.5,0,7.8
"67","spring","small","low",8.5,9,21.95,6.54,49.5,24,10.75,6.4,37.3,2.1,3,5.3,0,0,0
"69","spring","medium","medium",7.84,10.8,30.125,1.587,2082.8501,48,351.60001,9,0,1,0,7.6,0,0,2.1
"70","winter","small","high",8.2,8.9,39.109,1.223,101,412.33301,388.16699,88.255,0,20.6,3.9,3,0,0,1
"71","spring","medium","high",8,9.9,63.625,2.67,160,151.125,77.434,1.3,75.8,4.1,6.6,0,9,16.7,14.4
"72","spring","medium","medium",8.58,10.9,8,4.698,178.57001,4,152.33299,17.2,3.6,0,0,2.7,13.3,10.6,1.6
"73","summer","medium","medium",7.4,10.7,69,9.08,5.8,111.25,303.33301,31,2.2,4,4.9,0,2.5,21.4,0
"74","winter","large","high",7.4,10.77,11.818,3.617,22.5,2,21.3,1.1,52.2,4.1,0,2.2,4,0,0
"76","winter","medium","medium",8.2,9.4,35.75,1.374,58.5,39,39,3.6,6.7,2.1,0,1.2,0,17,6.8
"77","summer","medium","medium",6.6,10,74.667,1.32,12.5,54.1,44.136,54.367,6.5,8,0,4.6,19,0,1.4
"78","spring","large","high",8.4,5.9,77,0.735,133.636,66.4,1,28.567,1.4,0,23.2,0,9.4,0,2.2
"79","spring","small","medium",7.9,8.1,3.275,0.658,81,9.667,11.8,3.6,69.9,0,11.8,0,5.5,0,1.9
"81","spring","medium","medium",8.3,10.7,26.76,1.474,1168,276.85001,82.444,5.544,43.7,0,1.4,0,0,1.5,0
"82","spring","small","high",7.62,5.4,12.146,1.47,96.667,191.75,219.909,4.3,1.2,0,0,0,0,0,25.6
"83","winter","medium","high",8.5,10.6,27.4,1.519,128.571,60,361,1,0,0,1,6.8,1.9,6.4,10.2
"85","autumn","small","high",9.06,8.5,100.83,1.732,737.5,20,58.374,3,33.9,28,0,6.9,0,6.2,0
"86","spring","medium","medium",8.7,9.6,54.19,0.846,46.2,137.60001,35.2,3,7.2,0,8.8,2.6,5.4,8.5,6.1
"87","winter","large","high",7.9,12.6,53.102,3.678,38.111,67.5,169.00101,3.2,0,7,7.3,2.2,1.4,22.3,2.7
"88","winter","medium","high",7.8,3.6,48.667,6.2,92,209.85699,607.16699,4.3,14.4,13.2,1.9,0,0,0,0
"89","spring","small","medium",8.53,9.7,3.5,4.03,25.833,58.222,2.5,68.05,14.6,0,3,0,0,0,2.2
"90","summer","small","high",8.22,4.9,125.6,2.102,380,6,22.9,5.8,18.2,5,1.7,0,1.2,0,3.3
"91","winter","small","medium",7.8,1.8,10.936,5.164,101.25,267.75,391.75,1,1.5,5.5,2.3,0,2.1,12.4,0
"92","summer","medium","medium",7.6,4.5,23.825,3.31,176.66701,54,13.6,5.083,1.4,5.6,1.6,0,8.6,20.4,1
"93","autumn","small","medium",8.16,10.8,10.5,3.923,18.333,60.833,187.05701,2.8,15.1,0,0,0,1,1.2,3.9
"94","spring","medium","low",8.1,11,65.75,6.225,89.6,24.667,170,23.8,2.5,3.1,0,0,9.2,3.3,1.9
"96","summer","medium","high",9.1,6,5.889,2.899,370,37,141.83299,20.829,5.7,40.7,1.4,4.4,0,10.1,6
"97","summer","medium","high",8.1,11.7,38.125,0.308,137.27299,45.9,104,81.54,1.9,0,10.3,0,7.7,9.6,0
"98","autumn","small","medium",7.9,10.6,57.75,1.013,153.75,173,200.231,0.4,0,16.2,21.9,3.4,0,0,0
"99","summer","medium","medium",7.9,9.9,11,1.873,37.778,3.333,49.333,92.667,4.4,6,4.2,44.6,0,0,0
"100","spring","large","low",7.7,3.2,85.982,0.73,52.2,38.75,14,13.1,4.4,7.3,1,1.2,6.6,0,2.2
