1)
  season   size  speed mxPH mnO2    Cl  NO3    NH4   oPO4   PO4  Chla   a1   a2  a3  a4 a5   a6  a7
1 spring  large medium 8.25  6.7  59.1 6.24 2167.4 105.00 272.2  1.30  0.0 14.5 3.3 0.0  0  8.3 0.0
2 spring medium medium 8.10  8.1  29.2 4.70   65.6  33.80 558.8  6.17 15.1 15.7 4.1 0.0  0  0.0 0.0
3 autumn  large medium 8.10 10.0  40.0 5.33  346.7   1.62  46.4    NA  1.9 41.0 0.0 2.1  0  0.0 0.0
4 autumn medium   high 8.06 11.6  44.0 3.33   98.2  61.18 236.0 25.00  0.0 21.7 1.7 0.0  0  0.0 2.9
5 autumn medium medium 8.10  7.8 131.4 0.77  120.0  58.22 219.9 10.50 14.6  2.9 0.0 0.0  5  6.7 1.0
6 winter medium medium 7.19  9.8  47.8 3.78   58.5   3.22 140.2  0.50  2.8 11.3 0.0 4.6  0 17.0 1.9
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,large,medium,8.25,6.7,59.067,6.238,2167.37012,105,272.22198,1.3,14.5,0,8.3,0
2,spring,medium,medium,8.1,8.1,29.2,4.698,65.556,33.8,558.75,6.167,15.7,0,0,0
3,autumn,large,medium,8.1,10,40.02,5.33,346.66699,1.625,46.438,NA,41,2.1,0,0
4,autumn,medium,high,8.06,11.6,43.97,3.33,98.182,61.182,236,25,21.7,0,0,2.9
5,autumn,medium,medium,8.1,7.8,131.39999,0.77,120,58.222,219.909,10.5,2.9,0,6.7,1
6,winter,medium,medium,7.19,9.8,47.778,3.778,58.5,3.222,140.22,0.5,11.3,4.6,17,1.9
7,spring,small,medium,8.07,7.7,101.875,5.132,31.333,166.72701,18,0.5,1,0,42.7,0
8,summer,small,medium,8.2,9.5,4.545,1.535,32.5,38.75,607.16699,NA,1.6,0,0,7.8
9,winter,medium,medium,8.4,11.2,54.143,1.32,65.455,67.5,104,10,4.6,1.7,9.6,1.4
10,summer,medium,high,7.93,9.9,4.575,2.443,723.66699,104.727,137.778,7.3,3.8,2.9,4.5,3.9
11,spring,small,high,7.3,10.2,53.333,1.287,88.182,32.5,287,5.8,12,0,0,1.2
12,spring,small,low,8,10.8,16,3.78,170.909,8.692,277.33301,1,0,0,1.5,1.2
13,winter,medium,high,7.74,4.5,64,1.335,10.5,12.75,71,15,0,1.9,0,0
14,winter,small,medium,8.5,10.7,22.32,3.31,35,282.16699,171.272,53.1,6.4,0,22.9,3.2
15,summer,small,medium,7,5.4,51.113,9.08,46.2,13,222.286,2,0,0,0,1.9
16,spring,medium,high,8.1,9.7,4.7,5.078,17.778,97.333,183.66701,1.1,0,0,1.6,0
17,winter,medium,medium,7.78,11,7,3.2,39,276.85001,50,1.3,28,5,6.8,1.2
18,winter,small,high,8.21,6,32.54,3.9,134,35.333,254.60001,0.5,2.1,1.9,29.5,2.7
19,autumn,large,low,7.35,7.1,81.333,3.829,32,37,6,14.775,3.1,0,20.4,0
20,spring,small,medium,7.925,10.7,5,2.822,245,564.59998,292.625,6.8,0,0,6.2,2.3
21,autumn,medium,high,7.9,11.17,3.5,4.825,102.75,467.5,97.58,12.32,0,6.8,11.5,1.4
22,spring,small,medium,7.3,11.9,53.425,0.735,24064,15.6,285.71399,0.5,11.6,2.3,0,2.4
23,autumn,small,medium,7.8,9.3,NA,3.245,27.286,173,186.5,7.6,25.4,3.5,0,0
24,winter,small,low,7.2,5.3,7.25,1.715,10,12.75,44.136,18.37,0,1.7,0,3.9
25,spring,small,medium,7.84,10.7,63.51,4.17,11.111,41.5,262.72699,1.4,4.6,0,0,3.4
26,spring,medium,high,8.4,9.9,127.833,0.9,165,26.6,84.46,3,0,0,0,1.5
27,winter,large,high,8,8.4,187.183,2.304,28,61.556,169.00101,2,1.7,4.9,0,0
28,spring,medium,high,7.8,10.2,77,0.672,206.53799,9,20.812,13,0,0,0,0
29,winter,large,medium,8,11,208.364,3.908,98.333,66.4,147.83299,0.6,0,0,0,0
30,autumn,medium,high,7.55,10.1,32.92,8.543,49,1,85.4,5.2,0,0,3.9,3.6
