1)
  season   size  speed mxPH mnO2    Cl   NO3   NH4  oPO4   PO4 Chla   a1   a2   a3   a4  a5   a6
1 spring medium medium 8.24  9.4 41.50 6.238  10.5 105.0 122.0 50.0  8.7  4.7  0.0  3.5 5.5  3.9
2 spring medium   high 7.80 12.0 38.12 1.732  46.5  53.6   4.0  1.3 14.6 15.7  1.4  1.0 0.0  0.0
3 autumn  large medium 7.09 11.4 40.02 1.470 371.1  28.6  46.4  3.3  0.0  3.9  0.0 11.3 5.3  0.0
4 summer  small    low 8.06  8.5  1.55 2.316 197.9 238.2 138.7  1.4  2.4  8.0 18.9  6.8 6.1  0.0
5 autumn medium medium 8.00  9.0  5.27 0.376 233.7    NA  97.6 14.8 55.5  0.0  7.8  0.0 5.0 42.4
6 autumn medium medium 8.00 10.0 29.20 0.663 271.2  13.0 279.1  4.5  1.2  0.0  8.8  0.0 0.0  0.0
   a7
1 0.0
2 0.0
3 9.7
4 3.3
5 1.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,medium,medium,8.24,9.4,41.5,6.238,10.5,105,122,50,4.7,3.5,3.9,0
2,spring,medium,high,7.8,12,38.125,1.732,46.5,53.625,4,1.3,15.7,1,0,0
3,autumn,large,medium,7.09,11.4,40.02,1.47,371.11099,28.625,46.438,3.3,3.9,11.3,0,9.7
4,summer,small,low,8.06,8.5,1.549,2.316,197.909,238.2,138.7,1.4,8,6.8,0,3.3
5,autumn,medium,medium,8,9,5.273,0.376,233.7,NA,97.58,14.775,0,0,42.4,1
6,autumn,medium,medium,8,10,29.2,0.663,271.25,13,279.06601,4.5,0,0,0,0
7,summer,medium,medium,8.15,10.3,47.229,5.132,235,48.667,138.5,0.8,0,3.9,0,2.7
8,spring,small,medium,7.6,9.8,4.545,0.13,8,75,60,6.9,13.2,0,17.8,0
9,spring,large,medium,8.6,10.5,NA,1.32,122.85,27,104,0.6,0,7.7,1.8,0
10,spring,medium,high,7.57,7.9,4.575,2.67,5,8.692,388.16699,0.8,5.8,2.9,12.6,0
