1)
  season   size  speed mxPH mnO2    Cl   NO3   NH4 oPO4   PO4 Chla   a1  a2   a3  a4 a5   a6   a7
1 winter  small medium 8.00  8.0 74.67 6.238  28.0  105 232.9 50.0 14.4 1.7  0.0 0.0  0  0.0  0.0
2 spring  small medium 8.70 12.0  7.84 2.316 345.5    4 624.7 40.0  1.7 2.1  4.1 2.4  0  0.0  0.0
3 autumn  large medium 7.09 11.4 40.02 0.381  21.6    3  46.6   NA  3.3 0.0  1.0 0.0  0  0.0  0.0
4 winter medium   high 8.06  4.8  1.55 1.875  98.2  137 138.7  1.0  0.0 0.0 25.3 1.2  0  0.0  2.9
5 autumn  small medium 7.80  9.8 38.90 7.830 233.7  412   6.0  7.6 66.0 0.0  0.0 6.8  0  4.1  0.0
6 autumn medium    low 8.20 11.1 47.78 3.778  18.0   13  75.2 28.4 12.7 0.0 23.2 0.0  0 12.6 16.7
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,small,medium,8,8,74.667,6.238,28,105,232.89999,50,1.7,0,0,0
2,spring,small,medium,8.7,12,7.838,2.316,345.45499,4,624.73297,40,2.1,2.4,0,0
3,autumn,large,medium,7.09,11.4,40.02,0.381,21.571,3,46.6,NA,0,0,0,0
4,winter,medium,high,8.06,4.8,1.549,1.875,98.182,136.75,138.7,1,0,1.2,0,2.9
5,autumn,small,medium,7.8,9.8,38.902,7.83,233.7,412.33301,6,7.6,0,6.8,4.1,0
6,autumn,medium,low,8.2,11.1,47.778,3.778,18,13,75.207,28.4,0,0,12.6,16.7
7,summer,medium,medium,8.1,NA,101.875,5.132,65.556,66.4,246.66701,3.2,2.1,4.9,3.3,2.7
8,summer,small,medium,6.6,8.1,55.35,0.701,28.333,18.25,60,6.9,1.6,0,0,0
9,summer,small,high,9.1,11.2,NA,1.448,122.85,26,46.438,5.083,0,0,4.7,0
10,spring,medium,high,7.93,4.3,4.575,1.39,122.5,16,14.354,5.5,2.1,1,42.7,0
11,spring,small,high,8.06,10.2,30.125,0.996,380,35.333,40.667,6.5,26.5,6.6,0,2.1
12,summer,small,low,8,8.1,16,3.678,109,53.625,262.72699,25,1.9,0,10.6,0
13,spring,medium,high,8.5,9.6,7,1.223,10,10.8,6.2,10.5,9.1,4,1.2,6.1
14,winter,medium,high,8.56,10.2,30.523,1.32,10.5,1.333,108,0.2,0,0,12.4,2.7
15,autumn,large,high,7.9,7.3,1.45,4.188,46.2,NA,61.6,1.1,13.7,0,0,0
16,autumn,medium,high,8,11.5,58.331,3.07,49.5,31.333,140.22,1.1,0,3.4,2.6,1
17,spring,medium,low,7.78,10.7,7,1.335,224.286,18.667,52.875,13.2,8,1,0,0
18,spring,small,high,8.3,10.4,32.54,1.443,5,234.5,254.60001,2.7,0,1.9,0,0
19,autumn,small,high,7.35,11.7,22.32,3.976,24064,20,170,54.367,32.8,4.3,0,1
20,winter,medium,high,6.6,8.8,5,2.822,228.75,27.667,586,4.9,15.9,4.6,0,0
21,winter,large,medium,8.1,1.8,3.5,4.825,1495,467.5,287,2.1,0,0,11.5,1.4
22,summer,small,high,8.3,9.2,22.455,0.9,12.727,4,75.333,21.9,10.4,4.8,0,0
23,winter,large,medium,7.3,4.5,130.67,2.163,27.286,125.667,18,17.2,16.2,2.5,0,0
