1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","small","medium",8,8,74.667,6.238,28,105,232.89999,50,14.4,1.7,0,0,0,0,0
"2","spring","small","medium",8.7,12,7.838,2.316,345.45499,4,624.73297,40,1.7,2.1,4.1,2.4,0,0,0
"4","winter","medium","high",8.06,4.8,1.549,1.875,98.182,136.75,138.7,1,0,0,25.3,1.2,0,0,2.9
"5","autumn","small","medium",7.8,9.8,38.902,7.83,233.7,412.33301,6,7.6,66,0,0,6.8,0,4.1,0
"6","autumn","medium","low",8.2,11.1,47.778,3.778,18,13,75.207,28.4,12.7,0,23.2,0,0,12.6,16.7
"8","summer","small","medium",6.6,8.1,55.35,0.701,28.333,18.25,60,6.9,0,1.6,0,0,6.7,0,0
"10","spring","medium","high",7.93,4.3,4.575,1.39,122.5,16,14.354,5.5,16.6,2.1,7,1,0,42.7,0
"11","spring","small","high",8.06,10.2,30.125,0.996,380,35.333,40.667,6.5,14.7,26.5,6.1,6.6,4.1,0,2.1
"12","summer","small","low",8,8.1,16,3.678,109,53.625,262.72699,25,12.3,1.9,4.7,0,0,10.6,0
"13","spring","medium","high",8.5,9.6,7,1.223,10,10.8,6.2,10.5,43.5,9.1,10.8,4,1.2,1.2,6.1
"14","winter","medium","high",8.56,10.2,30.523,1.32,10.5,1.333,108,0.2,0,0,0,0,6.6,12.4,2.7
"16","autumn","medium","high",8,11.5,58.331,3.07,49.5,31.333,140.22,1.1,1.2,0,1.7,3.4,4,2.6,1
"17","spring","medium","low",7.78,10.7,7,1.335,224.286,18.667,52.875,13.2,18.1,8,1.8,1,15,0,0
"18","spring","small","high",8.3,10.4,32.54,1.443,5,234.5,254.60001,2.7,1.7,0,3.1,1.9,15.3,0,0
"19","autumn","small","high",7.35,11.7,22.32,3.976,24064,20,170,54.367,81.9,32.8,0,4.3,1.2,0,1
"20","winter","medium","high",6.6,8.8,5,2.822,228.75,27.667,586,4.9,35.5,15.9,0,4.6,17.8,0,0
"21","winter","large","medium",8.1,1.8,3.5,4.825,1495,467.5,287,2.1,43.7,0,3.5,0,1.4,11.5,1.4
"22","summer","small","high",8.3,9.2,22.455,0.9,12.727,4,75.333,21.9,0,10.4,0,4.8,1.4,0,0
"23","winter","large","medium",7.3,4.5,130.67,2.163,27.286,125.667,18,17.2,1.4,16.2,0,2.5,0,0,0
"24","winter","small","medium",7.2,5.3,50,0.81,208.33299,6.5,87.125,0.5,4.4,4.3,1,0,0,0,1.4
"29","summer","medium","high",8,6.3,16,6.54,246.364,1.8,121,2.15,31.1,0,1.9,2.2,0,5.4,1.4
"30","winter","medium","medium",8.2,3.4,9,8.543,120,67.5,98.143,0.5,33.9,0,14.6,0,8.6,0,3.6
"31","autumn","medium","medium",8.1,8.2,8.3,4.408,60,19.111,34,5.62,2.4,16,0,7.7,12.4,0,0
"32","autumn","medium","high",8.2,10.6,6.3,3.78,60,132.5,14,92.667,2.1,17.1,1.9,0,0,11.1,1.5
"34","winter","medium","medium",8.4,9.4,53,1.051,461.875,51.111,7,31.738,13.6,21.7,0,0,2.6,5.5,7.1
"35","spring","small","medium",8.47,10.8,12.778,2.818,32.5,34.5,276,27.618,0,11.3,3.3,0,4.8,1.4,0
"36","summer","large","high",8.7,8.4,7.25,6.513,271.25,60.833,10.75,1.4,3.8,0,0,0,0,0,1
"37","summer","large","medium",8.8,9,1.17,4.86,76.667,39,146.452,0.3,0,0,5.6,0,0,6.2,0
"38","spring","small","high",7.45,8.2,22.286,3.685,43.75,2.5,3,12.1,12.6,1.7,0,0,1.9,1.5,0
"39","summer","medium","medium",5.7,11.7,54.143,2.64,3515,196.62,58.374,98.817,3.6,12.7,2.2,0,0,31.8,30.1
"40","summer","small","medium",8.4,9.9,11,1.32,245,58.875,218,17.2,86.6,2.7,7.5,0,0,0,0
"42","winter","medium","high",7.91,7.1,54.19,0.63,60.11,2,272.22198,6.429,0,53.6,0,0,3.2,0,2.4
"43","winter","small","high",8.3,8.3,20.083,4.94,43.75,10,124.2,11.7,1.7,1,0,0,6.4,0,0
"44","spring","large","medium",8.3,9.2,173.75,1.42,51.429,276.85001,326.85699,81.54,25.5,7.5,10.2,0,1,2.6,14.4
"46","winter","medium","medium",8.3,12.5,85.982,2.512,128.571,37.375,43.5,6.8,7.8,1.5,0,1,11.5,0,0
"47","spring","small","medium",8,7.1,66.3,0.735,96.667,16,292.625,2.338,2.4,21.1,10.6,2.2,11.7,9.9,0
"48","winter","medium","high",8.5,12.6,9,1.374,72.6,2,14,4.5,1.9,0,19.7,0,9,0,1.9
"49","winter","medium","medium",7.9,10.3,35.75,3.02,12.5,27,6.667,2.1,16.8,0,3.3,1,17.9,0,3.3
"50","summer","small","medium",6.5,11.21,95.367,5.414,370,22.444,20.812,15.3,0,7.4,2.1,0,8,9.9,0
"51","autumn","medium","high",8.3,8.1,64,1.172,192.5,12.75,361,0.8,5.3,0,7.8,0,0,0,1.4
"52","summer","medium","high",8.66,7.9,53.333,4.459,133.636,159.16701,125.8,4.3,3.1,0,1.7,0,2.9,17.1,2.4
"53","spring","small","high",8.4,11,20.625,2.8,35,7.75,167.89999,0.5,0,0,1,0,0,2,0
"54","summer","medium","high",8.1,10.9,49.9,0.91,18.333,28.625,11.818,0.8,46.8,16.4,3.7,0,2.7,0,2.7
"55","winter","small","high",8.84,10.7,5.273,2.954,33.636,57.6,140.517,11.1,82.7,0,0,0,0,0,0
"56","winter","small","medium",9.06,4.9,17.375,6.096,421.66699,264.89999,211.66701,1.1,0,0,0,0,11.5,0,0
"59","spring","medium","high",8.15,10.68,50,3.414,15,78.333,239,7.3,32.5,1.9,5,0,0,0,4.3
"61","summer","small","medium",8.7,9.8,87,5.97,46.5,2,76.333,34.75,0,21.7,0,11,0,1.2,0
"64","winter","large","high",7.8,11.3,60.8,0.886,146.66701,82.222,122,1,20.3,1,1.2,0,2.1,2.4,1.2
"65","summer","small","high",7.8,11.3,4.326,1.474,92,104.5,7.2,53.1,15.8,0,7.8,0,1.2,0,1.2
"66","autumn","medium","medium",8.1,7.7,23.25,0.672,8,3.333,186,5.111,0,8.7,0,3.7,6.5,0,0
"67","summer","medium","high",8.22,7,3.275,3.9,112.857,1.25,44.136,4.5,2.9,11.2,0,0,22.5,0,1.4
