1)
  season  size  speed mxPH mnO2     Cl   NO3    NH4  oPO4   PO4  Chla   a1   a2   a3  a4  a5   a6
1 spring large    low 7.70  5.3  41.16 2.818   31.3 105.0  52.9  5.50  0.0 17.1  0.0 0.0 0.0  8.3
2 summer small medium 8.00 10.5 187.18 1.288 1495.0  33.8 142.0 30.00 46.6 15.7  4.1 6.2 6.6  4.7
3 autumn large   high 9.10 11.4  12.15 4.665   18.4  32.0  46.6  5.45  8.7  2.1  0.0 6.8 0.0  8.5
4 spring small medium 8.30  8.8   3.14 0.536  161.8  24.7 249.2  1.20 82.7  0.0 18.9 0.0 3.1  0.0
5 spring large   high 8.00  9.0     NA 3.976   88.2  58.2  97.6  3.00  3.7 28.2  2.0 0.0 0.0  0.0
6 spring large medium 7.19 10.0  47.78 6.045  102.5  13.0 141.8 24.56 47.1 10.5  0.0 0.0 0.0 12.6
   a7
1 0.0
2 1.4
3 0.0
4 1.6
5 0.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,large,low,7.7,5.3,41.163,2.818,31.333,105,52.875,5.5,17.1,0,8.3,0
2,summer,small,medium,8,10.5,187.183,1.288,1495,33.8,142,30,15.7,6.2,4.7,1.4
3,autumn,large,high,9.1,11.4,12.146,4.665,18.429,32,46.6,5.45,2.1,6.8,8.5,0
4,spring,small,medium,8.3,8.8,3.136,0.536,161.81799,24.667,249.25,1.2,0,0,0,1.6
5,spring,large,high,8,9,NA,3.976,88.182,58.222,97.58,3,28.2,0,0,0
6,spring,large,medium,7.19,10,47.778,6.045,102.5,13,141.83299,24.556,10.5,0,12.6,0
7,summer,medium,high,6.8,11.4,NA,5.132,28,26.625,143.75,3.2,7.3,1.7,1.4,0
8,spring,small,medium,8.2,11.8,4.545,4.99,758.75,3.8,69.93,22.7,1.6,0,0,4.9
9,summer,large,high,8.6,9.4,NA,1.32,122.85,26,40,6.8,0,1.8,0,4.3
10,summer,small,low,7.93,9.9,94.405,4.86,380,16,18.293,14.775,8.9,0,6.4,0
11,summer,small,high,8.4,7.1,5.889,1.287,723.66699,54.1,233.5,5.609,0,1.7,9.6,0
12,winter,medium,medium,8.3,5.9,16,1.003,101.25,187,49.333,1,13.2,1.4,0,2.4
13,summer,small,medium,8.4,9,40.226,1.655,246.364,24,91.111,1.3,0,0,0,0
14,summer,large,high,7.55,3.4,7,8.759,NA,57.6,17,4.5,0,0,0,0
15,summer,small,low,7.9,9.6,51.113,1.873,46.2,125.667,61.6,2,5,0,0,3.4
16,autumn,medium,high,7.72,9.5,74.667,3.07,14.75,97.333,98.25,1.1,11.6,0,0,0
17,spring,small,medium,7.6,8.4,87,1.443,20,1,50,NA,12.7,3.5,2,1.2
18,winter,small,medium,8.7,9.9,22.32,0.9,32,35.333,254.60001,54.367,12.4,6.8,29.5,3.2
19,summer,small,low,7.8,12.1,10.078,1.39,83.75,60,27.5,2.8,0,4.3,0,25.6
20,summer,medium,medium,8.5,10.7,37.6,3.773,20,1.8,127.222,2.15,2.7,4.6,0,1.4
21,winter,small,medium,8.4,10.7,48.667,6.225,346.66699,467.5,39,98.817,0,2.9,11.5,1
22,winter,small,high,8.4,12.9,22.455,0.735,39,15.6,138.5,0.5,5.6,2.3,5.9,0
23,autumn,small,high,8,1.8,11.088,3.245,27.286,7.667,86.997,7.6,25.4,2.5,0,1.1
24,winter,medium,high,7.2,11.8,50,1.474,208.33299,53.625,87.125,1.7,7.5,3.7,0,0
25,spring,large,high,7.84,3.3,35.66,0.658,134,41.5,104,0.3,3.4,0,0,0
26,winter,small,high,8.1,11.5,50,7.83,196,137.60001,57.833,3,0,1,17.7,0
27,summer,medium,low,7.4,8.3,11.867,2.304,235,61.556,61.444,9,0,0,22.9,0
28,autumn,medium,high,8.15,10.1,8.3,0.63,98.182,9,432.909,75,0,0,0,1.9
29,autumn,small,medium,8,11.6,8,4.053,60,12,586,26.8,0,0,1.5,2.5
30,summer,small,medium,8.27,11.1,11,8.543,101,151.125,279.06601,0.5,0,0,42.1,3.6
31,autumn,large,high,6.6,9.3,77,1.212,120,19.111,558.75,NA,16,0,0,7.8
32,spring,medium,high,8.2,11.8,NA,3.78,32.5,132.5,222.286,92.667,0,0,11.1,0
33,winter,medium,medium,7.4,4.9,20.083,3.02,124.167,120.5,102.571,NA,1,0,6.2,1.2
34,winter,small,medium,8.07,10.7,101.875,1.172,84.667,166.72701,7.654,31.738,9.1,0,0,0
35,summer,medium,high,8.2,9.4,39,3.316,233.7,102.364,232.89999,NA,40.7,0,18.2,2.2
36,summer,small,medium,8.7,8.4,26,2.31,27.5,32.5,44.136,13,0,0,0,0
37,autumn,medium,high,7.2,9.7,8.69,1.921,461.875,1.625,146.452,7.9,1.5,3.4,6.7,3.9
38,winter,small,high,8.7,11.2,3,10.416,371.11099,104.727,3,9.882,1,1.2,0,18.6
39,winter,small,high,8.2,5.5,46.167,2.64,10,196.62,116.2,3.7,2,3.7,0,30.1
40,winter,small,medium,8.4,10.5,57.848,5.414,15,182.42,85,17.2,0,0,64.6,0
