1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","spring","large","low",7.7,5.3,41.163,2.818,31.333,105,52.875,5.5,0,17.1,0,0,0,8.3,0
"2","summer","small","medium",8,10.5,187.183,1.288,1495,33.8,142,30,46.6,15.7,4.1,6.2,6.6,4.7,1.4
"3","autumn","large","high",9.1,11.4,12.146,4.665,18.429,32,46.6,5.45,8.7,2.1,0,6.8,0,8.5,0
"4","spring","small","medium",8.3,8.8,3.136,0.536,161.81799,24.667,249.25,1.2,82.7,0,18.9,0,3.1,0,1.6
"6","spring","large","medium",7.19,10,47.778,6.045,102.5,13,141.83299,24.556,47.1,10.5,0,0,0,12.6,0
"8","spring","small","medium",8.2,11.8,4.545,4.99,758.75,3.8,69.93,22.7,0,1.6,0,0,1.7,0,4.9
"10","summer","small","low",7.93,9.9,94.405,4.86,380,16,18.293,14.775,17,8.9,1,0,6.4,6.4,0
"11","summer","small","high",8.4,7.1,5.889,1.287,723.66699,54.1,233.5,5.609,1.1,0,0,1.7,0,9.6,0
"12","winter","medium","medium",8.3,5.9,16,1.003,101.25,187,49.333,1,0,13.2,0,1.4,0,0,2.4
"13","summer","small","medium",8.4,9,40.226,1.655,246.364,24,91.111,1.3,43.5,0,0,0,0,0,0
"15","summer","small","low",7.9,9.6,51.113,1.873,46.2,125.667,61.6,2,18.1,5,9,0,11.3,0,3.4
"16","autumn","medium","high",7.72,9.5,74.667,3.07,14.75,97.333,98.25,1.1,1.4,11.6,1.7,0,28.8,0,0
"18","winter","small","medium",8.7,9.9,22.32,0.9,32,35.333,254.60001,54.367,16.5,12.4,1.9,6.8,7.7,29.5,3.2
"19","summer","small","low",7.8,12.1,10.078,1.39,83.75,60,27.5,2.8,81.9,0,0,4.3,1.2,0,25.6
"20","summer","medium","medium",8.5,10.7,37.6,3.773,20,1.8,127.222,2.15,0,2.7,13.6,4.6,1.4,0,1.4
"21","winter","small","medium",8.4,10.7,48.667,6.225,346.66699,467.5,39,98.817,2.4,0,0,2.9,4,11.5,1
"22","winter","small","high",8.4,12.9,22.455,0.735,39,15.6,138.5,0.5,4.1,5.6,1,2.3,0,5.9,0
"23","autumn","small","high",8,1.8,11.088,3.245,27.286,7.667,86.997,7.6,0,25.4,7.5,2.5,27.6,0,1.1
"24","winter","medium","high",7.2,11.8,50,1.474,208.33299,53.625,87.125,1.7,0,7.5,1,3.7,6.6,0,0
"25","spring","large","high",7.84,3.3,35.66,0.658,134,41.5,104,0.3,0,3.4,6.1,0,0,0,0
"26","winter","small","high",8.1,11.5,50,7.83,196,137.60001,57.833,3,0,0,4,1,1.4,17.7,0
"27","summer","medium","low",7.4,8.3,11.867,2.304,235,61.556,61.444,9,1.5,0,0,0,0,22.9,0
"28","autumn","medium","high",8.15,10.1,8.3,0.63,98.182,9,432.909,75,30.3,0,35.1,0,0,0,1.9
"29","autumn","small","medium",8,11.6,8,4.053,60,12,586,26.8,2.2,0,0,0,2.4,1.5,2.5
"30","summer","small","medium",8.27,11.1,11,8.543,101,151.125,279.06601,0.5,14.4,0,14.6,0,5,42.1,3.6
"34","winter","small","medium",8.07,10.7,101.875,1.172,84.667,166.72701,7.654,31.738,13.6,9.1,0,0,19,0,0
"36","summer","small","medium",8.7,8.4,26,2.31,27.5,32.5,44.136,13,12.7,0,0,0,3.9,0,0
"37","autumn","medium","high",7.2,9.7,8.69,1.921,461.875,1.625,146.452,7.9,0,1.5,5.6,3.4,0,6.7,3.9
"38","winter","small","high",8.7,11.2,3,10.416,371.11099,104.727,3,9.882,0,1,0,1.2,0,0,18.6
"39","winter","small","high",8.2,5.5,46.167,2.64,10,196.62,116.2,3.7,2,2,0,3.7,0,0,30.1
"40","winter","small","medium",8.4,10.5,57.848,5.414,15,182.42,85,17.2,1.9,0,7.5,0,7.5,64.6,0
"41","autumn","small","medium",7.8,8.2,194.75,2.163,4073.33008,18.667,205.875,8.957,0,5.9,5,1.9,0,0,0
"42","spring","medium","medium",7.91,7.1,70,2.68,192.5,264.89999,102.333,13.2,7.6,21.7,21.9,0,3.2,0,0
"44","winter","small","high",8.3,10.6,173.75,3.561,1990.16003,39,326.85699,81.54,4.1,3.1,5.4,0,17.8,0,0
"45","winter","small","medium",8.3,8.5,136,0.758,130,6.5,120.889,4.3,1.7,0,14,0,2.2,5.5,0
"46","winter","large","high",8.06,12.5,48.429,0.23,40,4,75.333,3.3,18.3,1.5,0,3.2,2.9,3.3,1.4
"47","winter","small","low",8.1,9.8,32.4,0.376,5.8,191.75,292.625,3.2,2.4,12.7,1.2,0,11.7,0,12.5
"48","winter","medium","medium",8.3,12.6,9,0.866,10,412.33301,272.22198,23.8,14.7,0,0,0,2.6,0,2.1
"50","summer","large","medium",7.9,11.7,71.444,0.33,137.27299,22.444,20.812,4.5,1.7,7.4,0,0,1,1.5,2.4
"52","summer","small","high",8.66,10.29,30.125,2.8,1911,19.727,13.6,1.3,1.1,0,1.5,2.2,5.4,17.1,0
