1)
  season   size  speed mxPH mnO2     Cl   NO3   NH4  oPO4   PO4 Chla   a1  a2   a3  a4   a5   a6 a7
1 autumn medium medium 8.00  9.2  41.16 1.870  14.8 105.0 122.0   NA 74.2 4.7  0.0 0.0  6.1  0.0  0
2 autumn  small medium 8.70 10.4 194.75 1.288  65.6 191.8 167.9 26.8 14.4 1.0  4.1 0.0  0.0  0.0  0
3 autumn  large   high 7.09 11.4  12.00 3.316 346.7 246.0  46.6  2.1  3.3 2.1  0.0 0.0  0.0  0.0  0
4 summer  small   high 7.92  4.8   1.55 0.102  52.2  49.0 138.7  3.6  2.4 0.0 18.9 0.0  1.7  0.0  0
5 winter  small medium 7.30  9.0  29.50 1.420 122.5  58.2  97.6 10.5 55.5 7.5  0.0 0.0  0.0  0.0  1
6 autumn medium    low 7.19 10.0   7.84 3.778 233.7 143.7  18.0 92.7 28.1 0.0 23.2 1.7 16.2 12.6  0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,medium,medium,8,9.2,41.163,1.87,14.75,105,122,NA,4.7,0,0,0
2,autumn,small,medium,8.7,10.4,194.75,1.288,65.556,191.75,167.89999,26.8,1,0,0,0
3,autumn,large,high,7.09,11.4,12,3.316,346.66699,246,46.6,2.1,2.1,0,0,0
4,summer,small,high,7.925,4.8,1.549,0.102,52.2,49,138.7,3.6,0,0,0,0
5,winter,small,medium,7.3,9,29.5,1.42,122.5,58.222,97.58,10.5,7.5,0,0,1
6,autumn,medium,low,7.19,10,7.838,3.778,233.7,143.71001,18,92.667,0,1.7,12.6,0
7,winter,small,medium,8.3,10.3,12.146,7.83,345.45499,37.375,391.75,3.2,1,0,0,0
8,summer,small,medium,8.3,10.6,47,45.65,160,3,102.571,1.7,20.1,0,0,0
9,spring,medium,high,8.43,11,23.825,2.68,49.5,1,104,6.167,5.4,4.9,5.9,0
10,winter,medium,medium,7.93,9.9,2.933,0.05,371.11099,28.625,6,0.8,0,0,0,0
11,winter,small,high,8.27,10.2,NA,1.287,461.875,1,40.667,3.2,0,1.9,0,0
12,winter,small,low,8.3,8.1,30.125,0.73,76,132.5,14.354,20.578,0,0,1.5,0
13,summer,large,medium,7.74,6.8,9.055,0.699,37.778,27,10.75,4.5,14.6,0,0,0
14,summer,large,medium,7.55,11,77.364,8.759,723.66699,48.667,16.662,68.05,6.4,1.4,33.2,1.4
15,summer,large,high,7.9,11.5,48.429,3.414,46.2,13,72.696,2,0,0,16.6,0
16,autumn,medium,low,7.72,9.6,4.7,3.734,578,50.889,16,9.882,0,1,1.6,0
17,summer,medium,medium,6.6,4.9,44.205,0.758,39,35.333,50,3.7,12.7,0,17.7,0
18,autumn,small,high,8.5,12,32.54,1.443,10,2,254.60001,14.7,11.3,1.9,0,1.7
19,spring,small,high,8.1,8.3,48.667,0.445,24064,27.25,22.9,32,0,0,15.7,1
20,autumn,medium,medium,8.5,10.2,22.35,10.416,109,137.60001,15,3.2,0,4.6,0,2.2
21,summer,large,medium,7.83,10.7,5.326,7.195,3466.65991,159.16701,586,12.1,0,6.8,13.2,1.4
22,spring,small,high,7.4,5.5,22.455,3.31,35,47.5,170,0.5,0,0,0,0
23,autumn,small,medium,7.75,8.9,3.86,1.715,228.75,1,6.5,7.6,25.4,0,0,0
24,winter,large,high,7.2,9.8,50,3.245,217.75,53.625,87.125,18.3,0,3.7,0,0
25,spring,small,high,7.84,10.5,47.229,5.33,11.111,15.6,244,2,3.9,3.5,0,3.4
26,summer,small,medium,8.21,10.3,82.857,3.976,165,72,130.75,3,0,0,0,0
27,winter,small,high,7.4,8.5,40.226,2.942,178.57001,166.72701,200.231,1.4,11.6,3,16.7,0
28,autumn,medium,high,8.15,10.1,77,2.899,20,234.5,NA,75,0,6.8,1.4,0
29,spring,medium,low,8.3,9.2,3,5.13,102.75,36.3,121,0.8,0,2.2,0,10.8
