1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","summer","medium","medium",8,10.9,41.163,4.053,1081.66003,105,26,50,0,38.5,0,0,34.2,8.3,0
"3","winter","medium","medium",8.4,11.2,40.02,5.33,224.286,246,221.278,1.2,3.3,53.6,0,7.6,0,0,0
"6","spring","medium","low",7.79,9.5,47.778,3.778,125.333,6.5,75.207,0.6,12.5,7.4,9.4,4,0,12.6,0
"7","summer","medium","high",7.19,10.7,47.229,5.132,505,27.25,138.5,0.6,0,1,6.6,3.9,5.8,6.2,0
"8","summer","small","medium",8.2,10.6,41.5,3.318,8,31.333,269.66699,3,3.6,1.6,3.9,0,15.3,0,5.8
"10","spring","small","high",7.93,9.9,4.083,1.474,128.571,104.727,262.72699,3.2,1.4,0,1,2.9,6.4,0,0
"11","autumn","small","high",8.4,10.2,53.333,4.459,380,12.75,1,0.9,18.1,5.6,0,0,0,0,1.7
"12","summer","small","medium",7.55,9.5,16,4.908,18.429,12,14.354,1,0,0,3,1.4,7.5,1.5,25.6
"13","spring","medium","low",7.8,9.6,64,0.445,227.60001,3.222,98.143,0.8,43.5,0,10.8,0,11.3,0,9.7
"15","summer","small","high",7.9,8.1,95.367,3.235,160,166.72701,61.6,2,1.9,17.1,2.2,13.4,0,0,0
"16","autumn","medium","high",8.5,9.8,4.7,3.07,14.75,97.333,61.5,2,0,0,1.7,0,28.8,0,0
"18","spring","medium","low",7.14,9.2,32.54,4.535,103.333,35.333,173.75,0.5,35.5,21.5,3.1,0,3.9,64.6,1.9
"19","winter","medium","low",7.9,6.8,14.32,0.699,58.5,24,244,2,14.7,0,19.5,0,1.2,0,3.9
"20","winter","medium","high",9.1,11.6,69.75,2.942,461.875,564.59998,287,6.8,1.7,0,13.6,2.6,10.6,0,1.9
"21","autumn","large","medium",7.83,10.7,10.936,4.825,3466.65991,102,586,16,0,36.6,1.2,0,6.1,11.5,1
"22","spring","large","high",8.3,9.2,49.9,0.735,178.57001,51.75,85,0.5,3.1,0,0,0,0,0,0
"23","autumn","small","medium",8.3,12.5,29.5,1.67,346.66699,125.667,253.25,0.3,23.2,5,0,5,27.6,9.9,0
"24","winter","medium","low",7.4,10.68,391.5,1.715,20,32.5,140.22,1.1,15.8,0,4.2,0,0,0,0
"25","spring","small","medium",7.84,3.3,100.83,5.13,43.75,137.60001,171.272,1.4,64.2,8.6,1.2,3.5,0,0,2.7
"26","winter","small","high",8.21,8.1,87,2.55,10.5,1,304,28.4,39.7,3.8,8.8,0,5.9,0,6
"27","autumn","large","high",7.2,8.4,10.5,0.05,578,12,61.444,2,1.9,0,0,3.7,0,0,0
"29","summer","small","high",8,9.8,8.69,3.908,208.33299,26,121,0.8,69.9,1.2,2.1,1,2.9,29.5,1.6
"30","spring","small","low",7.8,10.7,9,8.543,49,22.444,132.54601,0.8,12.7,0,8.8,2.2,8.6,42.1,3.6
"31","winter","small","high",8.6,9.3,8.3,3.33,60,12.75,11.8,5.62,4.1,16,0,0,7.5,1.8,2.9
"32","autumn","medium","high",7.44,11.8,26,3.726,37.5,61.182,6,92.667,39.1,5,3.3,0,4.1,0,2.2
"33","winter","small","high",7.4,10.3,129.375,3.02,124.167,47.5,102.571,21.22,0,4.6,19.6,0,0,42.7,7.8
"34","autumn","medium","high",8.4,6.5,77.364,4.86,10,428.75,98.25,31.738,13.6,9.1,0,6.8,2.6,0,1.7
