1)
  season   size  speed mxPH mnO2   Cl  NO3    NH4  oPO4   PO4 Chla   a1   a2  a3  a4   a5   a6  a7
1 winter  small medium 7.60 10.3 82.9 1.32   51.4 105.0  11.8  1.1 18.2 12.7 0.0 0.0 34.2  0.0 0.0
2 spring  small medium 8.70 10.8 41.2 1.29 1495.0  33.8 130.8  1.3 37.3  0.0 1.7 4.4 17.9  0.0 0.0
3 summer  small medium 7.83 10.3 12.2 5.33  233.7 137.6   6.0   NA  9.2 19.6 0.0 0.0  0.0  0.0 9.7
4 spring medium   high 7.80  4.8 32.4 2.32   89.6 412.3 138.7  0.3 50.6  0.0 2.4 0.0  6.1  0.0 2.9
5 winter medium medium 8.70  9.2 30.1 1.42  271.2  24.7  97.6 81.5 55.5  2.9 1.2 0.0  0.0  4.1 0.0
6 spring medium medium 8.30 10.0 47.8 3.98   58.5   2.5 326.9 11.6  1.2  8.6 0.0 0.0  0.0 15.8 1.4
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,small,medium,7.6,10.3,82.852,1.32,51.429,105,11.818,1.1,12.7,0,0,0
2,spring,small,medium,8.7,10.8,41.163,1.288,1495,33.8,130.75,1.3,0,4.4,0,0
3,summer,small,medium,7.83,10.29,12.182,5.33,233.7,137.60001,6,NA,19.6,0,0,9.7
4,spring,medium,high,7.8,4.8,32.4,2.316,89.6,412.33301,138.7,0.3,0,0,0,2.9
5,winter,medium,medium,8.7,9.2,30.125,1.42,271.25,24.667,97.58,81.54,2.9,0,4.1,0
6,spring,medium,medium,8.3,10,47.778,3.978,58.5,2.5,326.85699,11.6,8.6,0,15.8,1.4
7,summer,medium,medium,5.6,10.5,47.229,2.163,34,151.125,169.00101,15,1,3.9,4.6,0
8,summer,small,high,8.2,10.6,7.838,0.13,245,44.667,18.293,14.775,1.6,0,0,0
9,winter,large,high,8.6,7.8,NA,6.238,98.333,7.667,2.5,10,5.4,4.6,0,0
10,winter,medium,medium,7.93,9.9,4.575,1.39,178.57001,1.625,262.72699,5.544,0,0,1.5,0
11,autumn,medium,high,8.7,10.2,94,1.287,380,12.75,40.667,20.6,15.2,1.7,0,6
