1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","small","medium",7.6,10.3,82.852,1.32,51.429,105,11.818,1.1,18.2,12.7,0,0,34.2,0,0
"2","spring","small","medium",8.7,10.8,41.163,1.288,1495,33.8,130.75,1.3,37.3,0,1.7,4.4,17.9,0,0
"4","spring","medium","high",7.8,4.8,32.4,2.316,89.6,412.33301,138.7,0.3,50.6,0,2.4,0,6.1,0,2.9
"5","winter","medium","medium",8.7,9.2,30.125,1.42,271.25,24.667,97.58,81.54,55.5,2.9,1.2,0,0,4.1,0
"6","spring","medium","medium",8.3,10,47.778,3.978,58.5,2.5,326.85699,11.6,1.2,8.6,0,0,0,15.8,1.4
"7","summer","medium","medium",5.6,10.5,47.229,2.163,34,151.125,169.00101,15,0,1,4.1,3.9,2.9,4.6,0
"8","summer","small","high",8.2,10.6,7.838,0.13,245,44.667,18.293,14.775,32.8,1.6,3.9,0,1.2,0,0
"10","winter","medium","medium",7.93,9.9,4.575,1.39,178.57001,1.625,262.72699,5.544,17,0,1.2,0,6.4,1.5,0
"11","autumn","medium","high",8.7,10.2,94,1.287,380,12.75,40.667,20.6,14.7,15.2,2.6,1.7,1.4,0,6
"12","spring","medium","low",8.3,8.1,16,2.822,18.429,2,14.354,1,32.1,12,10.1,4.3,5.9,6.4,0
"13","winter","medium","medium",7.74,9.6,32.056,1.223,10,6,214,28.4,1.7,0,10.8,7.8,1.2,0,0
"14","spring","small","high",7.9,3.4,53,8.759,196.66701,27,17,6.4,50.4,0,2.5,1,0,0,6.1
"16","spring","medium","high",8.56,10.9,37.6,4.408,1911,264.89999,3,1.1,15.1,3.8,1.7,5,28.8,0,0
"17","summer","small","medium",7.6,12.1,7,4.87,39,276.85001,14,4.9,46.2,0,2.3,6.9,2.7,4.7,1.9
"18","autumn","small","medium",8.4,10.7,95.367,2.273,239,34.5,187.05701,34.75,9.2,0,3.1,4.6,7.7,8.5,3.2
"19","spring","large","medium",8.1,11.7,20.083,5.078,24064,60,27.5,2,0,0,9.9,4.3,1.4,0,1
"20","summer","medium","low",7.8,10.7,29.5,2.64,40,564.59998,46.438,6.8,35.5,12.7,0,4.6,0,0,0
"21","winter","large","high",7.6,11.5,70,3.773,103.333,467.5,11,3.5,0,0,19.5,6.8,0,11.5,1.4
"22","winter","small","high",7.9,10.9,208.364,45.65,236,15.6,285.71399,0.5,14.4,12.4,17.6,2.3,15,1,0
"23","autumn","small","medium",7.75,8.9,53.333,3.245,172.5,22.444,104,6.5,23.2,25.4,0,2.5,27.6,0,3.3
"25","spring","medium","low",9.7,12.6,63.51,5.13,3515,18.667,11.5,1.4,13,11.3,0,0,10.2,0,2.5
"26","summer","small","high",8.21,9.4,87,3.316,165,209.85699,344.60001,6.209,4.1,0,0,0,0,10.1,1.1
"27","winter","large","high",8,8.4,11.867,4.698,122.85,71,61.444,9.384,0,0,1.9,4.9,4.1,0,1.7
"29","winter","small","medium",8,10.5,22.286,3.908,20,3,86.997,1.3,3.3,0,0,0,0,0,0
"30","autumn","medium","high",6.4,11.1,7,0.699,244.60001,12,279.06601,0.5,33.9,0,14.6,0,0,0,2.7
"31","autumn","medium","high",8,9.3,64,0.735,60,31.333,213,5.62,3.4,0,16,0,0,0,0
"32","spring","medium","medium",7,10.3,26,4.555,103,12.75,771.59998,92.667,39.1,38.8,0,0,4,0,2.2
"33","autumn","small","low",6.6,8.8,10.207,0.23,208.33299,120.5,102.571,21.22,0,2.9,0,0,2.6,42.7,0
"34","spring","medium","high",8.1,11.8,14.32,1.921,461.875,8.6,17.333,31.738,14.4,38.5,1.9,6.8,2.5,0,0
"35","spring","small","medium",8.27,11.1,139.989,1.72,120,2.5,72.9,50.225,5.3,0,3.3,5.7,5.4,0,2.7
"36","autumn","small","medium",8.7,11.7,44,0.381,27.5,187,558.75,41,1.9,19.6,1.4,5,5.6,0,0
"37","spring","large","high",8.8,11.5,50,1.172,255,78.333,102.333,2,2.5,40.7,5.6,1.9,0,6.7,0
"38","winter","medium","high",8.3,10.77,8.69,10.416,43.75,44,123.333,9.882,12.6,1.7,0,0,0,0,1
"39","summer","medium","high",8.8,11.21,3.5,1.519,18.333,51.111,84,1.1,0,14.7,0,3.7,0,0,6.1
"40","winter","large","high",8.4,7.9,9.055,3.833,14.75,12.889,183.66701,17.2,16.5,2.7,7.5,0,44.4,0,6
"41","spring","medium","low",7.4,6.35,40.167,3.778,170.909,62.625,173.75,6.9,64.9,3.9,5,0,1.9,0,1.4
"42","spring","large","high",8.16,7.1,49.625,2.323,60.11,238.2,175.04601,13.2,0,8.7,0,0,3.2,0,1.9
"43","autumn","small","high",7.29,9,50,0.77,205.66701,236.39999,98.25,22.5,12.7,40.9,7.5,0,0,0,0
"44","autumn","small","medium",7.8,3.3,77.364,7.83,578,13,15,11.84,3.8,21.7,3.3,0,0,7.9,0
"45","spring","medium","low",8.3,8.5,41.25,1.655,16.2,6.5,75.333,3,0,0,0,0,3.1,1.6,1.2
"46","spring","large","high",8.3,11.7,1.549,2.586,128.571,8.692,43.5,1.2,17,16,0,3.7,2.9,7.5,0
"47","spring","small","high",8,11.3,66.3,5.97,35,20,75.207,17.2,2.4,5.2,1.2,0,0,0,0
"49","autumn","medium","low",7.5,8.6,15,3.02,371.11099,27,58.374,1.4,18.1,7.6,6.3,0,3.5,0,4.1
"51","autumn","large","high",8,8.1,22.35,5.442,227.60001,12.75,252.5,65.7,4.1,0,19.6,1.4,1.9,0,6.6
"52","winter","small","medium",7.78,10.4,5.273,1.651,33.636,45.9,239,30,24,21.7,10.3,2.2,0,17.1,0
"54","spring","small","high",8.4,11,9,0.91,65.556,64,255.28,25,7.8,12.7,2.1,0,0,42.1,0
"56","spring","small","high",7.8,6,73.25,3.14,647.57001,61.556,16,13,25.4,0,3.3,0,7.3,0,14.4
"57","autumn","medium","high",7.83,7.7,63.625,2.304,2082.8501,1,317,11.1,1.7,3.1,1.7,7.7,3.9,0,1.9
"58","summer","small","medium",9.1,9,17.75,0.642,17.778,282.16699,77.434,3.2,17.1,5.4,0,4.8,0,0,0
"59","autumn","medium","high",8,4.9,43.97,0.663,345.45499,104.727,47,5.45,1.4,0,24.8,0,0,5.5,1.4
"64","winter","small","medium",7.8,6.8,8,1.203,12.727,2,6.75,1,25.5,12,0,1.1,2.1,2.4,1.2
"65","summer","large","high",8.07,11.3,4.326,4.825,160,104.5,142,2,15.8,0,7.8,44.6,6.1,0,1.2
"66","summer","large","high",7.44,1.5,0.8,2.443,15,125.667,75.904,5.111,0,17.1,12.9,0,6.5,11.1,1.4
"67","summer","small","low",8.22,7.9,22.455,3.31,1131.66003,1.25,586,7.6,0,2.1,42.8,0,16.2,0,0
"69","autumn","large","medium",8.2,6.5,10.078,3.85,505,3.222,89.625,0.5,51.8,28,0,6.6,0,0,2.1
"70","spring","small","medium",7.5,5.5,5.326,6.188,72.6,61.182,127.222,1,28.1,4.6,7,3,0,0,10.8
"71","spring","medium","high",7.6,8.5,130.67,5.694,175,26.625,60,1.7,0,7,1,0,9,16.6,1.6
"72","spring","small","low",7.62,10.5,82.111,2.978,2167.37012,4,152.33299,1.3,15.1,8,1.4,0,2.7,0,0
"73","summer","small","low",8.2,10.8,69,6.2,5.8,85.5,72.696,11.7,5.9,21.5,1.9,0,0,21.4,4.2
"74","winter","medium","medium",8.7,6.2,22.32,0.996,25,136.75,81.558,20.87,2.2,5.8,35.1,1.2,9.5,5.1,0
"75","winter","medium","high",8,9.9,43,1.415,13.5,100,52.875,1.1,0,0,0,0,0,77.6,1
"76","autumn","medium","medium",8.5,9.4,35.75,3.678,46.2,87.333,39,22.5,0,1.2,6.6,1,9.4,0,0
"77","autumn","medium","low",7.5,3.2,12,1.718,224.286,32,351.60001,54.367,82.7,0,0,0,15.9,0,15.1
"78","winter","large","high",8.5,10.2,63.292,1.588,133.636,36,6.5,0.2,16.8,13.7,2.9,0,13.3,0,6.8
"79","spring","large","medium",8,12,21.95,0.658,32.5,3.8,11.8,93.683,2.2,4.6,11.8,2.1,3.1,3.1,1.7
"80","winter","large","low",7.8,10.8,173.75,0.461,430,38.75,304,0.8,75.8,21.6,5.4,3.4,2.4,0,0
"81","autumn","large","medium",8.5,10.5,57.75,4.908,1168,19.111,76.333,4.3,6.5,0,2,0,0,0,1.4
"82","spring","large","medium",7.3,5.4,51.113,4.93,96.667,191.75,219.909,0.8,15.5,0,0,11.3,20,1.4,1
"83","winter","small","medium",7.91,9.8,4.7,1.534,176.66701,51.111,13.2,0.4,56.8,0,21.9,1,5.2,4.5,1.7
"84","summer","medium","medium",8.1,11.17,77,0.923,10,220.75,69.93,2.9,10.3,0,1.6,2.2,0,0,0
"85","summer","medium","high",6.6,10.68,8.3,8.984,737.5,27.667,167.89999,12.32,43.7,16,0,0,1.4,6.2,25.6
"86","spring","large","medium",7.6,4.9,57.75,0.846,124.167,21.083,23.485,7.3,0,0,0,0,0,0,22.1
"87","winter","medium","low",8.58,12.9,36.248,3.73,235,67.5,138.5,0.9,1.9,0,0,2.4,0,13.2,0
"88","summer","medium","medium",7.45,3.6,48.667,2.231,5738.33008,234.5,66.75,0.3,0,6,20.2,3.2,1.9,0,2.4
"89","winter","medium","medium",8.7,9.7,53.102,1.527,643,9,61.5,8.1,0,72.6,13.5,0,35.6,9.9,0
"90","winter","large","medium",7.79,8.1,64.093,0.81,49.5,24,120.889,53.1,43.5,1.4,2.1,2.4,8.6,52.5,2.2
"91","spring","medium","high",7.8,4.4,39,1.726,101.25,7.4,221.278,3.6,3.1,5.5,1,0,5.3,0,1
"92","spring","small","high",8.66,11.7,136,7.16,10,55,186,15.6,0,3.9,0,1,20.8,3.6,0
"93","winter","small","high",8,8.2,12.778,9.248,153,53,233.5,72.478,2.4,9.7,0,0,11.2,5.9,1.4
"94","spring","small","high",7.3,9.7,40.02,3.976,308.75,58.222,57.833,23.8,24.3,0,0,1,8.2,0,3.2
"95","summer","medium","medium",8.7,11.62,127.833,4.94,10,20.667,7.654,2,66.9,1,5.5,0,0,20.4,0
"96","winter","medium","high",8.1,6,10.936,2.31,10,23,141.83299,3,5.7,18.4,14,0,5,0,0
"98","winter","medium","low",8.5,9.5,10.556,1.212,83.75,180.66701,20.812,4.5,52.2,16.2,2.6,0,8.6,0,31.6
"99","winter","large","high",7.9,10.7,27.233,3.414,37.778,51.75,188.66701,0.5,86.6,2.1,7.3,0,1,6.8,0
"100","winter","small","medium",9.1,10.5,46.167,0.63,8,246,26,5.2,0,26.5,1,1.9,17.8,0,2.7
"101","summer","small","high",7.7,9.8,26,1.732,486.5,28.625,361,9,47.1,0,0,0,0,1.2,7.1
"103","winter","medium","medium",7.5,8.7,65.333,2.899,130,84.3,269.66699,4.5,39.7,14.6,0,0,0,16.7,0
"105","summer","medium","high",8.5,10.1,194.75,1.587,931.83301,205.636,1,32,58.7,0,2.5,0,1.2,0,3.9
"106","winter","medium","low",7.7,7.3,48.429,2.603,22.5,144.66701,201.778,2.8,1.9,1,0,1,0,5.4,0
"107","spring","small","high",5.7,6,39.109,1.47,15,55,45,7.9,7,53.6,8,0,1,2.6,0
"108","summer","large","low",8.3,11.1,41.5,4.459,206.53799,16,19,2,23.7,1.9,0,3.5,9.2,15.7,0
"110","spring","medium","medium",7.4,11.8,131.39999,2.22,131.66701,9,88.5,0.5,24.8,0,5,0,7.5,0,2.4
"111","winter","medium","medium",8.5,8,3.275,4.665,51.111,16.833,21.3,1,64.3,4.3,0,4,0,6.9,0
"112","spring","medium","medium",7.4,10.3,44.205,3.444,758.75,1.333,211.66701,4.5,1.9,0,0,2.1,0,0,1.4
"113","winter","medium","medium",8.1,11,85.982,5.164,3466.65991,267.75,16.662,26.8,12.3,0,4.1,0,0,12.6,0
"114","autumn","medium","low",8.55,4.5,53.425,1.875,118.571,37.857,82.444,8.957,13.6,1,23.2,1.2,0,2.6,0
"115","winter","small","medium",8.2,11.9,57.848,3.9,84.667,1,11,20.829,89.8,4.1,0,0,11.5,1.5,16.7
"116","winter","small","high",7.84,11.4,34.5,1.474,96.833,49,200.231,22.9,2.5,0,0,11.5,0,0,1.2
"118","spring","small","high",8.3,11.6,74.667,0.825,5,3.545,87.125,3.2,42.5,0,0,0,1.2,0,5.2
"119","winter","medium","medium",8.3,10.8,5.83,0.886,4073.33008,102.333,432.909,2,11.3,0,3.5,1.9,10.6,0,0
"120","autumn","medium","high",8.1,12.5,81.333,9.773,76,1,320.39999,3,1.6,0,1,2.2,8.1,4.7,0
"122","spring","medium","low",8.84,10.7,42.636,4.03,32.5,23,13.6,31,1.2,1.9,10.6,5.3,4,5.5,0
"123","spring","small","medium",8.3,6,0.222,6.64,1386.25,181,607.16699,6.429,3.3,3.1,1,0,8.7,0,0
"124","spring","medium","high",8.05,10.7,4.545,0.826,102.75,10.8,56.091,5.609,1.7,0,0,4,0,12.7,0
