1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","small","high",7.5,7.7,57.75,3.31,6400,105,54.916,3.2,1.5,4.3,0,1,34.2,8.3,0
"2","spring","small","high",8.53,8.4,4.7,8.543,1495,33.8,558.75,1.3,1.4,15.7,1,1.7,0,0,0
"4","spring","small","medium",8.06,4.8,3.275,5.442,98.182,61.182,116.2,0.3,12.7,21.7,0,2.4,0,8.7,2.9
"5","spring","medium","medium",8.1,11.17,5.273,1.42,2167.37012,84.3,97.58,18.33,55.5,0,0,6.8,0,4.1,0
"6","autumn","medium","medium",7.19,10.7,47.778,3.778,42,13,75.207,28.4,1.2,0,2,0,1.4,12.6,0
"7","winter","medium","high",8.15,10.3,4.575,5.132,172.5,26.625,2.5,7.6,0,1,35.1,3.9,5.8,0,0
"9","winter","small","high",8.22,10.6,82.852,4.459,34.333,26,61.5,0.5,8.7,0,21.9,3.7,0,0,0
"10","winter","medium","high",7.35,10,20.083,1.39,84.667,66.4,22.9,3.1,1.7,8.9,1,2.9,5.5,0,0
"11","autumn","small","medium",7.14,9.9,53.333,3.414,32,87.333,17,6.167,14.7,5.9,0,0,34.3,9.9,0
"12","autumn","medium","low",8.7,8.1,12.536,9.08,62.5,1.25,23,1,32.1,0,4.7,1.7,0,8.2,0
"13","winter","small","medium",7.74,10.2,127.833,1.223,165,20.667,111.375,30.4,43.5,0,0,1.7,2.9,0,0
"14","summer","small","medium",8.2,10.5,13.5,3.245,10,10.667,232.89999,3.3,0,6.4,0,0,2.6,0,6
"15","autumn","medium","medium",7.9,5.9,51.113,1.448,46.2,187,61.6,1,0,0,9,0,9.2,16.6,0
"16","autumn","medium","high",8.4,6.2,8.3,0.267,5,13,344.60001,1.1,24.3,0,12.9,0,19,1.6,0
"18","autumn","medium","high",8.4,10.4,32.54,0.81,103.333,35.333,89.625,0.6,1.7,0,3.1,1.9,18.7,42.4,0
"19","summer","small","low",7.93,6.8,47.229,0.91,178.57001,109,143.75,2,81.9,0,9.9,6.8,1.2,18.2,0
"20","summer","medium","high",8.5,10.7,85.982,1.287,245,564.59998,58.374,20.8,0,0,0,4.6,10.6,0,2.4
"21","autumn","large","medium",7.83,10.7,70,1.051,81,467.5,586,5.609,0,0,1.6,11.5,4,6.8,0
"22","spring","medium","high",8.7,11.3,22.455,0.735,40,1.8,285.71399,3.5,30.3,0,1.7,2.3,0,0,0
"23","spring","medium","high",8.5,7.3,12.146,2.64,27.286,125.667,18,3.2,23.2,25.4,0,0,11.5,9.9,1
"24","summer","small","medium",7.75,11.3,31.091,0.923,3466.65991,104.222,87.125,8.155,0,0,2.2,0,0,0,0
"25","summer","medium","low",8.2,6.35,11,5.13,370,51.111,11.5,1.4,64.9,6.7,1.2,3.5,0,0,0
"26","spring","small","high",8.21,7.9,87,1.47,244.60001,30.75,82.444,3,0,0,8.8,2.7,5.9,10.1,30.1
"29","summer","medium","medium",7.6,9.2,8.69,3.908,20,36.3,296,6.5,2,28.2,1.5,0,0,0,2.5
"30","autumn","medium","medium",6.6,9.6,9,4.053,60.11,102.364,72.9,26.8,50.6,38.8,14.6,0,0,5.9,0
"31","winter","medium","high",7.4,9.3,7,3.9,208.33299,2,265.25,5.62,64.2,16,2.3,0,0,1.9,7.8
"32","autumn","medium","low",8.3,5.3,16,3.78,60,132.5,252.5,92.667,6.9,17.1,1.9,0,8.6,5.5,0
"33","winter","large","medium",8.43,9.5,69.75,0.866,124.167,39,102.571,14.775,0,1,0,0,1.2,0,1.2
"34","winter","medium","high",7.2,9.8,4.083,0.102,215.556,9,214,31.738,13.6,12,13.6,0,0,0,0
"35","spring","large","low",8,6.7,39,2.302,32.727,151.33299,44.136,5.45,5.3,40.7,1.2,3.5,0,49.4,2.2
"36","spring","small","high",7.8,10.8,44,0.381,227.60001,166.72701,171.272,0.3,1.4,3.8,0,8.3,7.4,11.1,1
"37","spring","small","high",7.7,10,1.17,4.908,96.667,1.625,146.452,0.2,10.3,0,5.6,0,2.5,64.6,2.1
"38","winter","medium","high",8.3,5.3,27.233,45.65,43.75,2.5,3,9.882,12.6,12.4,5.4,1.1,0,0,0
"40","winter","small","medium",8.5,10.6,38.125,1.572,228.75,191.75,183.66701,0.5,39.7,2.7,8.8,0,44.4,29.5,2.2
"41","autumn","small","low",7.9,4.5,38.902,4.93,122.5,16.833,205.875,11.84,0,1.4,2.5,0,7.5,15.8,0
"42","winter","medium","high",8.6,5.7,54.19,1.715,120,55,18.293,13.2,3.4,0,0,6.9,0,0,3.3
"43","autumn","large","high",8.3,9.4,2.933,1.32,246.364,85.5,124.2,22.5,66,40.9,3.3,4.1,12.4,0,0
"44","spring","small","high",8.1,8.8,173.75,0.921,101.25,7.667,326.85699,3.3,2.4,13.2,2.9,2.2,2.7,7.9,0
"45","summer","small","medium",8.3,9,77,1.67,110,6.5,320.39999,3.9,39.1,0,1.4,0,1.9,12.4,0
"46","winter","small","high",8.3,12.5,10.5,3.02,65.455,220.75,186.5,3.6,75.8,0,0,0,2.9,42.7,31.6
"47","winter","small","medium",8,7.1,7,3.33,914,428.75,292.625,21.22,0,0,1.2,4.8,11.7,2,0
"49","winter","small","high",7.77,9,63.51,3.726,15,18.667,10.75,0.4,1.6,0,0,1.9,0,5.1,0
"50","winter","small","medium",8,4.9,17.75,4.94,11.111,22.444,20.812,12.1,48.3,5.6,0,0,7.7,0,0
"51","summer","medium","low",7.84,8.1,7.838,3.02,192.5,151.125,6,7.9,43.7,0,0,2.1,9.5,0,1.4
"52","autumn","large","high",8.66,7.9,30.125,2.954,16.2,45.9,11,17.2,24,0,0,0,0,17.1,1.1
"53","winter","small","high",7.9,11,55.35,2.818,13.5,7.75,201.778,5.544,2.5,1.7,0,3.2,0,7.1,1.6
"58","summer","small","medium",8.7,8.6,65.333,0.642,22.5,34.636,6,4.667,4.1,0,5.5,0,7.3,0,0
"59","winter","medium","medium",6.6,6.5,74.667,6.096,96.667,2,253.25,1,1.4,1.9,24.8,0,3.5,0,0
"64","winter","small","medium",7.57,10.8,41.163,0.941,1911,12.75,175.04601,5.8,20.3,4.6,0,0,20,2.4,1.4
"65","summer","small","high",7.9,9.9,4.326,1.203,12.727,104.5,7.2,2.9,29.5,0,10.8,1.6,16.2,0,1.2
"66","summer","small","high",7.44,11.7,19.22,0.672,101.667,2.5,75.904,2.86,10.8,0,1.7,0,6.5,0,0
"67","summer","large","low",6.4,10.7,1.549,3.235,112.857,236.39999,40.667,4.5,2.9,28,42.8,5.3,22.5,4.7,2.2
"68","autumn","small","medium",7,6,5,9.773,133.636,120.5,138.5,53.1,12.3,5.4,10.6,0,22.1,1.8,0
"69","summer","medium","medium",8,6,61.05,3.85,758.75,4,277.33301,0.6,35.5,0,2.1,7.6,0,1.4,2.1
"70","winter","small","medium",8.1,7.6,63.625,3.617,155,51.125,49.333,1,12.5,0,1,28.8,0,0,0
"71","winter","medium","medium",8.7,10.5,3.5,5.694,18,1.333,246.66701,34.75,29.7,21.5,10.2,0,9,16.7,0
"72","winter","medium","high",8.1,10.5,66.3,1.921,236,82.222,57.833,5.2,3.6,20.1,20.2,1.2,0,20.4,1.7
"73","winter","small","low",8.16,10.2,69,1.003,5.8,182.42,228.364,1.1,0,1.7,0,0,6.1,0,3.4
"74","summer","large","low",7.9,7.1,22.32,6.238,3515,136.75,91.111,20.87,31.1,0,4.9,2.2,5.3,5.1,1.2
"75","spring","medium","medium",8.5,10.4,129.375,4.87,196,22.2,52.875,9,12.3,0,17.6,0,1.1,0,0
"76","spring","medium","medium",8.1,9.4,7.333,5.164,25.833,39,39,3.8,17,1.5,1.5,0,9.4,17,0
"77","winter","medium","medium",9.06,4.4,22.35,0.33,92.375,221.89999,11,20.829,25.4,8,25.3,0,0,0,1.7
"78","winter","medium","high",8.5,11.1,63.292,0.735,24064,36,76.333,10.5,14.4,13.7,23.2,4,0,0,2.2
"79","autumn","large","medium",8.07,8.1,21.95,4.508,21.571,16,11.8,0.8,4.1,4.6,1.2,3.4,0,0,3.2
"80","spring","medium","high",7.8,10.8,12.182,3.14,83.75,181,98.25,13,3.1,0,16,3.4,5.7,6.9,1.9
"81","autumn","medium","high",8.3,10.5,53,0.445,1168,102.333,186,24.917,7.2,0,3,4.6,0,22.3,1.4
"82","winter","medium","high",7.3,3.4,0.8,2.822,345.45499,6,361,5.5,1.2,31.9,1.1,0,0,0,14.4
"83","spring","small","medium",9.7,11.1,37.6,4.555,40,16.8,6,15,54.4,1.2,0,0,2.4,6.4,9.7
"84","summer","small","medium",7.7,9,391.5,6.188,371.11099,27.5,279.06601,18.3,16.6,4.1,3.3,1.8,6.4,0,0
"85","summer","medium","high",6.6,10.8,26,3.833,737.5,77.333,130.75,2,0,4.9,0,0,0,3.3,25.6
