1)
  season   size  speed mxPH mnO2     Cl   NO3   NH4  oPO4   PO4 Chla   a1   a2   a3  a4   a5  a6
1 autumn  small   high 8.00   NA  27.23 6.238  20.0 105.0  69.9  6.9  1.2  1.7 22.0 0.0 34.2 0.0
2 spring medium    low 7.50 12.0  49.62 1.288 153.0  33.8 284.0  1.3  1.9 15.7 10.8 0.0  0.0 1.4
3 summer  small medium 7.09 11.4  63.62 0.730 215.7 246.0 253.2  0.6  3.3 53.6  0.0 0.0  0.0 7.1
4 autumn  small medium 8.06  4.8  22.29 2.316  54.8  31.3 138.7  7.6  2.4  0.0 18.9 4.6  6.1 0.0
5 spring  small medium 7.60 11.5   5.27 1.732 233.7  58.2  13.2 10.5 31.8  0.0 10.1 0.0  9.9 0.0
6 spring medium   high 8.30 10.0 391.50 0.102 196.7  12.0 236.0  2.0  1.2 11.3  0.0 1.3  0.0 0.0
   a7
1 0.0
2 0.0
3 9.7
4 0.0
5 4.2
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,small,high,8,NA,27.233,6.238,20,105,69.93,6.9,1.7,0,0,0
2,spring,medium,low,7.5,12,49.625,1.288,153,33.8,284,1.3,15.7,0,1.4,0
3,summer,small,medium,7.09,11.4,63.625,0.73,215.714,246,253.25,0.6,53.6,0,7.1,9.7
4,autumn,small,medium,8.06,4.8,22.286,2.316,54.778,31.333,138.7,7.6,0,4.6,0,0
5,spring,small,medium,7.6,11.5,5.273,1.732,233.7,58.222,13.2,10.5,0,0,0,4.2
6,spring,medium,high,8.3,10,391.5,0.102,196.66701,12,236,2,11.3,1.3,0,0
7,spring,small,high,8.15,7.1,22.32,2.512,346.66699,5,138.5,8.155,1,3.9,49.4,0
8,winter,small,high,8,10.6,4.545,0.536,110,15.6,60,4.5,22,0,0,0
9,winter,small,high,7.35,11.1,NA,0.81,4073.33008,26,104,2.3,2.6,6.9,0,0
10,winter,small,high,7.7,9.9,NA,0.923,178.57001,159.16701,254.60001,0.8,8.9,0,0,3.9
11,spring,medium,high,8.43,8.8,38.125,3.9,18,12.75,39,50,0,1.7,0,0
12,winter,small,medium,8.22,8.1,47.229,5.694,18.429,NA,14.354,8.957,5.6,7.6,0,0
13,winter,medium,low,7.74,9.6,43.09,1.223,10,59.429,213,17.2,12,1.1,0,0
14,summer,large,high,7.8,6.6,77.364,8.759,10,12,11,NA,5.9,1,2.6,2.7
15,summer,small,high,NA,9.6,51.113,2.102,46.2,44,61.6,0.8,10.4,0,0,5.2
16,autumn,medium,high,8.4,11.5,4.7,3.07,14.75,97.333,201.778,1.1,0,5,1.6,0
17,spring,medium,medium,7.78,9.2,7,1.415,83.75,16.833,50,NA,12.7,0,6.8,0
18,winter,medium,high,8.5,10.4,45.273,0.461,103.333,39,6.75,0.8,21.5,2.5,29.5,3.2
19,summer,small,low,8.6,6,12,1.72,24064,6,27.5,2,0,0,0,1.9
20,winter,small,high,8,10.7,53.333,4.82,28.333,187,277.33301,6.8,0,0,0,1.4
21,autumn,large,medium,8.07,11.17,3.5,0.673,3466.65991,27,317,16,72.6,0,11.5,0
22,spring,medium,high,8.4,4.5,16,1.873,914,136.75,86.997,3,38.5,2.3,4.1,0
23,autumn,small,medium,8.3,6.7,29.5,3.245,112.857,38.75,7.2,75,2.1,1.7,0,2.1
24,winter,small,high,7.2,6.5,11.088,4.03,32.5,196.62,3,2.5,0,0,0,2.4
25,spring,medium,high,7.5,3.3,29.775,2.273,88.182,10.583,115,1.4,1.6,3.5,0,3.4
