1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"2","spring","medium","low",7.5,12,49.625,1.288,153,33.8,284,1.3,1.9,15.7,10.8,0,0,1.4,0
"3","summer","small","medium",7.09,11.4,63.625,0.73,215.714,246,253.25,0.6,3.3,53.6,0,0,0,7.1,9.7
"4","autumn","small","medium",8.06,4.8,22.286,2.316,54.778,31.333,138.7,7.6,2.4,0,18.9,4.6,6.1,0,0
"5","spring","small","medium",7.6,11.5,5.273,1.732,233.7,58.222,13.2,10.5,31.8,0,10.1,0,9.9,0,4.2
"6","spring","medium","high",8.3,10,391.5,0.102,196.66701,12,236,2,1.2,11.3,0,1.3,0,0,0
"7","spring","small","high",8.15,7.1,22.32,2.512,346.66699,5,138.5,8.155,3.6,1,0,3.9,5.8,49.4,0
"8","winter","small","high",8,10.6,4.545,0.536,110,15.6,60,4.5,0,22,0,0,15.3,0,0
"11","spring","medium","high",8.43,8.8,38.125,3.9,18,12.75,39,50,14.7,0,0,1.7,35.6,0,0
"13","winter","medium","low",7.74,9.6,43.09,1.223,10,59.429,213,17.2,43.5,12,1.7,1.1,1.2,0,0
"16","autumn","medium","high",8.4,11.5,4.7,3.07,14.75,97.333,201.778,1.1,46.2,0,0,5,1.9,1.6,0
"18","winter","medium","high",8.5,10.4,45.273,0.461,103.333,39,6.75,0.8,66,21.5,3.1,2.5,7.7,29.5,3.2
"19","summer","small","low",8.6,6,12,1.72,24064,6,27.5,2,81.9,0,9.9,0,1.2,0,1.9
"20","winter","small","high",8,10.7,53.333,4.82,28.333,187,277.33301,6.8,4.4,0,0,0,0,0,1.4
"21","autumn","large","medium",8.07,11.17,3.5,0.673,3466.65991,27,317,16,0,72.6,1.9,0,5.5,11.5,0
"22","spring","medium","high",8.4,4.5,16,1.873,914,136.75,86.997,3,3.1,38.5,4.1,2.3,2.9,4.1,0
"23","autumn","small","medium",8.3,6.7,29.5,3.245,112.857,38.75,7.2,75,1.4,2.1,23.2,1.7,27.6,0,2.1
"24","winter","small","high",7.2,6.5,11.088,4.03,32.5,196.62,3,2.5,3.3,0,6.6,0,0,0,2.4
"25","spring","medium","high",7.5,3.3,29.775,2.273,88.182,10.583,115,1.4,0,1.6,0,3.5,8.2,0,3.4
"26","autumn","small","high",7.9,10.3,87,3.976,101,4.25,2.5,3,0,0,0,0,0,10.1,1.6
"27","summer","large","high",7.4,10.1,2.111,2.586,8,120.5,61.444,2,69.9,0,2.5,0,11.3,0,6
"28","autumn","small","low",6.8,10.1,4.326,0.63,33.636,102.364,1,0.5,30.3,32.8,35.1,0,5.3,0,1.2
"29","winter","small","medium",8,5.5,8.69,3.908,197.909,1,265.25,0.8,55.5,16.4,0,1.9,7.5,0,2.5
"30","summer","medium","medium",6.6,11.1,48.667,2.8,101.667,264.89999,123.333,0.9,32.8,0,2.7,0,0,17.7,0
"31","autumn","medium","medium",7.29,8.4,4.083,3.14,60,19.111,142,15,46.9,1,0,0,1.2,5.5,31.6
"32","spring","medium","medium",8.4,10.3,8,3.78,60,82.222,205.875,92.667,39.1,8.7,1.9,28.8,0,6.2,0
"33","summer","small","low",7.9,8.5,41.25,5.099,11.111,54,82.444,16,0,3.8,1.9,0,2.5,1.4,1.2
"35","winter","large","medium",8.5,11.3,39,1.572,32.5,34.5,72.9,5.45,5.3,0,3.2,0,0,3.3,2.2
"36","summer","medium","medium",8.7,4.4,125.6,0.381,35,51.111,44.136,20.8,18.3,0,0,0,0,0,1
