1)
  season   size  speed mxPH mnO2   Cl   NO3   NH4  oPO4    PO4 Chla   a1   a2  a3  a4   a5   a6
1 summer medium    low 8.50  9.4   NA 0.826 578.0  13.0  18.00  0.5  5.9 13.2 0.0 2.2 34.2  8.3
2 spring  small medium 8.70  8.0 29.2 3.310  32.5  55.0   7.20  2.3 15.1 12.0 0.0 0.0  1.2  0.0
3 winter medium medium 7.09 11.4 71.4 4.990 346.7 246.0  44.14 11.8 43.7  4.0 0.0 0.0  0.0  0.0
4 spring  small medium 8.06  4.8  8.3 2.316  31.3  61.2   7.65 18.3  2.4  4.7 5.6 0.0  1.7  0.0
5 spring medium    low 8.70 10.8 35.8 4.071 233.7   9.0  97.58 20.6 55.5  3.9 0.0 1.9  1.9  2.6
6 summer  small medium 8.87 10.0 47.8 4.698 122.5 104.7 124.20 28.4 50.4 13.2 5.5 4.0  5.9 13.1
    a7
1 25.6
2 15.1
3  9.7
4  0.0
5  1.0
6  0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,summer,medium,low,8.5,9.4,NA,0.826,578,13,18,0.5,13.2,2.2,8.3,25.6
2,spring,small,medium,8.7,8,29.2,3.31,32.5,55,7.2,2.3,12,0,0,15.1
3,winter,medium,medium,7.09,11.4,71.444,4.99,346.66699,246,44.136,11.84,4,0,0,9.7
4,spring,small,medium,8.06,4.8,8.3,2.316,31.333,61.182,7.654,18.3,4.7,0,0,0
5,spring,medium,low,8.7,10.8,35.75,4.071,233.7,9,97.58,20.6,3.9,1.9,2.6,1
6,summer,small,medium,8.87,10,47.778,4.698,122.5,104.727,124.2,28.4,13.2,4,13.1,0
7,summer,small,high,8.6,10.3,69,4.86,51.111,12,138.5,1.7,1,7.6,9.9,0
8,autumn,small,medium,8.2,10.6,5.326,5.33,8,44.667,23.485,68.05,0,1.2,0,0
9,spring,small,high,8.6,9.4,41.163,1.32,56.364,30.75,104,4,5.4,2.6,7,0
10,summer,medium,high,7.93,8.9,95.367,5.41,2082.8501,3.545,140.22,0.8,18.4,0,0,3.9
11,autumn,small,high,7.35,8.1,53.333,1.572,18.333,220.75,1,75,3.8,1.7,0,0
12,summer,medium,high,7.61,8.1,29.775,1.003,18.429,2,14.354,5.555,0,1.4,1.5,1.4
13,winter,medium,high,7.29,9.6,NA,1.223,131.66701,181,213,21.9,0,7.8,1,0
14,summer,small,high,8.05,1.5,208.364,0.921,10,53,17,54.367,41,0,12.6,2.7
15,summer,small,medium,8.5,9.6,22.35,1.448,46.2,97.333,58.623,2,5,0,4.5,0
16,autumn,small,high,7.4,11.5,4.7,0.735,14.75,3,98.25,24.917,0,5,1.6,0
17,winter,medium,medium,8.35,8.7,7,4.93,643,27,50,0.3,12.7,0,6.8,3.3
18,autumn,medium,high,7.14,10.4,32.54,1.443,627.27301,12.75,254.60001,14.7,5.6,1.9,5.1,6.1
19,summer,small,high,8.4,9.2,31.091,0.846,10,60,27.5,3.2,0,4.3,0,0
20,winter,small,medium,8.84,10.7,5,3.316,32,1.625,215.5,18.37,0,2.3,0,1.4
21,summer,large,high,8.7,10.7,127.833,4.053,109,467.5,586,0.3,0,0,11.5,2.7
22,spring,medium,low,8.3,6.8,32.4,NA,20,36.3,6.75,3.7,0,0,77.6,0
23,autumn,small,medium,7.6,9.9,29.5,5.164,60,1,122,7.6,8,4.3,0,0
24,winter,small,high,7.2,9.8,50,2.64,103.333,16,87.125,3.2,4.6,3.7,0,1
