1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"2","spring","small","medium",8.7,8,29.2,3.31,32.5,55,7.2,2.3,15.1,12,0,0,1.2,0,15.1
"3","winter","medium","medium",7.09,11.4,71.444,4.99,346.66699,246,44.136,11.84,43.7,4,0,0,0,0,9.7
"4","spring","small","medium",8.06,4.8,8.3,2.316,31.333,61.182,7.654,18.3,2.4,4.7,5.6,0,1.7,0,0
"5","spring","medium","low",8.7,10.8,35.75,4.071,233.7,9,97.58,20.6,55.5,3.9,0,1.9,1.9,2.6,1
"6","summer","small","medium",8.87,10,47.778,4.698,122.5,104.727,124.2,28.4,50.4,13.2,5.5,4,5.9,13.1,0
"7","summer","small","high",8.6,10.3,69,4.86,51.111,12,138.5,1.7,0,1,1,7.6,5.8,9.9,0
"8","autumn","small","medium",8.2,10.6,5.326,5.33,8,44.667,23.485,68.05,0,0,1.9,1.2,15.3,0,0
"9","spring","small","high",8.6,9.4,41.163,1.32,56.364,30.75,104,4,0,5.4,1.7,2.6,0,7,0
"10","summer","medium","high",7.93,8.9,95.367,5.41,2082.8501,3.545,140.22,0.8,3.4,18.4,2.9,0,6.4,0,3.9
"11","autumn","small","high",7.35,8.1,53.333,1.572,18.333,220.75,1,75,14.7,3.8,1.4,1.7,2.9,0,0
"12","summer","medium","high",7.61,8.1,29.775,1.003,18.429,2,14.354,5.555,0,0,8.8,1.4,3.1,1.5,1.4
"14","summer","small","high",8.05,1.5,208.364,0.921,10,53,17,54.367,33.9,41,0,0,1.9,12.6,2.7
"15","summer","small","medium",8.5,9.6,22.35,1.448,46.2,97.333,58.623,2,1.9,5,0,0,0,4.5,0
"16","autumn","small","high",7.4,11.5,4.7,0.735,14.75,3,98.25,24.917,24.3,0,1.7,5,20.8,1.6,0
"17","winter","medium","medium",8.35,8.7,7,4.93,643,27,50,0.3,46.2,12.7,1.4,0,0,6.8,3.3
"18","autumn","medium","high",7.14,10.4,32.54,1.443,627.27301,12.75,254.60001,14.7,0,5.6,0,1.9,11.5,5.1,6.1
"19","summer","small","high",8.4,9.2,31.091,0.846,10,60,27.5,3.2,81.9,0,9.9,4.3,1.2,0,0
"20","winter","small","medium",8.84,10.7,5,3.316,32,1.625,215.5,18.37,24.8,0,1.7,2.3,0,0,1.4
"21","summer","large","high",8.7,10.7,127.833,4.053,109,467.5,586,0.3,0,0,1.4,0,0,11.5,2.7
"23","autumn","small","medium",7.6,9.9,29.5,5.164,60,1,122,7.6,23.2,8,0,4.3,27.6,0,0
"24","winter","small","high",7.2,9.8,50,2.64,103.333,16,87.125,3.2,37.3,4.6,1,3.7,0,0,1
"26","spring","small","high",8.21,10.3,87,3.976,165,22.2,61.6,31.738,4.1,0,2.4,0,0,10.1,3.9
"27","autumn","large","high",5.7,7.1,49.625,3.726,28,412.33301,7,20.829,69.9,0,1,4.9,4.1,4.5,0
"28","summer","small","high",7.91,10.1,69.75,0.63,153.75,159.5,34,2.5,0,0,35.1,0,8,0,0
"30","autumn","medium","medium",6.6,11.7,56.717,1.655,49.5,12,279.06601,53.1,14.6,0,19.7,11.5,0,42.1,0
"32","summer","small","medium",7.9,10.3,10.556,4.825,27.286,132.5,61.5,92.667,39.1,17.1,1.9,0,0,0,0
"33","spring","medium","medium",7.5,6,8,1.715,137,120.5,102.571,21.22,29.7,0,0,0,7.4,42.7,5.2
"34","spring","small","medium",8.43,10.6,130.67,1.87,228.75,51.111,253.25,5.083,51.8,6.4,19.5,0,9,0,1.6
"35","winter","small","low",8.1,8.3,39,2.822,32.5,34.5,72.9,5.45,41,40.7,20.2,0,0,32.9,2.2
"38","summer","medium","high",7.44,6.7,11.867,10.416,43.75,2.5,3,3,14.4,1.7,2,1.1,0,0,0
"39","spring","small","high",8.3,11,54.143,0.699,65.556,82.222,116.2,3,2,12.7,2.1,3.7,0,0,30.1
"40","summer","medium","medium",8.4,10.5,41.25,3.9,54.75,182.42,287,0.8,52.4,14.5,0,0,44.4,0,0
"41","winter","medium","high",8,11.9,46.167,2.31,10,16.833,205.875,0.5,75.8,0,5,0,0,0,0
"42","spring","medium","high",7.55,9.8,54.19,0.923,39,16.8,175.04601,23.8,48.3,0,0,0,8.6,0,0
"44","winter","large","high",8.1,8.9,9,7.83,51.429,44,326.85699,2.5,28.1,3.1,0,2.4,0,17.7,0
"45","winter","small","medium",8.9,8.5,1.549,4.555,8777.59961,34.636,214,3.9,54.4,28.2,7,0,3.1,5.5,0
"46","winter","medium","low",8.3,12.5,10.5,6.64,1081.66003,78.333,275.14301,17.491,29.5,10.5,2,2,2.9,16.6,1.9
"47","winter","medium","medium",8,7.1,66.3,3.444,35,16,292.625,0.8,2.4,1.7,2.9,0,2.1,7.1,0
"48","autumn","large","medium",7.5,12.6,9,2.67,225,196.62,6.667,34.75,43.5,0,0,0,8.7,18.2,0
"50","autumn","large","medium",7.79,7.9,17.75,1.47,370,209.85699,14,5.111,7.8,21.5,1.7,0,2.6,15.8,0
"51","autumn","medium","low",8,8.1,51.113,2.304,27.5,70,75.207,65.7,0,0,0,1,9.2,0,1.4
"52","spring","large","high",8.66,9.7,30.125,3.02,46.5,61.556,313.60001,12.1,0,8.7,1,3.9,8.1,8.5,1.1
"53","spring","small","high",8.7,9.9,55.35,2.818,28.333,238.2,16.662,0.5,66.9,8.9,1.2,0,15,2,2.2
"54","summer","large","medium",7.2,9,391.5,0.91,76.667,4,11.818,0.8,10.3,4.6,0,0,3.5,0,0
"58","autumn","small","medium",9.1,7.1,82.852,3.351,172.5,22.444,6,0.2,4.1,5.4,2.7,0,0,0,0
"59","spring","large","high",8.7,9.4,43.97,3.414,125.333,13,137.778,7.3,19,1.9,1,2.7,0,0,0
"60","autumn","small","medium",7.4,7.1,44,3.778,133.636,125.667,277.33301,4.3,47.1,15.2,0,2.4,0,8.7,2.1
"64","summer","small","high",7.57,4.5,1.45,1.203,34.333,1,116.2,24.556,0,1.7,0,4,2.5,0,1.4
"65","summer","medium","medium",6.8,11.3,60.8,1.474,6400,104.5,558.75,5.233,3.7,0,2.3,1.7,0,0,1.2
"66","winter","medium","high",8,10.7,3.136,0.77,15,346.16699,71,4.5,0,0,0,0,0,31.8,0
"69","spring","medium","low",8.2,9.6,6.3,3.85,1131.66003,12.75,171.272,9,0,0,6.3,0,0,0,2.7
"70","autumn","small","low",7.5,10.6,5.273,5.099,155,23,388.16699,1,1.7,4.1,3.7,3,0,0,1.9
"71","spring","medium","medium",7.72,8.5,27.4,3.617,96.667,85.5,77.434,6.209,0,2.1,0,0,9,0,1.9
"72","spring","medium","low",8.22,10.29,129.375,4.94,21.571,4,152.33299,22.5,3.6,3.4,0,0,13.3,10.6,0
"73","winter","medium","low",8.43,10.2,125.6,1.013,60,75,72.696,17.2,3.1,1.9,3.3,0,0,0,0
"74","winter","medium","high",8.4,9.8,6.167,1.374,17.778,3.222,10.111,0.5,2.9,36.6,0,0,0,13.2,1.2
"75","summer","small","high",8.5,10.4,11.818,7.16,122.85,100,249.25,3,12.3,0,2.1,1.4,11.5,0,0
"76","spring","large","high",8.15,10.53,30.523,0.735,91.833,39,177.625,7.9,2.2,0,6.6,1,1.7,0,0
"77","autumn","medium","medium",9.06,11.4,38.125,0.996,224.286,18.25,6,93.683,1.9,8,14.6,0,4.1,0,1.4
"78","autumn","large","medium",8.4,5.9,63.292,1.287,120,28.625,17.333,18.33,16.8,4.6,0,0,0,0,2.2
"79","summer","small","medium",8.07,10.2,39,3.318,1495,27.5,11.8,3.6,14.4,0,11.8,5.7,11.3,0,0
"80","spring","small","high",8.56,11.3,11,3.14,430,26.6,200.231,10.5,0,7.4,5.4,3.4,0,6.9,0
"81","spring","small","medium",7.8,10.5,34.037,1.72,758.75,31.333,284,5.544,6.5,0,2.5,6.9,0,0,6.1
"82","spring","large","high",8,8.2,28.333,4.82,192.5,191.75,11,4.3,2.2,15.7,0,0,15.9,8.2,0
"83","spring","large","high",7.4,10.8,21.95,1.051,89.6,7.667,111.375,6.4,16.8,21.5,0,1,3.2,6.4,0
"85","winter","medium","high",8,9.8,4.575,4.408,737.5,71,52.875,15.6,15.1,28,0,4.6,1.9,21.4,0
