1)
  season   size  speed mxPH mnO2    Cl  NO3  NH4 oPO4   PO4 Chla   a1   a2  a3 a4   a5  a6  a7
1 autumn  large   high 7.93  9.4 49.62 5.13  103 34.6  75.9 50.0 29.5 12.0 0.0  0 34.2 0.0 0.0
2 autumn  small   high 8.30  8.4 61.05 1.29  245   NA 558.8 18.3 35.5 15.7 4.1  2  8.0 0.0 1.9
3 summer medium medium 7.09 11.1 40.02 5.33 1168 97.3  46.4  4.5 24.8  0.0 0.0  0  0.0 0.0 0.0
4 winter medium   high 8.40 10.5 65.33 6.64  462 61.2  79.8 16.0  2.2  0.0 5.6  0 20.8 0.0 1.6
5 autumn  small medium 8.00  9.0  5.27 2.90  132 26.6 108.0 10.5  0.0 16.0 2.1  0  7.5 4.1 1.0
6 spring  small medium 7.19 10.0  9.00 1.59   10 13.0  97.6 28.4  3.3  0.0 1.8  4  5.0 2.7 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,large,high,7.93,9.4,49.625,5.13,103,34.636,75.904,50,12,0,0,0
2,autumn,small,high,8.3,8.4,61.05,1.288,245,NA,558.75,18.33,15.7,2,0,1.9
3,summer,medium,medium,7.09,11.1,40.02,5.33,1168,97.333,46.438,4.5,0,0,0,0
4,winter,medium,high,8.4,10.5,65.333,6.64,461.875,61.182,79.75,16,0,0,0,1.6
5,autumn,small,medium,8,9,5.273,2.899,132.25,26.625,108,10.5,16,0,4.1,1
6,spring,small,medium,7.19,10,9,1.587,10,13,97.58,28.4,0,4,2.7,0
7,summer,large,high,8.15,10.3,47.229,3.678,235,144,138.5,11.6,7.6,6.2,0,0
8,summer,small,high,8.2,10.6,8,0.23,8,44.667,60,18.3,5.5,5.3,2,3.9
9,summer,small,medium,8.7,11,NA,1.32,16.2,26,123.333,0.6,0,0,0,0
10,winter,small,medium,7.4,9.2,4.575,1.39,46.2,144.66701,285.71399,1,12,0,0,0
11,summer,small,high,8.4,3.4,87,5.078,13.5,53,6.75,4.3,0,1.7,15.8,0
12,summer,small,low,8.5,8.1,16,1.003,5738.33008,33.8,205.875,46.075,28,1,0,2.1
13,autumn,medium,high,7.74,9.6,64,1.474,84.667,564.59998,287,17.2,13.7,3.4,5.1,0
14,summer,medium,medium,7.9,10.2,129.375,4.99,10,159.16701,7.654,68.05,6.4,0,4.6,6
15,spring,small,low,7.72,9.6,51.113,1.448,208.33299,45,17,2,0,0,0,0
16,autumn,small,high,7.55,3.6,NA,3.07,647.57001,220.75,98.25,9.882,0,5,9.9,0
17,winter,large,medium,7.78,11.3,7,1.51,66.667,61.25,75.207,1.5,28.2,2.2,6.8,0
18,autumn,small,medium,8.07,10.4,10.556,1.873,196.66701,35.333,138.7,0.5,4.7,1.9,0,3.2
19,summer,small,low,9,8.1,38.902,0.445,24064,48.625,277.33301,0.8,0,1.9,17.1,3.2
20,summer,small,medium,8.5,10.7,5,2.822,25,60,87.125,3,1,4.6,0,0
21,winter,small,medium,8.3,7.8,3.5,0.673,90,18.667,586,7.9,21.7,0,42.4,10.2
22,winter,medium,high,8.3,9.2,22.455,0.735,914,15.6,72.9,0.5,8,0,0,0
23,autumn,large,medium,7.75,3.3,194.75,3.351,1081.66003,151.125,130.75,7.6,7.3,7.7,0,0
24,autumn,medium,high,7.2,9.6,50,1.715,43.75,180.66701,61.6,1.7,0,0,0,0
25,spring,medium,medium,7.84,10.6,11,8.759,11.111,39,188.66701,1.4,4,0,0,3.4
26,autumn,medium,medium,7.4,10.3,53.333,0.996,165,22.2,771.59998,3,0,0,10.1,0
