1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","large","high",7.93,9.4,49.625,5.13,103,34.636,75.904,50,29.5,12,0,0,34.2,0,0
"3","summer","medium","medium",7.09,11.1,40.02,5.33,1168,97.333,46.438,4.5,24.8,0,0,0,0,0,0
"4","winter","medium","high",8.4,10.5,65.333,6.64,461.875,61.182,79.75,16,2.2,0,5.6,0,20.8,0,1.6
"5","autumn","small","medium",8,9,5.273,2.899,132.25,26.625,108,10.5,0,16,2.1,0,7.5,4.1,1
"6","spring","small","medium",7.19,10,9,1.587,10,13,97.58,28.4,3.3,0,1.8,4,5,2.7,0
"7","summer","large","high",8.15,10.3,47.229,3.678,235,144,138.5,11.6,7.6,7.6,3.2,6.2,5.8,0,0
"8","summer","small","high",8.2,10.6,8,0.23,8,44.667,60,18.3,0,5.5,4,5.3,2.5,2,3.9
"10","winter","small","medium",7.4,9.2,4.575,1.39,46.2,144.66701,285.71399,1,17,12,1,0,0,0,0
"11","summer","small","high",8.4,3.4,87,5.078,13.5,53,6.75,4.3,19.4,0,2.6,1.7,6.4,15.8,0
"12","summer","small","low",8.5,8.1,16,1.003,5738.33008,33.8,205.875,46.075,32.1,28,2.5,1,0,0,2.1
"13","autumn","medium","high",7.74,9.6,64,1.474,84.667,564.59998,287,17.2,43.5,13.7,0,3.4,1.2,5.1,0
"14","summer","medium","medium",7.9,10.2,129.375,4.99,10,159.16701,7.654,68.05,0,6.4,3,0,27.6,4.6,6
"15","spring","small","low",7.72,9.6,51.113,1.448,208.33299,45,17,2,16.5,0,9,0,0,0,0
"17","winter","large","medium",7.78,11.3,7,1.51,66.667,61.25,75.207,1.5,46.2,28.2,5,2.2,0,6.8,0
"18","autumn","small","medium",8.07,10.4,10.556,1.873,196.66701,35.333,138.7,0.5,28.1,4.7,3.1,1.9,7.4,0,3.2
"19","summer","small","low",9,8.1,38.902,0.445,24064,48.625,277.33301,0.8,81.9,0,9.9,1.9,0,17.1,3.2
"20","summer","small","medium",8.5,10.7,5,2.822,25,60,87.125,3,15.1,1,0,4.6,18.7,0,0
"21","winter","small","medium",8.3,7.8,3.5,0.673,90,18.667,586,7.9,1.6,21.7,0,0,8.1,42.4,10.2
"22","winter","medium","high",8.3,9.2,22.455,0.735,914,15.6,72.9,0.5,3.1,8,0,0,7.7,0,0
"23","autumn","large","medium",7.75,3.3,194.75,3.351,1081.66003,151.125,130.75,7.6,23.2,7.3,1.6,7.7,1.9,0,0
"24","autumn","medium","high",7.2,9.6,50,1.715,43.75,180.66701,61.6,1.7,0,0,3.3,0,6.4,0,0
"25","spring","medium","medium",7.84,10.6,11,8.759,11.111,39,188.66701,1.4,0,4,0,0,0,0,3.4
"26","autumn","medium","medium",7.4,10.3,53.333,0.996,165,22.2,771.59998,3,50.4,0,8.8,0,5.9,10.1,0
"27","spring","small","high",8,12.9,11.867,3.02,176.66701,10.8,284,20.829,54.4,0,0,4.9,0,0,2.9
"28","autumn","small","medium",6.8,10.1,77,0.63,28.333,4.25,326.85699,75,30.3,21.1,1.7,0,2.7,11.5,0
"29","autumn","small","medium",8,9.4,38.125,3.908,12.5,36.3,120.889,0.8,31.1,22,19.6,0,0,0,1.4
"30","winter","medium","medium",6.6,7.6,187.183,0.81,120,19.727,173.75,0.5,46.8,2.7,0,0,0,16.6,3.6
"31","winter","small","medium",7.8,7.9,29.775,3.33,4073.33008,19.111,18.293,65.7,1.9,2.1,11.5,0,0,0,1.4
"32","winter","medium","low",9.1,8.6,104.818,1.172,60,13,17.333,92.667,47.1,9.6,0,0,0,11.1,2.2
"33","summer","large","high",7.3,11.4,130.67,2.304,124.167,120.5,140.22,21.22,0,0,1.9,0,2.5,0,6.1
"34","autumn","small","medium",8.4,10.7,53,6.513,3515,51.111,116.2,31.738,5.7,9.1,0,1.2,0,0,1
"35","spring","small","high",8.27,6.7,59.067,0.86,27.286,7.3,303.33301,26.8,5.3,40.7,3.3,3.5,3.4,31.8,0
"36","summer","large","medium",8.7,8.9,32.92,0.381,92,187,253.25,13,18.3,0,3,0,0,1.4,1
"37","summer","medium","high",8.8,3.2,44,1.921,178.57001,1.625,175.04601,27.618,15.8,0,18.9,0,7.3,1.5,0
"38","summer","medium","medium",7.35,7,4.545,10.416,12.727,2.5,3,1.1,12.6,1.7,0,11.5,0,0,0
"39","winter","medium","medium",8.3,9.7,11.088,3.31,65.556,196.62,170,1.1,3.6,0,0,3.7,0,0,0
"40","winter","medium","high",8.5,10.5,41.25,3.78,2082.8501,102.364,183.66701,1.1,0,0,2.5,0,0,0,1.9
"41","winter","medium","low",8,5.5,46.167,6.096,102.75,16.833,14.354,3.7,0,0,5,0,0,6.7,5.2
"42","winter","medium","high",7.91,7.1,7.25,0.941,371.11099,10.583,27.5,2.8,0,16.2,0,6.9,9.2,21.4,0
"44","spring","small","low",8.1,8.8,173.75,7.83,51.429,276.85001,122,11.84,46.9,26.5,1,0,2.9,0,2.7
"45","summer","small","medium",8.6,8.5,36.248,4.555,32.727,105,57.833,6.4,3.4,2.9,3.4,0,2.4,5.5,0
"46","winter","medium","medium",7.7,12.5,10.5,0.73,28,16.8,43.5,3.2,1.5,1.5,0,3.2,0,0,0
"47","autumn","large","medium",8,7.1,20.625,1.203,737.5,24.667,292.625,0.8,2.4,5,42.8,2.1,11.7,29.5,0
"48","autumn","small","high",7.5,6,9,2.323,72.6,71,56.091,1.2,1.2,0,0,0,4,0,0
