1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","medium","medium",8.3,9.4,41.163,6.238,27.286,105,17,0.8,24.8,0,2.9,0,3.5,0,0
"2","winter","small","high",8.7,12,29.2,2.31,215.714,33.8,6.5,3,0,15.7,7.8,0,1.9,9.9,0
"3","winter","small","low",8.1,7.9,12,3.773,96.667,246,46.438,0.6,1.7,53.6,0,2.4,0,0,5.9
"4","autumn","small","medium",8.1,9.9,1.549,1.448,52.2,31.333,27.5,0.3,12.6,0,18.9,1.2,1.7,0,0
"5","spring","small","medium",7.9,9.7,10.5,1.51,233.7,1,97.58,10.5,50.6,0,0,3.4,0,0,10.8
"6","autumn","small","medium",7.19,10,5.83,3.778,643,75,75.207,0.6,2.2,0,0,4,0,0,0
"7","summer","medium","medium",8.15,10.3,127.833,3.726,170.909,26.625,138.5,3,16.6,4.1,3.2,3.9,0,10.1,25.6
"8","summer","large","medium",7.77,10.6,10.936,4.99,8,44.667,138.7,6.9,17.1,0,3.9,1.9,9.2,0,0
"9","summer","small","medium",8.56,7.1,5.273,1.32,46.2,182.42,104,10,43.5,5.4,4.9,6.9,0,17,0
"10","spring","medium","high",7.93,10.2,4.575,1.39,118.571,16,391.75,0.8,1.9,38.8,35.1,6.8,6.4,5.9,0
"11","winter","large","high",8.4,11.3,43,4.459,32,60.833,121,5.5,6.5,0,0,0,2.9,0,0
"12","summer","medium","high",8.2,8.2,16,2.805,18.429,159.5,56.667,1,7.6,12.7,0,7.6,8.1,17.7,0
"13","spring","small","medium",8,9.6,13.5,1.588,10,24,44.136,17.2,50.4,0,10.8,1,2.9,0,2
"14","spring","small","high",7.3,3.4,7,8.759,10,54,122,68.05,0,0,1.6,2.1,1.9,22.9,2.7
"15","winter","small","high",8.27,10.8,51.113,0.846,122.85,28.625,287,2,0,5,2.6,4.6,0,10.3,1.9
"16","autumn","medium","high",7.09,11,4.7,5.414,14.75,97.333,98.25,1.1,20.3,0,11.5,2.9,6.6,0,0
"17","spring","small","medium",8.1,10.7,23.825,2.822,39,7.3,50,5.233,14.6,0,0,1.2,0,6.8,1.2
"18","summer","small","high",7.4,10.4,32.54,5.33,103.333,35.333,82.444,2.7,25.4,1.5,3.1,0,7.7,0,14.4
"20","winter","large","medium",8.1,10.7,43.09,1.655,245,1,607.16699,22.5,32.1,72.6,1.2,0,0,1.6,1.4
"21","autumn","small","medium",7.83,6.9,10.078,3.9,920,467.5,79.75,6.167,0,0,0,12.7,4,11.5,1.4
"22","spring","medium","high",7.9,9.2,4.545,1.335,101.25,15.6,246.66701,34.75,5.7,0,0,1.4,0,0,0
"23","winter","medium","high",7.9,9.9,29.5,3.245,27.5,12.75,102.333,18.37,66,25.4,11.8,28.8,27.6,0,6.6
"24","summer","small","high",7.2,5.3,53.425,1.715,235,175.66701,87.125,1.7,0,14.6,3.9,0,0,42.7,0
"25","winter","small","medium",7.84,10.6,63.51,3.734,10,19.111,11.5,1.4,2.1,21.7,0,3.5,2.4,0,3.9
"26","spring","medium","high",8.21,9.8,8.3,2.64,22.5,18.667,140.517,3,0,0,13.6,0,0,1.4,0
"27","autumn","small","high",7.14,8.4,11.867,1.527,12.5,41.3,61.444,2,69.9,36.6,1.9,0,0,4.7,0
"29","spring","small","low",8,5.5,8.69,3.908,20,36.3,123.333,0.8,11.3,1.7,0,0,0,0,2.5
"30","autumn","small","medium",6.6,11.1,9.055,0.91,244.60001,136.75,279.06601,0.3,1.7,0,14.6,1,0,0,3.6
"31","autumn","medium","medium",7.8,7,53,3.414,60,32,75.333,5.62,3.4,0,1.2,0,7.5,0,0
"32","autumn","medium","high",8.1,8.7,26,4.908,34.333,62.625,108,92.667,39.1,4,0,0,0,32.1,2.2
"33","spring","small","low",7.4,9.5,20.083,3.833,215.556,9.667,218,21.22,3.6,1.9,10.1,2.2,0,0,0
"34","spring","small","medium",8.7,9.4,0.222,8.984,461.875,25.167,253.25,4,13.6,0,0,1.2,2.6,10.6,1.2
"35","winter","large","high",6.6,10.29,39,3.316,10,34.5,170,5.45,0,40.7,0,2.5,3.4,3.3,1.9
"36","winter","medium","low",8.6,5.7,44,0.381,1386.25,187,213,13,3.6,0,0,0,0,20.4,0
"38","summer","medium","high",8.7,3.3,30.523,5.13,43.75,12,432.909,5.111,15.8,4.7,2,1.1,0,0,0
"39","winter","small","medium",8,4.4,10.556,3.976,65.556,38.75,2.5,7.3,2,12.7,7.5,4.9,0,31.8,2.4
"40","winter","small","medium",9.5,11.21,47.778,1.288,124.167,238.2,72.696,17.2,2.4,0,7.5,0,44.4,1.9,0
"41","spring","small","high",7.7,10.3,46.167,2.323,37.5,16.833,317,5.555,2.5,5.9,0,0,0,0,0
"42","spring","medium","high",7.91,7.1,208.364,1.572,12.5,10.583,175.04601,13.2,4.2,21.7,2,0,3.2,0,0
"43","spring","large","high",8.3,8.3,50,5.164,53.846,55,124.2,4.3,0,40.9,0,0,0,0,0
"44","spring","small","low",7.6,8.8,11,3.617,51.429,159.16701,183.66701,3.3,51.8,3.1,1,0,0,7.9,0
"45","winter","medium","low",8.3,8.5,69.75,0.05,6400,6.5,57.833,7.9,0,28.2,1.4,1.9,3.1,5.5,5.2
"46","winter","large","low",7.9,12.5,3.86,3.73,31.333,51.111,43.5,3.3,29.5,1.5,2.9,0,0,0,0
"47","spring","medium","medium",8.3,9.8,66.3,0.376,35,16,50.455,14.7,0,1,1,6.2,4.1,52.5,0
"48","spring","medium","high",7.75,11.4,9,1.013,72.6,45.9,56.091,2,8.7,0,24.8,0,0,0,18.6
"49","spring","small","medium",7.6,11.3,15,3.02,1729,20.667,20.812,1.4,42.5,0,9,5.7,1,2.4,0
"50","summer","large","medium",6.5,10.5,17.75,0.886,103,22.444,296,0.8,31.8,7.4,0,0,8,15.8,4.9
"51","spring","medium","medium",8.3,10.7,22.35,2.316,192.5,12.75,15,2.5,4,0,0,0,11.3,0,1.4
"52","spring","small","high",7.5,12.6,30.125,0.9,33.636,5,228.364,20.87,0,8.7,1.2,1.7,5.4,17.1,2.2
"53","summer","large","medium",9.1,9.8,55.35,2.818,28.333,7.75,34,2.15,0,0,7.3,0,0,0,1.6
"54","spring","large","low",7.2,9,6.167,0.866,18.333,4,132.54601,0.8,37.3,1.6,4.2,0,2.7,0,0
"56","winter","small","low",5.6,6.8,49.625,3.14,21.571,20,116.2,1.1,1.4,3.4,3.3,0,0,0,0
"59","spring","medium","medium",6.6,9,34.5,3.33,421.66699,2,285.71399,6.209,17,1.7,0,0,0,15.7,0
"62","winter","small","medium",8.1,8.4,56.717,3.02,101,78.333,14.354,1,1.7,3.9,1.7,0,4,42.4,0
"64","summer","medium","medium",8,8,8,3.85,40,71,76.333,1,0,0,2.1,0,2.2,0,1.4
"65","winter","large","medium",8.7,10.8,35.66,1.474,92.375,61.182,7.2,2.9,46.8,0,4.1,44.6,6.1,2.2,0
"66","winter","small","high",7.8,12.1,3.136,4.825,46.5,1.333,3,0.5,89.8,0,4,0,1.4,0,0
"67","summer","large","low",7.8,10.7,3.275,3.31,112.857,1.25,10.75,4.5,2.9,2.1,42.8,0,22.5,0,0
"68","autumn","small","high",8.9,12.1,47,1.873,142,2.5,46.6,22.9,0,16.4,3,0,0,1.5,4.1
"69","spring","medium","medium",7.4,11,82.852,6.045,91.833,3,320.39999,1.5,0,0,0,0,10.6,0,2.1
"72","spring","large","medium",7.5,7.7,7.333,1.67,1081.66003,26,6,16,0,10.5,0,0,15.3,0,1.4
"73","autumn","medium","medium",7.5,3.6,57.75,4.508,370,3.545,18,50.225,5.9,17.1,3.3,0,8.9,0,0
"74","winter","large","medium",7.6,6.2,22.32,0.63,15,8.692,265.25,15.6,16.5,5.6,0,3.4,9.5,64.6,0
"75","spring","small","high",9,10.2,45.273,2.8,131.66701,19.727,6,81.54,30.3,0,17.6,0,0,1.4,0
"76","winter","medium","medium",8.05,11.1,59.067,4.17,13.5,38.625,39,3.6,24.3,0,0,7.8,9.4,0,2.3
"78","summer","large","high",7.7,7.9,41.25,7.16,133.636,36,23.485,8.957,0,4.6,23.2,0,34.3,0,2.2
"79","winter","medium","medium",8.07,6,65.75,0.658,380,37.375,11.8,16,1.9,0,1,11.3,0,0,2.9
"80","summer","medium","medium",7.9,10.8,11,0.701,430,26.6,304,2.8,58.7,0,4.7,0,4.9,6.9,0
"81","winter","medium","medium",8.06,11.5,100.83,5.099,4073.33008,261.60001,262.72699,5.544,14.7,11.3,1.4,4.6,4.8,1.5,1.4
"82","summer","large","high",7.9,11.2,32.056,4.93,37.778,191.75,60,11.7,0,0,5,2.3,0,8.2,0
"83","winter","large","high",7.4,12.5,37.6,1.519,89.6,196.62,275.14301,2,14.4,21.5,1.9,1,5.6,8.3,0
"84","spring","large","high",8.47,6,12.146,1.051,10,27.5,69.93,18.3,4.1,1,0,1.8,5.2,0,31.2
"86","spring","medium","medium",7.925,4.9,41.5,0.923,81,137.60001,35.2,0.8,0,0,3.4,0,17.9,4.7,22.1
"89","summer","small","high",8.3,6.7,391.5,4.555,12.727,282.16699,61.5,0.8,1.9,0,0,4,35.6,0,0
"90","winter","large","medium",7.79,9.6,48.667,2.102,49.5,6,303.33301,18.33,2.5,0,2.1,3.7,6.1,7.5,6.8
"91","spring","small","medium",7.8,5.3,2.111,3.318,914,64.389,17.333,0.5,14.4,5.5,0,0,16.2,12.4,1.2
"92","summer","large","high",7.6,4.5,43.97,2.273,15,64,98.143,21,0,0,3.7,1.2,7.3,15.8,1.2
"93","winter","medium","medium",8.66,8.6,8,3.765,102.5,109,233.5,3.8,17,5.6,0,1.7,11.2,0,0
"96","autumn","medium","high",8.5,11.17,32.4,5.442,10,59.429,141.83299,20.829,3.1,1.4,2.2,4.4,2.4,0,0
