1)
  season   size  speed mxPH mnO2    Cl   NO3   NH4  oPO4   PO4 Chla   a1   a2   a3  a4  a5   a6  a7
1 winter medium medium 5.60  9.7  3.86 1.013  82.1   4.0 265.2 3.30  0.0  8.0 23.2 0.0 2.9  2.0 0.0
2 spring  small medium 7.50  6.3 29.20 0.699 130.0  10.6 558.8 8.96 15.1  2.1  0.0 1.4 0.0  0.0 2.4
3 spring  small medium 7.09 11.8 32.30 1.510 346.7 246.0  34.0   NA  5.9 53.6  0.0 0.0 1.2  0.0 9.7
4 spring  small medium 8.00 10.5 49.62 2.316 578.0  20.0 272.2 0.20  4.1  0.0 18.9 2.2 1.7  0.0 1.4
5 autumn medium medium 8.00 10.7  1.55 1.420 233.7  58.2  97.6 3.70 55.5  2.9  0.0 0.0 0.0 29.5 1.0
6 winter  small medium 7.19 10.3 47.78 3.778  96.8  27.5 222.3   NA  1.2  0.0  0.0 4.0 0.0  0.0 1.7
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,medium,5.6,9.7,3.86,1.013,82.1,4,265.25,3.3,8,0,2,0
2,spring,small,medium,7.5,6.3,29.2,0.699,130,10.583,558.75,8.957,2.1,1.4,0,2.4
3,spring,small,medium,7.09,11.8,32.3,1.51,346.66699,246,34,NA,53.6,0,0,9.7
4,spring,small,medium,8,10.5,49.625,2.316,578,20,272.22198,0.2,0,2.2,0,1.4
5,autumn,medium,medium,8,10.68,1.549,1.42,233.7,58.222,97.58,3.7,2.9,0,29.5,1
6,winter,small,medium,7.19,10.29,47.778,3.778,96.833,27.5,222.286,NA,0,4,0,1.7
7,winter,large,medium,8.27,8.5,47.229,1.287,142,1,21.3,3.2,28,3.7,0,0
8,summer,small,medium,8.47,6.2,27.233,4.99,122.5,44.667,50,40,0,0,0,0
9,autumn,small,high,8.6,7.8,NA,0.13,32.5,60.833,7.654,10,5.4,0,0,0
10,spring,medium,high,8,9.9,41.163,1.39,72.6,1.333,262.72699,0.8,72.6,2.9,0,5.5
11,summer,small,high,7.8,10.1,53.333,5.132,380,12.75,40.667,0.8,0,0,0,0
12,summer,small,low,8.2,9.6,23.825,1.003,18.429,105,6,30.4,0,3,17,0
13,winter,medium,low,7.4,9.6,4.7,1.223,124.167,6,213,3.3,16,7.8,1.5,0
14,summer,medium,high,7.8,10.8,57.848,8.759,10,1,17,50,0,1,1.9,2.7
15,summer,small,medium,8.7,7.1,51.113,1.448,37.5,13,138.5,2,0,2.1,16.6,0
16,spring,medium,high,7.55,11.5,94.405,1.328,14.75,97.333,NA,0.6,22,5,1.6,0
17,summer,medium,medium,7.78,10.2,94,2.942,486.5,18.667,239,20.6,12.7,0,0,2.1
18,autumn,small,high,7.14,10.6,13,3.318,3515,2,19,0.5,0,4.4,0,0
19,spring,small,low,7.35,6.8,139.989,0.701,24064,60,167.89999,1,28.2,4.3,6.9,0
20,summer,small,low,8.5,10.7,85.982,2.822,112.857,137.60001,7,9,0,0,0,0
21,summer,medium,medium,7.83,10.7,3.5,6.045,22.5,104.222,586,16,0,0,8.3,1.4
22,autumn,small,medium,8.3,9.2,391.5,0.923,53.846,15.6,66.75,NA,0,2.3,0,0
23,summer,small,medium,7.75,8.9,60.8,3.245,15,12.75,18,0.3,25.4,0,1.4,31.2
24,winter,small,medium,7.3,5.3,5.326,3.685,208.33299,22.444,13.6,1.7,2.9,1.8,6.7,0
25,spring,large,medium,8.56,10.8,15,5.13,206.53799,9.667,3,1.4,0,2.4,0,0
26,autumn,small,medium,8,4.9,87,5.099,1081.66003,9,84.46,0.8,0,2.5,0,0
27,winter,large,medium,7.4,10.7,54.143,2.304,28,346.16699,76.333,5.544,32.8,4.9,0,2
28,spring,medium,high,6.8,8,1.45,2.586,3466.65991,36.3,127.222,75,13.2,0,0,0
29,winter,small,medium,8.4,5.5,8.69,3.908,137.27299,27,296,4.667,0,0,0,2.5
30,winter,small,low,5.7,9.8,9,8.543,120,12,215.5,3.8,0,0,42.1,31.6
