1)
  season   size  speed mxPH mnO2    Cl  NO3   NH4  oPO4   PO4 Chla   a1   a2  a3  a4   a5   a6  a7
1 winter medium   high 8.10  9.4 41.16 6.24 578.0 282.2 122.0 14.8  0.0  4.7 0.0 7.6 34.2  8.3 2.0
2 autumn  large medium 8.20 12.0 29.20 1.29  98.2  33.8 558.8  1.3 15.1  0.0 9.4 1.2  1.9  0.0 5.9
3 autumn  large medium 7.09  7.0 82.85 3.77 112.9  27.0  11.8   NA  1.4 53.6 3.3 0.0  0.0 22.9 0.0
4 spring medium medium 8.06 10.5 87.00 4.07  18.3  61.2  20.8  0.3 58.7  0.0 7.0 0.0  1.7  0.0 2.9
5 autumn  small medium 8.00  8.5  5.27 2.60 233.7  20.7  97.6 14.7 64.2  2.9 0.0 0.0  0.0  1.2 0.0
6 spring medium medium 8.50  8.1 47.78 4.05  39.0  12.9  75.2 26.8  0.0 15.2 0.0 3.5 10.6  0.0 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,high,8.1,9.4,41.163,6.238,578,282.16699,122,14.775,4.7,7.6,8.3,2
2,autumn,large,medium,8.2,12,29.2,1.288,98.182,33.8,558.75,1.3,0,1.2,0,5.9
3,autumn,large,medium,7.09,7,82.852,3.773,112.857,27,11.818,NA,53.6,0,22.9,0
4,spring,medium,medium,8.06,10.5,87,4.071,18.333,61.182,20.812,0.3,0,0,0,2.9
5,autumn,small,medium,8,8.5,5.273,2.603,233.7,20.667,97.58,14.7,2.9,0,1.2,0
6,spring,medium,medium,8.5,8.1,47.778,4.053,39,12.889,75.207,26.8,15.2,3.5,0,0
7,summer,medium,medium,8.5,11,50,1.527,101,26.625,138.5,3.2,5.8,3.9,1.4,0
8,autumn,small,low,8.2,6.2,4.545,4.459,32.5,13,211.66701,NA,12,3.7,2.6,0
9,winter,small,low,8.6,7.8,95.367,2.899,122.85,12,218,10,8.7,2.2,0,0
10,spring,large,low,8.07,9.9,4.575,1.335,34,45,47,0.8,4.6,0,0,2.2
11,summer,small,medium,7.7,12.1,53.333,1.287,178.57001,12.75,89.625,21.9,7,1.7,0,3.9
12,winter,small,high,8.3,8.1,69,2.102,4073.33008,9,14.354,13,0,0,1.5,0
13,summer,small,high,7.74,7.6,60.8,2.978,429.20001,78.333,213,17.2,0,0,0,0
14,autumn,small,high,8.6,10.6,77.364,8.759,10,3.8,188.66701,0.5,6.4,0,0,2.7
15,summer,small,high,8.6,9.6,94,1.208,46.2,26,61.6,2,1,1.2,64.6,4.1
16,winter,medium,high,8.43,11.5,4.7,0.267,14.75,97.333,98.25,21,0,0,9.6,0
17,autumn,large,medium,8.1,10.77,27.4,4.99,10,18.667,246.66701,3,1.2,1.7,0,0
18,autumn,medium,high,8.87,10.4,32.54,4.508,161.81799,35.333,19,4.3,21.5,1.9,1.5,0
19,summer,small,low,8,4.9,29.775,0.445,24064,5,27.5,2,0,4.3,31.8,1.4
20,summer,small,medium,8.5,8.4,88,2.822,49,187,287,6.8,0,2.7,0,1.4
21,winter,medium,medium,7.83,10.7,57.75,4.825,3466.65991,467.5,279.06601,0.5,0,0,0,2.4
22,spring,medium,high,8.3,9.2,130.67,0.735,914,7.3,275.14301,NA,0,2.3,1.4,0
23,autumn,small,medium,7.9,8.9,29.5,0.941,27.286,60.833,167.89999,7.6,25.4,0,8.2,3.2
24,winter,small,high,7.2,5.3,11.867,1.715,208.33299,53.625,87.125,1.7,0,3.7,0,3.3
25,spring,medium,medium,8.53,3.3,64,3.07,88.182,104.222,11.5,18.33,8.6,3.5,0,0
26,summer,large,high,9.06,11,58.331,3.976,165,37,84.46,0.3,0,0,16.6,6.1
27,spring,medium,low,9.1,8.4,39,5.078,205.66701,61.556,13.2,11.84,10.4,4.9,0,0
28,autumn,small,high,8.1,7.1,11,0.63,NA,238.2,2.5,6.5,11.3,0,0,2.7
29,winter,small,medium,7.78,11.1,8.69,4.698,20,564.59998,121,46.075,1.5,0,13.2,15.1
30,summer,medium,high,9,9.8,22.455,0.536,137,71,326.85699,13.1,0,0,0,16.7
31,autumn,medium,medium,7.3,9,8.3,3.2,60,19.111,388.16699,3,16,0,0,0
32,winter,medium,high,8.4,10,7.613,2.954,60,7.667,123.333,92.667,1,2.6,6.9,2.1
33,winter,small,high,6.4,9.5,12,3.02,228.75,50.889,102.571,3.8,4,0,0,0
34,spring,large,medium,8.4,9.4,53,1.172,461.875,51.111,253.25,11.6,0,6.8,5.5,0
35,spring,large,high,7.9,10.8,27.233,3.85,32.5,64.389,72.9,0.6,40.7,0,0,2.2
36,summer,small,medium,8.2,11.8,20.625,2.68,1729,12,6,5.544,0,0,1.6,1
37,summer,small,medium,8.8,10.9,NA,1.921,142,1.625,277.33301,50.225,0,0,0,6
38,summer,medium,medium,8.7,9.5,49.625,5.33,43.75,1,19,9.882,1.7,1.1,0,0
39,winter,medium,high,7.45,7.1,55.35,1.535,65.556,9.667,351.60001,0.5,0,3.7,0,7.1
40,winter,small,high,8.4,5.8,30.125,3.351,224.286,8.692,344.60001,2.3,5.6,0,0,18.6
41,winter,small,low,8.58,10.3,46.167,1.003,102.75,16.833,40,3.7,12.7,0,0,1.2
42,winter,medium,low,7.91,11.1,2.75,1.374,1911,10.583,175.04601,13.2,2.1,0,0,0
43,winter,small,low,8.3,9.6,85.982,3.78,60.11,136.75,130.75,22.5,40.9,1,0,0
44,spring,small,high,8.3,8.8,0.8,7.83,76.667,144.66701,285.71399,12.1,3.1,0,6.8,0
45,autumn,large,low,8.3,8.2,69.75,0.77,42,2.5,232.83299,3.9,28.2,3,0,1.2
46,spring,medium,high,8.3,9.8,12.146,3.908,128.571,137.60001,15,3.3,1.9,0,0,0
47,winter,small,high,7.61,7.1,41.25,3.778,10,41.3,292.625,0.8,4.6,0,16.7,0
48,autumn,small,high,NA,12.6,9,3.245,72.6,221.89999,56.091,1.1,12,0,0,0
