1)
  season   size  speed mxPH mnO2    Cl  NO3   NH4 oPO4 PO4 Chla   a1   a2   a3  a4   a5 a6   a7
1 spring medium medium 7.70  9.4 39.00 2.81 578.0 47.5 122  6.9 20.3  0.0  3.7 0.0  0.0  0  0.0
2 summer  small medium 8.70 10.6 29.20 9.77  17.8 48.7 559  7.9 15.1 15.7  1.8 0.0 20.8  0  0.0
3 autumn medium   high 7.30  8.5 40.02 4.91 146.7 37.0 314   NA  3.3  0.0  0.0 0.0  0.0  0  1.6
4 spring  small   high 8.06  4.8  1.55 2.32  98.2 12.8 139 53.1  2.4  0.0 18.9 0.0  0.0  0  2.9
5 autumn  large medium 8.22  9.0    NA 2.55  40.0 31.3  14 10.5  3.6  2.9  0.0 0.0  0.0  0 30.1
6 spring medium   high 8.50 10.6 47.78 5.10  49.0 10.0 625 28.4  1.2 11.3  0.0 1.2  5.5  0  0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,medium,medium,7.7,9.4,39,2.805,578,47.5,122,6.9,0,0,0,0
2,summer,small,medium,8.7,10.6,29.2,9.773,17.778,48.667,558.75,7.9,15.7,0,0,0
3,autumn,medium,high,7.3,8.5,40.02,4.908,146.66701,37,313.60001,NA,0,0,0,1.6
4,spring,small,high,8.06,4.8,1.549,2.316,98.182,12.75,138.7,53.1,0,0,0,2.9
5,autumn,large,medium,8.22,9,NA,2.55,40,31.333,14,10.5,2.9,0,0,30.1
6,spring,medium,high,8.5,10.6,47.778,5.099,49,10,624.73297,28.4,11.3,1.2,0,0
7,winter,small,low,7.45,10.8,47.229,5.132,134,26.625,262.72699,3.2,0,3.9,0,1.4
8,summer,medium,medium,8.15,10.7,16,0.866,46.5,187,75.207,50,1.6,4.6,0,0
9,winter,small,medium,8.6,9.6,NA,1.42,122.85,26,19,5.555,5.4,6.9,0,0
10,summer,large,high,8.06,9.9,82.111,2.102,178.57001,267.75,NA,2.15,20.1,2.9,0,3.9
11,spring,medium,high,8,6,48.667,1.287,215.556,159.16701,69.93,13.2,1,1.7,42.4,0
12,spring,small,high,8.2,8.1,58.331,1.003,18.429,151.125,11,0.8,0,0,1.5,2.4
13,winter,medium,high,7.9,9.6,64,4.94,10,12.75,213,9.384,5.4,0,0,0
14,autumn,small,medium,8.5,12.1,77.364,8.759,25,7.3,101.455,68.05,6.4,0,6.9,2.7
15,summer,small,high,7.9,6.35,51.113,1.448,46.2,64.389,61.6,1.1,40.7,0,0,0
16,autumn,medium,high,7.91,10.6,7.25,5.099,14.75,97.333,13.6,1.1,0,0,0,0
