1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","medium","medium",8.3,9.4,2.111,4.535,578,9,76.333,5.5,7,0,0,0,34.2,8.3,0
"2","summer","small","medium",8,1.5,151.83299,2.68,102.75,151.33299,54.916,93.683,3.6,15.7,4.1,0,0,0,0
"4","summer","small","low",8.4,10.5,82.111,3.778,43.75,27,170,0.8,25.4,0,2.6,0,7.5,2.4,2.9
"5","autumn","small","low",8,9,22.286,4.459,60,13,97.58,30.4,55.5,0,9.9,0,5.7,4.1,1
"6","autumn","small","medium",8,10,32.056,1.288,228.75,13,11,3.1,18.2,2.1,4.7,4,0,0,0
"7","summer","medium","medium",8.15,13.1,47.229,4.071,14.75,26.625,138.5,6.4,4.4,1,3.2,0,4.9,1.4,6
"8","summer","small","medium",7.7,10.6,4.7,4.99,8,104.727,244,6.9,18,7,0,0,1.2,3.1,0
"9","autumn","medium","medium",8.6,7.8,0.222,1.527,33.636,75,104,41,50.6,5.4,7.8,6.9,0,9.9,1.4
"10","summer","small","high",7.93,9.9,4.545,1.172,32,8.692,75.904,26.8,17,15.9,1,5,0,0,3.9
"11","autumn","small","high",8.4,10.2,53.333,1.287,380,102.364,205.875,22.7,14.7,22,0,1.7,0,0,0
"12","spring","large","low",7.6,9.8,129.375,7.195,18.429,159.5,14.354,13.1,1.9,0,1,0,1.4,1.5,1.4
"13","spring","medium","high",8.21,12.6,64,1.223,10,282.16699,102.333,17.2,2.2,4.7,3.9,0,0,0,0
"14","winter","small","medium",6.6,3.4,23.825,4.665,65.556,57.6,125.8,68.05,4,0,0,1,1.9,0,2
"15","spring","small","medium",7.6,9.6,36.248,0.81,10,55,197.14301,10,1.9,9.1,9,0,0,0,0
"16","winter","medium","medium",8.5,11.5,3.275,3.07,178.57001,246,46.438,11.84,24.3,0,1.7,0,28.8,0,16.7
"17","spring","medium","medium",7.78,11.62,7,4.93,39,18.667,169.00101,3.5,0,0,6.3,0,8.2,0,1.2
"18","autumn","small","high",7.14,7.1,10.936,0.923,103.333,19.111,47,1.3,15.8,3.9,25.9,1,7.7,2.6,3.2
"19","summer","small","high",7.35,6.9,64.093,0.701,5.8,120.5,127,0.9,81.9,17.1,0,3,1.4,11.5,9.7
"20","winter","large","high",8.5,10.7,5,2.822,10.5,205.636,69.93,6.8,35.5,12,1.4,4.6,10.6,1.5,1.4
"21","winter","large","medium",8.47,11.7,48.667,7.74,18,10.583,586,16,0,0,0,4,4.8,0,1
"22","spring","small","high",8.6,5.4,43,1.32,54.778,276.85001,20.75,0.5,2.9,1.6,10.6,2.3,0,0,0
"23","autumn","small","high",7.75,8.9,29.5,0.308,27.286,125.667,18,7.6,12.3,0,1.4,2.5,15,0,22.1
"24","winter","medium","high",7.5,9.6,50,4.87,12.5,48,87.125,0.5,0,0,1,0,1.2,1.4,0
"25","spring","large","high",8.5,3.3,63.51,5.13,82.1,1,6.75,2,13,8.6,1.2,3.5,11.3,77.6,0
"26","winter","medium","medium",7.74,3.6,10.5,3.976,37.778,77.333,84.46,5.2,4.1,0,24.8,0,14.9,10.1,0
"27","winter","large","medium",8.2,9.2,63.292,3.235,421.66699,27.25,213,0.8,12.7,13.2,0,4.9,4.1,64.6,0
"28","winter","small","high",8.22,10.1,3.86,0.63,1911,3.222,143.75,5.233,11.3,6,35.1,0,20,0,2.7
"29","summer","medium","high",7.5,9.4,8.69,3.351,112.857,60.833,121,0.8,31.1,0,1,1.7,6.4,0,1.9
"30","autumn","small","medium",6.6,7,9,8.543,486.5,1.25,6.667,13.2,8.8,20.6,0,0,0,42.1,3.6
"31","autumn","medium","high",7.8,9.3,82.857,3.33,176.66701,36.909,60,7.3,3.4,7.3,1.2,0,0,0,0
