1)
  season   size  speed mxPH mnO2    Cl   NO3   NH4   oPO4   PO4 Chla   a1   a2  a3  a4  a5   a6  a7
1 winter medium   high  7.9  9.4 32.54  6.24 578.0 180.67   6.0  3.0  6.7  0.0 0.0 0.0 0.0  0.0 0.0
2 spring medium    low  8.7 12.0 29.20  1.29  38.1 102.00  20.8 15.0  5.7  2.1 3.0 6.6 0.0  0.0 0.0
3 autumn medium medium  7.9 11.2 49.62 45.65 205.7 246.00  61.5   NA 14.6  0.0 0.0 0.0 0.0 22.3 2.3
4 winter  small medium  7.7  4.8  1.55  4.55  98.2   1.25  49.3  0.3  2.4  1.2 1.4 2.2 1.7  0.0 0.0
5 autumn medium medium  9.0  9.0  5.27  1.42 178.6  58.22 116.2  2.0 13.0  0.0 0.0 1.7 1.2  4.1 0.0
6 spring  large medium  8.5 11.1 47.78  2.59 103.0   2.00  81.6  0.3  1.2 11.3 9.0 0.0 0.0 12.6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,high,7.9,9.4,32.54,6.238,578,180.66701,6,3,0,0,0,0
2,spring,medium,low,8.7,12,29.2,1.288,38.111,102,20.75,15,2.1,6.6,0,0
3,autumn,medium,medium,7.9,11.21,49.625,45.65,205.66701,246,61.5,NA,0,0,22.3,2.3
4,winter,small,medium,7.7,4.8,1.549,4.555,98.182,1.25,49.333,0.3,1.2,2.2,0,0
5,autumn,medium,medium,9,9,5.273,1.42,178.57001,58.222,116.2,2,0,1.7,4.1,0
6,spring,large,medium,8.5,11.1,47.778,2.586,103,2,81.558,0.3,11.3,0,12.6,0
7,spring,medium,medium,8.1,10.3,NA,0.9,32.5,120.5,215.5,65.7,4.1,3.5,0,6.1
8,spring,small,low,8.6,10.5,48.429,2.273,8,44.667,60,0.6,1.6,3.7,12.7,30.1
9,spring,small,high,7.19,10.2,40.226,6.64,122.85,48.667,56.667,10,5.4,2.3,0,0
10,spring,medium,medium,8.8,9.4,4.575,1.39,101.667,51.75,262.72699,22.7,5.4,0,0,3.9
11,spring,small,high,8.4,10.2,34.5,0.73,380,12.75,40.667,22.9,19.6,1.7,0,0
12,spring,small,low,8.3,8.1,208.364,2.954,60,205.636,102.571,1.2,0,44.6,2.4,1.9
13,autumn,medium,low,8.05,9.7,64,1.223,10,22.2,213,7.9,0,2.4,0,0
14,winter,small,high,9.1,8.3,77.364,6.513,32.727,3.222,20.812,21,2.1,1,4.5,0
15,summer,medium,high,8.21,11.5,51.113,1.448,46.2,45.9,91.111,2,12.7,0,0,1.4
16,winter,large,low,7.55,11.3,94.405,3.07,14.75,97.333,98.25,1.1,0,5,1.6,1.4
17,spring,large,medium,7.2,6.2,27.4,0.758,51.111,18.667,205.875,NA,1.5,0,6.8,0
18,winter,small,high,8.4,13.4,3.136,1.443,15,82.222,52.875,0.5,26.5,1.9,0,0
19,autumn,small,low,7.35,8.1,29.775,0.445,12.5,55,27.5,34.75,0,0,0,0
20,autumn,medium,medium,8.27,10.7,43.09,2.822,627.27301,4,77.434,2.5,0,2.7,0,1.4
21,spring,medium,high,7.4,10.8,100.83,4.825,3466.65991,467.5,122,16,4,6.8,11.5,31.2
22,summer,small,high,6.8,9.2,23.25,0.735,109,19.111,285.71399,4.3,6,0,0,25.6
23,autumn,large,medium,6.6,8.9,15,3.245,12.5,45,18,5.609,2,2.5,5.9,0
24,spring,small,high,7.9,10.6,50,0.267,130,34.636,87.125,1.7,20.6,3.7,0,1.7
25,summer,small,medium,7.84,NA,63.51,0.699,137,41.5,101.455,3.5,8.6,0,0,0
26,autumn,medium,high,7.9,10.3,49.9,2.978,39,20.667,432.909,13.1,0,1.7,10.1,0
27,winter,medium,medium,8.22,10.8,11.088,1.013,196,9,197.14301,5.083,0,0,0,0
28,autumn,small,medium,7.4,10.1,NA,7.16,15,9,NA,15.3,4.7,0,0,0
29,winter,small,medium,8,8.5,8.69,2.603,643,27,121,0.8,3.1,0,0,0
30,winter,large,medium,6.6,11.1,47.229,8.543,120,26,6,110.456,2.1,0,0,9.7
