1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","spring","small","medium",8,7.6,1.45,6.238,931.83301,105,122,50,66,16.4,3.3,1.2,34.2,8.3,2.4
"2","summer","small","medium",8.7,12,29.2,3.245,54.75,3.545,558.75,2.9,30.3,0,5.6,1.4,0,0,0
"4","winter","large","medium",8.84,9.9,57.848,2.316,142,36.909,6,0.3,3.3,26.5,0,0,0,0,0
"5","autumn","medium","medium",7.5,9,63.51,3.833,233.7,53.625,284,30.4,0,9.6,3.5,0,0,4.1,1
"6","spring","medium","high",7.19,4.4,23.25,1.051,62.5,61.556,214,5.2,0,5.9,1.6,4,1,0,5.8
"7","summer","medium","high",8.5,10.3,47.229,0.86,153.75,3.222,14,3.2,0,1,3.2,2.6,1.2,0,6
"8","summer","medium","medium",8.2,10.6,32.056,1.212,8,44.667,11.818,72.478,81.9,1.6,3.9,0,15.3,0,0
"9","winter","medium","medium",8.6,11.1,57.75,0.9,32.727,209.85699,60,10,10.3,0,19.5,6.9,0,0,1.5
"10","autumn","medium","high",8,4.8,30.125,3.685,178.57001,7.3,54.916,21.22,17,8.9,1,2.9,9.2,1.5,0
"11","winter","small","low",8.5,9.7,53.333,0.735,18,23,40.667,2.8,14.7,2.9,1,0,20,0,0
"12","autumn","small","low",8.21,8.1,22.32,1.003,51.111,1,287,1,0,5.5,13.5,0,0,0,3.2
"13","winter","medium","medium",8.15,11.62,4.545,3.829,227.60001,24,262.72699,17.2,32.8,0,0,7.7,1.2,16.7,0
"14","summer","small","high",8.1,3.4,9,8.759,120,57.6,88.5,68.05,10.3,0,1.2,0,0,6.8,1.4
"15","spring","small","high",8.7,6.2,53,1.448,46.2,3.333,61.6,1.3,1.4,0,0,0,6.6,16.6,0
"16","autumn","large","high",7.55,8.7,55.35,3.07,14.75,97.333,18.293,1.1,17.3,0,1.2,0,28.8,1.6,15.1
"17","spring","medium","high",8.55,10.1,94,1.415,578,47.5,391.75,7.6,46.2,0,0,0,17.8,10.1,0
"18","winter","small","medium",7.14,9,32.54,1.443,103.333,10.8,254.60001,2.3,1.7,1.9,0,0,0,29.5,3.2
"19","spring","small","high",7.35,9.8,29.775,45.65,96.833,22.444,186.5,2,0,19.6,9.9,1.2,9.4,7.9,1.9
"20","spring","large","medium",8.1,10.7,12.182,2.443,27.069,564.59998,14.354,5.62,14.6,4.6,13.6,4.6,10.6,0,0
