1)
  season   size  speed mxPH mnO2    Cl   NO3    NH4  oPO4   PO4 Chla   a1   a2  a3  a4   a5   a6
1 summer medium medium 8.00 10.3 32.30 6.238  578.0 105.0 186.5 50.0  1.4  4.7 0.0 1.2 34.2  0.0
2 spring  small medium 8.70 10.2 16.00 2.310  346.7  33.8  20.8 14.7 46.9 15.7 0.0 3.7  9.5 42.1
3 spring  large medium 7.91  6.9 94.41 0.758 1495.0  82.2  46.4   NA  3.3 14.6 9.4 1.2  1.0  0.0
4 spring  small medium 8.43  9.4    NA 2.316  109.0  39.0 232.8 81.5 23.7  1.5 0.0 5.0  0.0  0.0
5 autumn  small medium 8.30  9.0  5.27 0.941  128.6  58.2  97.6 10.5 55.5  2.9 2.3 0.0  0.0  1.2
6 spring medium medium 8.87  9.9 47.78 6.188   58.5  10.7 215.5 28.4  1.1 53.6 5.6 1.2  1.2  0.0
   a7
1 0.0
2 2.9
3 9.7
4 2.9
5 1.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,summer,medium,medium,8,10.3,32.3,6.238,578,105,186.5,50,4.7,1.2,0,0
2,spring,small,medium,8.7,10.2,16,2.31,346.66699,33.8,20.75,14.7,15.7,3.7,42.1,2.9
3,spring,large,medium,7.91,6.9,94.405,0.758,1495,82.222,46.438,NA,14.6,1.2,0,9.7
4,spring,small,medium,8.43,9.4,NA,2.316,109,39,232.83299,81.54,1.5,5,0,2.9
5,autumn,small,medium,8.3,9,5.273,0.941,128.571,58.222,97.58,10.5,2.9,0,1.2,1
6,spring,medium,medium,8.87,9.9,47.778,6.188,58.5,10.667,215.5,28.4,53.6,1.2,0,0
7,summer,medium,medium,7,11.1,47.229,1.67,38.111,16.833,123.333,3.2,1,3.9,1.4,0
8,summer,medium,low,8.56,4.5,0.222,1.32,192.5,412.33301,317,2.7,21.5,0,0,0
9,winter,large,medium,8.6,7.4,64.093,8.984,122.85,1.8,104,50.225,5.4,0,0,4.1
10,summer,medium,low,7.93,5.3,60.8,3.235,72.6,8.692,152.33299,22.9,8.9,2.9,0,0
11,autumn,small,high,7.45,6.3,53.333,2.67,380,60.833,40.667,4.5,0,1.7,0,1.2
12,spring,small,medium,8.3,1.8,11.818,1.003,153.75,49,14,1,4.3,0,1.5,0
13,winter,medium,high,8.15,9.6,95.367,1.203,10,191.75,140.517,11.84,0,0,0,6.1
14,summer,medium,high,8.1,3.4,44,8.759,10,102.333,116.2,5.5,6.4,1,0,0
15,spring,medium,high,8.3,8.2,2.933,8.688,46.2,13,252.5,2,4.6,0,1.6,0
16,autumn,medium,high,7.8,11.5,49.625,5.078,14.75,97.333,186,1.1,2.1,0,0,0
17,spring,small,medium,7.78,8,4.083,1.32,225,18.667,57.833,2.1,1.2,0,15.8,0
18,autumn,small,high,7.14,8.3,36.248,3.734,125.333,44,255.28,0.5,72.6,1.9,29.5,3.2
19,summer,large,low,7.35,10.77,5.83,0.445,98.182,26.625,197.14301,98.817,0,4.3,0,1
20,winter,medium,medium,7.83,9.2,NA,2.822,101,564.59998,287,6.8,3.8,4.6,8.7,0
21,autumn,small,high,8,10.5,3.5,4.825,3466.65991,205.636,586,16,1.7,0,0,6
22,winter,small,high,7.2,9.2,22.455,0.735,737.5,120.5,277.33301,0.5,0,1.7,0,1.9
23,summer,medium,medium,7.75,11.3,1.17,3.245,103,276.85001,18,7.6,0,3,0,1.1
24,summer,medium,medium,7.2,9,50,1.715,208.33299,53.625,87.125,11.7,5.4,2.4,1,0
25,autumn,medium,high,7.84,10.7,63.51,0.05,43.75,166.72701,167.89999,3.3,0,2.2,9.9,3.2
26,autumn,small,high,7.7,10.3,22.286,1.448,165,9,132.54601,28.567,1.7,1,0,0
27,winter,small,high,8.5,8.4,70,4.408,28,159.16701,61.444,2,4.6,0,0,1.5
28,spring,small,low,6.8,8.2,77,2.55,20,9,6,75,0,0,20.4,1
29,winter,small,high,8,5.5,8.69,45.65,20,36.3,35.2,NA,5.5,0,0,2.5
30,spring,medium,medium,8.6,11.7,9,8.543,18,24,246.66701,NA,0,0,0,3.6
31,winter,medium,medium,7.3,9.3,32.056,3.765,246.364,19.111,19,5.62,1.4,0,0,15.1
32,winter,small,high,8.2,10.3,19.22,3.78,49,61.25,269.66699,NA,1.5,0,18.2,31.6
33,summer,large,high,7.77,4.8,20.083,3.02,217.75,12.889,102.571,21.22,1,0,0,1.2
34,spring,large,high,8.4,9.4,NA,2.273,461.875,51.111,262.72699,31.738,9.1,6.8,64.6,0
35,winter,large,medium,7.8,9.8,65.75,0.63,32.5,7.3,72.9,0.4,8.7,0,3.3,2.2
36,autumn,small,medium,8.7,8.4,2.111,0.381,27.5,12.75,44.136,1,0,0,0,1
37,autumn,large,high,5.7,1.5,11,1.921,153,50.889,146.452,0.2,0,0,6.7,0
38,spring,large,high,8.7,9.8,4.7,10.416,76.667,2.5,6.5,92.667,1.7,1.1,2,0
39,winter,small,low,8.4,8.3,54.143,2.64,39,27.25,116.2,18.3,11.3,0,0,0
40,summer,large,low,8.3,10.5,NA,3.351,228.75,1,183.66701,17.2,2.7,0,13.1,0
41,winter,small,medium,8,11.2,11.088,9.773,102.75,34.5,205.875,13.1,32.8,1,8.2,0
42,autumn,medium,low,8.84,9.2,54.19,0.923,370,2,175.04601,3,0,0,31.8,0
43,summer,medium,high,8.6,7.7,50,5.099,10,16,11,22.5,40.9,0,0,0
44,winter,small,high,8.2,8.8,173.75,4.698,51.429,13,71,3.6,0,0,15.7,0
45,winter,small,medium,7.9,8.5,39,9.248,42,6.5,138.7,3.9,28.2,4,0,0
46,winter,medium,high,7.44,12.5,10.5,2.22,155,78.333,43.5,1.4,1,3.2,0,0
47,summer,small,medium,8,7.1,NA,0.376,32,3,292.625,0.8,12.7,1.9,0,0
48,winter,small,high,7.3,12.6,NA,1.374,178.57001,5,56.091,93.683,0,0,0,0
49,spring,small,medium,8.3,10.5,15,4.535,40,12.75,16.662,0.3,0,0,0,2.7
50,autumn,small,medium,8.1,11.9,0.8,5.164,31.333,3.222,17,NA,0,0,15.8,2.7
