1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","summer","medium","medium",8,10.3,32.3,6.238,578,105,186.5,50,1.4,4.7,0,1.2,34.2,0,0
"2","spring","small","medium",8.7,10.2,16,2.31,346.66699,33.8,20.75,14.7,46.9,15.7,0,3.7,9.5,42.1,2.9
"5","autumn","small","medium",8.3,9,5.273,0.941,128.571,58.222,97.58,10.5,55.5,2.9,2.3,0,0,1.2,1
"6","spring","medium","medium",8.87,9.9,47.778,6.188,58.5,10.667,215.5,28.4,1.1,53.6,5.6,1.2,1.2,0,0
"7","summer","medium","medium",7,11.1,47.229,1.67,38.111,16.833,123.333,3.2,52.4,1,0,3.9,0,1.4,0
"8","summer","medium","low",8.56,4.5,0.222,1.32,192.5,412.33301,317,2.7,10.3,21.5,0,0,15.3,0,0
"9","winter","large","medium",8.6,7.4,64.093,8.984,122.85,1.8,104,50.225,15.1,5.4,1.7,0,0,0,4.1
"10","summer","medium","low",7.93,5.3,60.8,3.235,72.6,8.692,152.33299,22.9,17,8.9,1.6,2.9,10.6,0,0
"11","autumn","small","high",7.45,6.3,53.333,2.67,380,60.833,40.667,4.5,14.7,0,0,1.7,1.4,0,1.2
"12","spring","small","medium",8.3,1.8,11.818,1.003,153.75,49,14,1,7,4.3,4.7,0,1.4,1.5,0
"13","winter","medium","high",8.15,9.6,95.367,1.203,10,191.75,140.517,11.84,0,0,10.8,0,0,0,6.1
"14","summer","medium","high",8.1,3.4,44,8.759,10,102.333,116.2,5.5,1.9,6.4,0,1,0,0,0
"15","spring","medium","high",8.3,8.2,2.933,8.688,46.2,13,252.5,2,1.9,4.6,3.5,0,0,1.6,0
"16","autumn","medium","high",7.8,11.5,49.625,5.078,14.75,97.333,186,1.1,1.1,2.1,0,0,6.6,0,0
"17","spring","small","medium",7.78,8,4.083,1.32,225,18.667,57.833,2.1,25.4,1.2,0,0,0,15.8,0
"18","autumn","small","high",7.14,8.3,36.248,3.734,125.333,44,255.28,0.5,1.7,72.6,2.5,1.9,7.7,29.5,3.2
