1)
  season   size  speed mxPH mnO2   Cl  NO3    NH4  oPO4   PO4  Chla   a1   a2   a3  a4   a5   a6
1 winter  small   high 8.00  9.4 41.2 6.24  105.6 105.0 122.0 50.00  0.0  4.7  0.0 0.0 34.2  0.0
2 spring  small medium 8.40  5.5  9.0 1.29 1495.0  33.8 558.8  3.50 18.9 36.6  0.0 2.4  3.4  0.0
3 autumn  large    low 7.70 11.1 40.0 2.27   15.0  27.0  46.4    NA  2.4 16.0  1.2 0.0  0.0 22.9
4 autumn  small medium 8.06 10.6 29.2 0.05   98.2  61.2 344.6  2.86  2.4  0.0 18.9 0.0  1.7  4.1
5 autumn  small   high 9.10 10.6   NA 0.63   13.5  45.9  97.6 10.50  7.8  3.9  0.0 0.0  0.0 11.1
6 summer medium    low   NA 10.0 66.3 4.17   58.5    NA 228.4 68.05  2.4 12.5  0.0 0.0  0.0  0.0
   a7
1 0.0
2 1.9
3 6.1
4 2.9
5 1.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,small,high,8,9.4,41.163,6.238,105.556,105,122,50,4.7,0,0,0
2,spring,small,medium,8.4,5.5,9,1.288,1495,33.8,558.75,3.5,36.6,2.4,0,1.9
3,autumn,large,low,7.7,11.1,40.02,2.273,15,27,46.438,NA,16,0,22.9,6.1
4,autumn,small,medium,8.06,10.6,29.2,0.05,98.182,61.182,344.60001,2.86,0,0,4.1,2.9
5,autumn,small,high,9.1,10.6,NA,0.63,13.5,45.9,97.58,10.5,3.9,0,11.1,1
6,summer,medium,low,NA,10,66.3,4.17,58.5,NA,228.364,68.05,12.5,0,0,0
7,summer,medium,high,7.9,1.5,54.143,3.02,345.45499,55,171.272,2.338,1.4,3.9,1.4,0
8,autumn,medium,high,7.6,9.2,4.545,NA,8,196.62,60,13.1,5,0,0,1.7
9,summer,small,medium,8.55,10.5,32.92,1.32,1990.16003,26,104,11.84,5.4,0,0,3.4
10,summer,medium,high,6.6,9.9,94.405,3.561,178.57001,8.692,211.66701,1,8.9,2.9,0,2.7
11,winter,medium,high,8.5,10.2,11.818,1.287,53.846,32,284,18.37,1,1.7,0,0
12,winter,medium,low,8.3,9.4,12.778,1.003,20,NA,14.354,3.2,0,0,0,0
13,winter,medium,high,7.925,9.6,64,1.223,10,264.89999,116.2,1.1,5.8,2.7,0,0
14,summer,small,high,8.56,3.4,41.5,4.053,10,82.222,102.571,4.3,6.4,1,6.8,0
15,winter,small,high,7.9,10.68,69.75,1.448,132.25,14.667,167.89999,3.9,2.1,0,16.6,2.7
16,autumn,medium,high,7.7,11.5,43.97,3.07,160,20,239,NA,0,2,1.6,0
17,winter,medium,medium,7.5,9.2,9.055,0.381,137.27299,54,50,0.4,38.5,0,6.8,4.2
18,autumn,medium,high,7.14,8.6,3.275,9.08,40,35.333,132.54601,0.5,3.4,0,1.5,3.2
19,spring,small,low,7.35,4.9,NA,0.445,101.25,59.429,27.5,2,1.9,4,6.4,0
20,spring,medium,medium,8.5,10.4,5,2.822,1081.66003,12.75,84.46,3.7,1.7,4.9,0,0
21,summer,large,high,7.83,6,4.326,4.825,486.5,282.16699,275.14301,16,0,6.8,11.5,0
22,summer,small,high,8.3,9,10.936,1.921,914,27.667,303.33301,0.5,0,2.3,4.7,0
23,spring,small,medium,7.75,10.2,29.5,3.245,27.286,125.667,35.2,7.6,18.4,2.5,12.7,0
24,winter,small,high,7.2,5.3,1.45,1.715,208.33299,61.25,87.125,9.882,0,0,8.7,0
25,winter,large,medium,7.84,4.3,37.6,0.9,723.66699,41.5,277.33301,1.4,0,3.5,29.5,0
26,autumn,large,medium,8.6,6.1,15,3.351,46.5,49,287,13,15.7,0,10.1,0
27,summer,small,high,8.1,12.9,11.867,2.512,28,9,84,3.3,0,1.9,0,0
28,spring,small,high,8.2,11.6,6.3,1.42,20,26.6,72.9,4.5,0,0,0,1.9
29,autumn,small,medium,7.9,9.8,8.69,3.908,133.636,16,121,0.8,0,0,0,2.5
30,autumn,small,medium,8.66,10.2,40.167,2.942,92.375,60,326.85699,0.5,4.1,0,42.1,1.7
31,winter,medium,medium,7.8,5.3,8.3,3.33,60,9.667,169.00101,3.2,16,0,12.6,0
32,winter,large,high,8.4,11.9,42.636,3.78,60,166.72701,108,13.1,17.1,0,5.1,4.1
33,spring,medium,high,7.4,4.5,26,6.2,76.667,120.5,197.14301,6.4,1,0,42.7,1.2
34,spring,small,medium,7.6,9.4,53,1.013,52.2,51.111,253.25,30,9.1,0,0,6.6
35,winter,large,high,8.27,10.29,23.825,3.316,32.5,144,111.75,0.5,0,0,0,0
36,summer,small,low,8.8,8.4,44,1.415,27.5,58.875,44.136,0.5,0,0,0,1
37,winter,small,high,5.6,8.1,131.39999,9.773,196.66701,64,146.452,3,8,0,6.7,1.6
38,summer,medium,low,8.7,8.2,49.625,10.416,245,2.5,20.812,1.3,1.7,0,17,0
39,spring,large,medium,7.3,9.8,16,2.64,18.333,44.667,213,6.209,38.8,3.7,49.4,0
40,autumn,medium,medium,6.6,6.5,41.25,3.976,228.75,182.42,98.25,6.8,6,0,0,0
41,winter,small,medium,7.4,11.2,46.167,6.096,102.75,220.75,205.875,6.8,22,5.3,0,0
42,spring,medium,low,7.91,9.9,82.857,0.846,65.556,10.583,6,13.2,21.7,6.2,0,0
43,winter,medium,medium,8,7.7,70,2.954,12.5,12.889,6.667,1,0,0,0,2.4
44,winter,small,low,8.3,10.6,391.5,7.83,14.75,2,98.143,4,7.6,0,0,0
45,summer,small,high,8.3,10.3,30.125,NA,2082.8501,6.5,154.125,2,3.1,0,5.5,2.9
46,winter,large,medium,8.3,12.5,5.83,5.442,134,78.333,43.5,0.8,5,3.2,2.6,2.2
47,spring,large,low,8.4,4.8,47,0.376,4073.33008,16,292.625,0.8,12.7,4.8,2,0
48,winter,small,high,7.19,12.6,47.778,1.374,72.6,70,272.22198,3,0,0,0,1.4
49,autumn,small,medium,8.2,10.7,43,5.132,40,27,58.374,10,0,2.2,0,0
50,summer,small,medium,9.1,7.8,17.75,0.658,370,22.444,18,5.5,41,0,0,0
51,summer,medium,medium,8.1,8.1,22.35,1.87,192.5,16,6,7.9,0,0,0,1.4
