1)
  season   size  speed mxPH mnO2     Cl  NO3   NH4  oPO4   PO4 Chla   a1   a2  a3  a4   a5   a6  a7
1 spring medium   high  8.0  9.8 129.38 6.24 122.8 187.0 122.0 31.0 42.5 10.4 0.0 0.0 34.2  1.2 0.0
2 spring  small   high  8.2 10.7  29.20 2.64  76.7  33.8 275.1  1.3 15.1 15.7 0.0 4.6 15.9  0.0 0.0
3 winter  small medium  7.6  9.8  40.02 4.46 346.7 246.0 152.3   NA 54.4  1.5 0.0 0.0  0.0  0.0 9.7
4 winter  small   high  7.9  4.8   1.55 1.21  27.5  61.2  60.0  8.1 16.6  4.3 4.7 0.0  1.7  0.0 1.0
5 winter  small medium  8.0  5.8   5.27 3.14  27.3  48.7  97.6 10.5 24.3  8.0 6.6 0.0  1.2  4.1 7.2
6 spring medium medium  9.0  9.0  47.78 3.78 155.0  10.0  75.2  1.7 13.6  1.0 0.0 0.0  0.0 12.6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,spring,medium,high,8,9.8,129.375,6.238,122.85,187,122,31,10.4,0,1.2,0
2,spring,small,high,8.2,10.68,29.2,2.64,76.667,33.8,275.14301,1.3,15.7,4.6,0,0
3,winter,small,medium,7.6,9.8,40.02,4.459,346.66699,246,152.33299,NA,1.5,0,0,9.7
4,winter,small,high,7.9,4.8,1.549,1.208,27.5,61.182,60,8.1,4.3,0,0,1
5,winter,small,medium,8,5.8,5.273,3.14,27.286,48.667,97.58,10.5,8,0,4.1,7.2
6,spring,medium,medium,9,9,47.778,3.778,155,10,75.207,1.7,1,0,12.6,0
7,spring,medium,medium,8.15,10.3,47.229,0.536,160,55,138.5,3.2,1,1,13.1,0
8,summer,large,medium,8.2,1.5,13,1.39,101.25,44.667,138.7,22.5,7.6,0,0,0
9,winter,medium,high,8.6,6.8,NA,1.32,578,26,104,54.367,5.4,0,0,0
10,spring,medium,high,7.3,10.7,94.405,0.267,178.57001,3.545,262.72699,0.8,8.9,2.9,0,3.9
11,summer,small,high,8.4,10.2,53.333,1.287,58.5,24.667,40.667,0.5,0,1.7,7.9,0
12,summer,small,medium,7.6,11.8,85.982,1.003,18.429,NA,326.85699,50.225,0,0,15.8,7
13,spring,medium,high,7.19,9.8,44,8.984,380,37,50.455,0.8,0,2.2,0,0
14,autumn,small,high,8.21,3.4,10.4,2.231,32.727,57.6,11.8,0.8,15.2,1.4,9.9,2.7
15,spring,large,high,8.3,10.2,51.113,1.921,172.5,13,61.6,50,5,0,1.6,0
16,autumn,medium,high,8.3,11.5,127.833,3.07,14.75,97.333,3,1.1,0,44.6,0,0
17,spring,small,medium,7.78,8,34.5,3.923,39,64,558.75,NA,4.7,0,0,1.2
18,autumn,small,high,8.4,10.4,32.54,3.765,31.333,35.333,23.485,5.233,21.5,1,0,0
19,summer,large,high,8.15,10.6,2.2,1.651,931.83301,1.333,6,2,0,4.3,4.7,0
20,winter,small,medium,NA,10.7,5,2.8,175,2,27.5,2.3,0,1,0,0
21,autumn,small,high,7.8,10.7,3.5,4.825,102.75,467.5,586,4.9,0,5,0,2
22,winter,large,high,8.55,10.7,19.22,0.941,914,111.25,285.71399,17.2,12.7,2.3,33.2,2.1
23,spring,small,medium,8.3,9.6,NA,3.245,49.5,59.429,19,72.478,0,2.2,77.6,0
24,summer,medium,medium,7.2,5.3,50,1.715,25,15.6,287,5.8,0,3.7,6.8,0
25,summer,small,high,7.8,9,63.51,5.13,11.111,21.083,82.444,1.4,8.6,3.5,0,3.4
26,spring,large,high,8.1,10.5,64.093,0.73,165,39,388.16699,3,0,0,0,5.8
27,summer,small,high,7.4,10.8,11.867,4.17,28,61.556,61.444,4.3,21.7,0,2.7,1.5
28,autumn,medium,low,6.8,10,77,1.47,20,9,244,2.7,0,7.8,0,0
29,summer,large,medium,8,7.1,11.818,6.188,101.667,36.3,187.05701,2,5,0,1.4,2.5
30,spring,medium,high,8.5,11.1,36.248,8.543,153.75,12,171.272,0.5,0,0,0,0
31,summer,large,high,7.8,11.5,7,3.33,60,19.111,142,2,21.1,0,0,0
32,winter,small,medium,8.2,6,208.364,0.825,60,132.5,108,92.667,4.6,0,11.1,0
33,summer,small,medium,8.2,13.4,12.146,3.02,124.167,30.75,292.625,21.22,6.7,0,42.7,0
34,winter,large,medium,8.4,10.5,63.625,9.773,89.6,51.111,45,31.738,14.6,1.2,0,0
35,spring,small,medium,8.4,10.2,41.5,0.23,32.5,2,85.4,5.45,13.2,0,0,2.2
36,winter,small,medium,8.7,8.4,64,5.132,82.1,100,44.136,13,0,2.4,0,2.9
37,autumn,large,medium,8.8,7.9,6.167,1.448,142,51.125,279.06601,0.2,0,0,6.7,0
38,autumn,medium,medium,8.7,NA,4.7,3.833,43.75,25.167,361,13.1,1.2,1.1,0,3.2
39,winter,medium,medium,8,9.4,45.273,2.818,65.556,16,116.2,6.209,12.7,3.9,1.5,0
40,spring,small,low,7.8,11.4,12.444,4.555,723.66699,182.42,76.333,NA,2.7,4.9,0,0
41,winter,medium,medium,7.6,11.2,46.167,2.822,3466.65991,13,205.875,0.5,7.4,0,2.2,0
42,autumn,medium,high,8.1,7.1,0.8,3.726,8,151.33299,175.04601,13.2,26.5,0,6.9,0
43,spring,small,low,8.06,8.3,50,7.195,76,34.5,124.2,0.3,9.1,0,0,0
44,spring,small,high,9.5,10.8,3.86,7.83,20,102.333,14.354,4.3,3.1,0,0,0
45,summer,small,low,6.5,6,69.75,3.351,42,6.5,432.909,9.882,0,0,0,0
46,winter,small,medium,8.3,6.2,32.4,0.381,225,78.333,43.5,3.3,1.7,4.4,9.6,0
47,winter,small,low,8,7.1,66.3,0.376,235,16,235.66701,30,41,6.6,16.7,0
48,winter,small,low,7.9,12.6,55.35,1.374,72.6,5,120.889,9.384,0,6.8,0,0
49,summer,medium,low,7.5,8.6,15,3.02,40,151.125,146.452,3.6,12,4.6,42.4,0
50,winter,small,medium,9.1,11.21,17.75,5.456,2167.37012,22.444,20.812,17.491,4.6,0,15.8,0
51,winter,medium,high,8.1,8.1,17.375,9.715,192.5,12.75,391.75,5.609,0,0,0,1.2
52,winter,medium,low,8.35,10.5,11.088,5.33,33.636,60,98.25,2,0,2.4,17.1,1.1
53,spring,medium,high,6.4,11,10.5,2.954,28.333,12.75,7,5.111,7,11,0,1
54,winter,medium,medium,7.9,3.3,20.083,0.91,18.333,NA,57.833,0.8,14.5,0,0,0
55,spring,large,high,7.83,9.9,37.6,0.05,128.571,12.889,6.5,3.2,0,0,0,1.9
56,spring,medium,medium,5.6,4.9,NA,3.14,170.909,209.85699,16,1.1,0,3.4,0,0
57,summer,medium,high,8.58,7.7,7.333,5.078,10,9,10.111,22.7,1.6,0,5.5,0
58,summer,medium,medium,8.4,11.7,6.3,0.642,647.57001,234.5,6,NA,5.4,0,0,2.4
59,spring,medium,high,8.5,9.6,43.97,3.734,345.45499,8.6,127.222,11.7,0,0,8.2,0
60,autumn,small,high,8.1,9.8,NA,8.759,123.333,276.85001,277.33301,4.5,0,2.6,8.7,10.2
61,winter,medium,medium,8.7,8.7,10.975,0.921,46.5,264.89999,20.75,15.6,0,2.1,1.2,1.2
62,winter,small,medium,8.3,10.29,47,1.588,18,28.625,18,NA,3.4,0,0,0
63,winter,medium,medium,7.45,6.6,65.75,3.773,NA,3.333,111.75,5.544,16,0,1.4,1.4
64,winter,small,medium,8.24,8.2,8,1.203,10,564.59998,85,11.1,4.3,0,2.4,1.7
65,summer,large,high,7.8,5.5,4.326,1.474,133.636,26.625,7.2,3.8,0,0,2.6,1.2
66,autumn,small,high,7.7,11.7,2.933,0.63,430,27,317,0.5,0,1.4,0,1.9
67,summer,medium,low,8.22,6.2,3.275,4.93,112.857,1.8,141.83299,0.8,2.1,0,0,0
68,autumn,medium,high,7,9.8,32.056,5.442,486.5,175.66701,140.517,NA,16.4,0,0,16.7
69,winter,medium,medium,8.25,6,4.575,9.248,66.667,18.667,351.60001,0.6,0,7.6,0,1.4
70,winter,small,high,7.5,8.5,39.109,2.304,10,109,84.46,5.2,4.9,0,0,2.9
