1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","spring","medium","high",8,9.8,129.375,6.238,122.85,187,122,31,42.5,10.4,0,0,34.2,1.2,0
"2","spring","small","high",8.2,10.68,29.2,2.64,76.667,33.8,275.14301,1.3,15.1,15.7,0,4.6,15.9,0,0
"4","winter","small","high",7.9,4.8,1.549,1.208,27.5,61.182,60,8.1,16.6,4.3,4.7,0,1.7,0,1
"5","winter","small","medium",8,5.8,5.273,3.14,27.286,48.667,97.58,10.5,24.3,8,6.6,0,1.2,4.1,7.2
"6","spring","medium","medium",9,9,47.778,3.778,155,10,75.207,1.7,13.6,1,0,0,0,12.6,0
"7","spring","medium","medium",8.15,10.3,47.229,0.536,160,55,138.5,3.2,50.4,1,3.2,1,3.9,13.1,0
"8","summer","large","medium",8.2,1.5,13,1.39,101.25,44.667,138.7,22.5,46.6,7.6,3.9,0,15.3,0,0
"10","spring","medium","high",7.3,10.7,94.405,0.267,178.57001,3.545,262.72699,0.8,56.8,8.9,2.7,2.9,0,0,3.9
"11","summer","small","high",8.4,10.2,53.333,1.287,58.5,24.667,40.667,0.5,14.7,0,2.5,1.7,2.9,7.9,0
"13","spring","medium","high",7.19,9.8,44,8.984,380,37,50.455,0.8,43.5,0,7.5,2.2,0,0,0
"14","autumn","small","high",8.21,3.4,10.4,2.231,32.727,57.6,11.8,0.8,89.8,15.2,0,1.4,1.4,9.9,2.7
"15","spring","large","high",8.3,10.2,51.113,1.921,172.5,13,61.6,50,1.9,5,9,0,0,1.6,0
"16","autumn","medium","high",8.3,11.5,127.833,3.07,14.75,97.333,3,1.1,18.3,0,1.7,44.6,4.8,0,0
"18","autumn","small","high",8.4,10.4,32.54,3.765,31.333,35.333,23.485,5.233,0,21.5,0,1,0,0,0
"19","summer","large","high",8.15,10.6,2.2,1.651,931.83301,1.333,6,2,81.9,0,9.9,4.3,0,4.7,0
"21","autumn","small","high",7.8,10.7,3.5,4.825,102.75,467.5,586,4.9,13,0,0,5,4,0,2
"22","winter","large","high",8.55,10.7,19.22,0.941,914,111.25,285.71399,17.2,2.4,12.7,5,2.3,9,33.2,2.1
"24","summer","medium","medium",7.2,5.3,50,1.715,25,15.6,287,5.8,0,0,7,3.7,0,6.8,0
"25","summer","small","high",7.8,9,63.51,5.13,11.111,21.083,82.444,1.4,0,8.6,1.2,3.5,0,0,3.4
"26","spring","large","high",8.1,10.5,64.093,0.73,165,39,388.16699,3,4.1,0,3.3,0,5.9,0,5.8
"27","summer","small","high",7.4,10.8,11.867,4.17,28,61.556,61.444,4.3,69.9,21.7,0,0,1.2,2.7,1.5
"28","autumn","medium","low",6.8,10,77,1.47,20,9,244,2.7,29.7,0,13.5,7.8,2.7,0,0
"29","summer","large","medium",8,7.1,11.818,6.188,101.667,36.3,187.05701,2,31.1,5,19.6,0,5.7,1.4,2.5
"30","spring","medium","high",8.5,11.1,36.248,8.543,153.75,12,171.272,0.5,33.9,0,3.7,0,1,0,0
"31","summer","large","high",7.8,11.5,7,3.33,60,19.111,142,2,3.4,21.1,0,0,7.5,0,0
"32","winter","small","medium",8.2,6,208.364,0.825,60,132.5,108,92.667,1.4,4.6,1,0,4,11.1,0
"33","summer","small","medium",8.2,13.4,12.146,3.02,124.167,30.75,292.625,21.22,0,6.7,25.3,0,8.6,42.7,0
"34","winter","large","medium",8.4,10.5,63.625,9.773,89.6,51.111,45,31.738,1.2,14.6,0,1.2,8.2,0,0
"35","spring","small","medium",8.4,10.2,41.5,0.23,32.5,2,85.4,5.45,0,13.2,4.1,0,0,0,2.2
"36","winter","small","medium",8.7,8.4,64,5.132,82.1,100,44.136,13,7.8,0,0,2.4,0,0,2.9
"37","autumn","large","medium",8.8,7.9,6.167,1.448,142,51.125,279.06601,0.2,0,0,5.6,0,0,6.7,0
"39","winter","medium","medium",8,9.4,45.273,2.818,65.556,16,116.2,6.209,2,12.7,0,3.9,0,1.5,0
"41","winter","medium","medium",7.6,11.2,46.167,2.822,3466.65991,13,205.875,0.5,8.8,7.4,2,0,3.5,2.2,0
"42","autumn","medium","high",8.1,7.1,0.8,3.726,8,151.33299,175.04601,13.2,1.5,26.5,0,0,0,6.9,0
"43","spring","small","low",8.06,8.3,50,7.195,76,34.5,124.2,0.3,32.8,9.1,7.5,0,0,0,0
"44","spring","small","high",9.5,10.8,3.86,7.83,20,102.333,14.354,4.3,1.1,3.1,1,0,0,0,0
"45","summer","small","low",6.5,6,69.75,3.351,42,6.5,432.909,9.882,0,0,2.1,0,3.1,0,0
"46","winter","small","medium",8.3,6.2,32.4,0.381,225,78.333,43.5,3.3,2.2,1.7,1.2,4.4,2.9,9.6,0
"47","winter","small","low",8,7.1,66.3,0.376,235,16,235.66701,30,0,41,1.4,6.6,11.7,16.7,0
"48","winter","small","low",7.9,12.6,55.35,1.374,72.6,5,120.889,9.384,17,0,0,6.8,0,0,0
"49","summer","medium","low",7.5,8.6,15,3.02,40,151.125,146.452,3.6,2.8,12,0,4.6,2.4,42.4,0
"50","winter","small","medium",9.1,11.21,17.75,5.456,2167.37012,22.444,20.812,17.491,14.4,4.6,0,0,15,15.8,0
"51","winter","medium","high",8.1,8.1,17.375,9.715,192.5,12.75,391.75,5.609,0,0,0,0,1.2,0,1.2
"52","winter","medium","low",8.35,10.5,11.088,5.33,33.636,60,98.25,2,24,0,10.3,2.4,5,17.1,1.1
"53","spring","medium","high",6.4,11,10.5,2.954,28.333,12.75,7,5.111,0,7,0,11,1.1,0,1
"55","spring","large","high",7.83,9.9,37.6,0.05,128.571,12.889,6.5,3.2,0,0,2.4,0,0,0,1.9
"57","summer","medium","high",8.58,7.7,7.333,5.078,10,9,10.111,22.7,3.8,1.6,0,0,0,5.5,0
