1)
  season   size  speed mxPH mnO2    Cl   NO3   NH4  oPO4   PO4  Chla   a1   a2   a3  a4   a5  a6
1 winter  small medium   NA  9.4 53.33 3.685  92.0 220.8 320.4  9.88  0.0  0.0 35.1 0.0  9.5 6.7
2 summer  small medium 8.47  4.8 17.75 0.735 153.8  27.0  87.0  2.00  2.0  5.4  4.1 0.0 19.7 1.4
3 winter  large medium 7.09 11.4 22.29 2.310  83.8 104.2  46.4 12.10 35.5 53.6  0.0 0.0  1.0 0.0
4 spring medium   high 8.60 12.0  1.55 4.870  98.2  61.2 130.8  5.80  3.6  0.0 18.9 1.4  0.0 0.0
5 summer  small   high 8.00  9.0  5.27 1.420 233.7  58.2  97.6  5.54 18.9 72.6  0.0 0.0  0.0 8.3
6 summer medium   high 7.19 11.1 48.67 2.102 160.0  10.0  75.2 11.70  2.4  2.6  8.8 4.0  0.0 0.0
   a7
1 7.0
2 0.0
3 9.7
4 0.0
5 1.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,small,medium,NA,9.4,53.333,3.685,92,220.75,320.39999,9.882,0,0,6.7,7
2,summer,small,medium,8.47,4.8,17.75,0.735,153.75,27,86.997,2,5.4,0,1.4,0
3,winter,large,medium,7.09,11.4,22.286,2.31,83.75,104.222,46.438,12.1,53.6,0,0,9.7
4,spring,medium,high,8.6,12,1.549,4.87,98.182,61.182,130.75,5.8,0,1.4,0,0
5,summer,small,high,8,9,5.273,1.42,233.7,58.222,97.58,5.544,72.6,0,8.3,1
6,summer,medium,high,7.19,11.1,48.667,2.102,160,10,75.207,11.7,2.6,4,0,0
7,autumn,medium,medium,8.15,10.3,3,4.665,43.75,46.667,104,13.2,1.9,3.9,16.7,0
8,winter,small,medium,8.7,5.7,5.326,4.86,421.66699,70,236,6.9,1.6,13.4,0,0
9,winter,small,medium,8.4,13.1,47,2.818,18,7.667,391.75,1,2.9,1.7,0,6.6
10,spring,small,high,7.5,1.8,4.575,1.535,244.60001,12.75,121,0.8,1.2,4.9,0,0
11,autumn,small,high,7.8,9.7,38.902,1.287,380,1,558.75,0.8,0,0,0,0
12,summer,small,low,8.3,5.9,31,1.003,102.75,NA,56.667,2,0,2.2,0,1.2
13,winter,small,medium,8.7,8.7,39,1.223,1990.16003,132.5,154.125,0.5,0,0,0,0
14,spring,medium,medium,7.72,3.4,34.5,4.508,8777.59961,44.667,17,93.683,18.4,1,22.9,1
15,summer,large,high,8.2,6,51.113,1.527,46.2,39,61.6,54.367,21.7,0,0,7.2
16,autumn,medium,high,8,10.7,20.625,0.86,14.75,3,6.5,1.4,1.2,1.2,9.9,1
17,spring,small,low,8.8,11.7,66.3,2.443,39,18.667,50,NA,0,0,3.6,1.9
18,autumn,small,high,8.24,11.1,16,5.33,429.20001,120.5,254.60001,0.5,8.6,0,0,3.3
19,winter,medium,medium,9.1,7.7,57.75,0.445,101.25,60,228.364,2,1.7,4.3,6.4,1
20,winter,medium,medium,8.5,10.7,5.889,2.822,51.111,102.364,287,6.8,0,0,0,0
21,autumn,large,high,8.4,9.5,41.25,4.03,18.429,31.333,586,16,16.4,6.8,0,1.4
22,spring,large,medium,8.3,9.2,5.83,1.288,914,15.6,200.231,0.8,3.4,2.2,0,0
23,winter,medium,medium,8.07,8.9,NA,3.245,165,125.667,186.5,7.6,6.7,2.5,0,1.7
24,winter,medium,high,8.1,5.3,69.75,1.715,178.57001,53.625,98.25,3,0,0,1,0
25,autumn,medium,high,7.84,3.3,12.444,0.672,192.5,41.5,11,1.4,5.2,0,0,0
26,spring,medium,medium,8,11.7,44.205,3.976,206.53799,50.889,84.46,4.5,5.6,0,10.1,0
27,winter,large,low,7.8,9.4,11.867,2.304,28,61.556,61.444,1,28,2.9,0,0
28,autumn,small,medium,6.8,10.1,77,1.47,1168,62.625,186,NA,13.2,0,17.1,2.1
29,summer,small,medium,8,5.5,8.69,4.82,96.833,45,60,0.8,15.9,0,0,1.7
30,winter,medium,medium,8.15,12.1,9,0.923,12.5,346.16699,219.909,3.2,0,1.4,9.6,22.1
31,spring,medium,medium,7.8,9.9,35.66,3.33,3466.65991,19.111,142,5.62,0,0,0,7.8
32,spring,large,high,8,3.2,26,3.78,370,144.66701,108,92.667,0,0,0,2.2
33,summer,medium,low,8.06,9.5,20.083,1.051,224.286,35.333,146.452,41,1,0,0,0
34,winter,small,low,8.1,9.9,53,3.829,461.875,7.75,84,6.167,0,0,0,0
35,summer,large,high,8.27,10.2,64,0.996,32.5,34.5,215.5,0.3,40.7,0,3.3,0
36,winter,small,medium,9,10.5,79.077,1.415,217.75,187,87.125,30,7,0,0,0
37,spring,small,high,8.8,10.9,1.17,0.102,40,1.625,125.8,23.8,0,0,6.8,0
38,spring,small,high,8.7,8.2,70,2.942,142,246,11.818,2.7,16,1.1,0,0
39,winter,medium,medium,8.5,10.3,54.143,2.64,65.556,196.62,170,6.209,5,3.7,31.8,3.9
