1)
  season   size  speed mxPH mnO2     Cl  NO3    NH4  oPO4   PO4 Chla   a1   a2   a3  a4  a5   a6
1 winter medium medium 7.80  9.8   1.17 1.52   18.0  1.33 122.0   NA  3.4  0.0  1.1 0.0 0.0  8.5
2 winter medium medium 8.15  8.8  50.00 1.05 1495.0 44.67 558.8  2.0 15.1 15.7 17.6 2.4 1.2  0.0
3 winter  large medium 7.09  9.0  40.02 1.47  371.1  4.25 244.0  3.0 46.6  0.0  0.0 0.0 0.0  0.0
4 winter  small medium 8.00  4.8  10.21 3.68  271.2 61.18  56.7  0.3 69.9  0.0 18.9 0.0 1.7  6.4
5 winter  small medium 8.10 11.4 127.83 1.22  103.0  3.80  76.3 10.5  0.0  2.9  0.0 0.0 9.9  0.0
6 spring  small   high 8.10 10.0  54.14 3.78   58.5 13.00 194.1 28.4 64.9 11.3  0.0 4.0 0.0 12.6
   a7
1 0.0
2 0.0
3 5.2
4 0.0
5 2.4
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,medium,7.8,9.8,1.17,1.519,18,1.333,122,NA,0,0,8.5,0
2,winter,medium,medium,8.15,8.8,50,1.051,1495,44.667,558.75,2,15.7,2.4,0,0
3,winter,large,medium,7.09,9,40.02,1.47,371.11099,4.25,244,3,0,0,0,5.2
4,winter,small,medium,8,4.8,10.207,3.678,271.25,61.182,56.667,0.3,0,0,6.4,0
5,winter,small,medium,8.1,11.4,127.833,1.223,103,3.8,76.333,10.5,2.9,0,0,2.4
6,spring,small,high,8.1,10,54.143,3.778,58.5,13,194.10001,28.4,11.3,4,12.6,0
7,winter,small,medium,NA,7,47.229,6.096,110,8.6,138.5,98.817,0,0,0,0
8,spring,large,medium,8.2,11.5,53,5.33,20,7.3,60,3.5,4.1,0,1.2,0
9,autumn,medium,medium,8.6,6.3,61.05,2.323,27.069,2.5,10.75,10,5.4,4.8,0,0
10,winter,medium,medium,8.2,11.8,136,1.39,123.333,8.692,61.5,5.609,0,0,0,3.9
11,autumn,small,medium,7.83,10.2,NA,1.287,380,12.75,40.667,2.338,38.5,12.7,0,0
12,summer,small,high,8.3,12,16,1.003,18.429,NA,14.354,1,0,0,0,0
13,summer,medium,low,8.7,9.6,22.32,0.825,10,32.5,213,17.2,0,7.8,29.5,0
14,winter,small,high,8.7,6.5,77.364,5.164,10,57.6,17,68.05,1.4,1,22.9,2.2
15,summer,large,low,8,9.6,51.113,1.588,118.571,6,75.207,0.8,0,11.3,16.6,0
