1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"2","winter","medium","medium",8.15,8.8,50,1.051,1495,44.667,558.75,2,15.1,15.7,17.6,2.4,1.2,0,0
"3","winter","large","medium",7.09,9,40.02,1.47,371.11099,4.25,244,3,46.6,0,0,0,0,0,5.2
"4","winter","small","medium",8,4.8,10.207,3.678,271.25,61.182,56.667,0.3,69.9,0,18.9,0,1.7,6.4,0
"5","winter","small","medium",8.1,11.4,127.833,1.223,103,3.8,76.333,10.5,0,2.9,0,0,9.9,0,2.4
"6","spring","small","high",8.1,10,54.143,3.778,58.5,13,194.10001,28.4,64.9,11.3,0,4,0,12.6,0
"8","spring","large","medium",8.2,11.5,53,5.33,20,7.3,60,3.5,17,4.1,3.9,0,0,1.2,0
"9","autumn","medium","medium",8.6,6.3,61.05,2.323,27.069,2.5,10.75,10,2.2,5.4,1.7,4.8,0,0,0
"10","winter","medium","medium",8.2,11.8,136,1.39,123.333,8.692,61.5,5.609,5.3,0,1,0,6.7,0,3.9
"13","summer","medium","low",8.7,9.6,22.32,0.825,10,32.5,213,17.2,6.5,0,0,7.8,1.2,29.5,0
"14","winter","small","high",8.7,6.5,77.364,5.164,10,57.6,17,68.05,1.7,1.4,0,1,1.9,22.9,2.2
"15","summer","large","low",8,9.6,51.113,1.588,118.571,6,75.207,0.8,64.2,0,9,11.3,0,16.6,0
"18","spring","large","high",7.9,11.3,30.125,1.443,27.5,10.667,120.889,1.4,1.7,0,10.3,1.9,7.7,17,18.6
"19","spring","large","medium",8.4,6.8,12,0.658,24064,60,23.485,2,81.9,4.3,19.5,4.3,1.2,0,0
"21","autumn","large","high",5.7,10.7,57.75,4.825,37.778,22.2,177.625,2.3,32.5,0,1.6,1,44.4,0,1.4
"22","summer","small","low",8.1,9.2,12.778,0.735,17.778,15.6,170,4.3,20.3,1,0,2.3,13.3,0,1.1
"23","autumn","small","medium",7.44,7.7,5.83,4.86,178.57001,38.625,85.4,7.6,13.6,5.2,0,1.9,27.6,42.7,0
"24","spring","small","low",8.1,5.3,50,3.02,208.33299,428.75,265.25,1.7,5.9,0,1,0,22.1,0,0
"25","spring","small","low",7.84,10.8,63.51,8.759,11.111,41.5,40,0.5,82.7,2.1,1.2,3.5,0,0,3.4
"26","spring","small","high",7.4,6.2,82.852,3.14,165,9,175.04601,0.8,29.5,0,8.8,0,5.9,1.8,0
"27","winter","large","high",8.7,8.4,187.183,2.304,931.83301,48.625,50.455,2,23.2,0,0,0,0,0,0
"29","winter","small","medium",8,5.5,10.936,3.908,46.5,48.667,75.333,0.8,31.1,32.8,1,0,0,0,2.4
"30","winter","medium","medium",6.6,8.2,9,0.376,120,104.222,6.75,54.367,33.9,25.4,14.6,0,0,42.1,3.6
"31","winter","medium","high",7.8,9.3,8.3,3.33,60,4,142,0.6,58.7,2.1,2.5,4.3,8,0,5.8
"32","autumn","medium","high",8.1,10.3,30.523,2.68,84.667,9.667,607.16699,5.5,3.3,12.7,4.7,1.7,4,1.5,2.7
"33","winter","small","high",8.1,6,11.088,3.976,124.167,144.66701,102.571,21.22,0,0,24.8,0,3.4,0,1
"34","spring","small","medium",8.4,9.4,1.549,1.172,32.727,3,253.25,31.738,3.6,0,0,6.8,2.6,0,0
"35","winter","medium","low",8.4,10.1,41.5,7.16,128.571,120.5,72.9,6.209,12.7,14.5,11.8,4,17.9,3.3,0
"36","winter","small","medium",8.5,11,44,0.381,430,221.89999,432.909,13,0,0,0,3.7,0,0,1
"37","spring","large","medium",7.77,10.9,41.163,1.921,142,1.625,146.452,3.2,3.3,19.6,10.2,1.2,5.5,6.7,0
"38","summer","medium","medium",7.925,8.2,26.76,10.416,122.5,2.5,200.231,9.882,12.6,28,3.3,1.1,1.9,0,1.4
"39","autumn","large","high",8.1,9.8,129.375,3.316,65.556,64.389,249.25,5.45,1.9,17.1,0,0,2.9,0,7.8
"40","winter","small","medium",7.57,9.2,56.717,3.351,224.286,182.42,21.3,11.6,19.4,2.7,3.9,0,4,0,1.7
"41","autumn","small","low",8,10.7,26,5.132,102.75,16.833,19,3.7,13,5.9,21.9,0,8,0,2.7
"42","spring","small","high",7.91,10,53.102,0.923,33.636,31.333,232.83299,4.5,0,21.7,23.2,0,3.2,18.2,1.6
"43","winter","large","high",7.9,10.77,20.083,2.954,12.727,2,17.333,18.37,17,40.9,3.1,0,0,0,0
"44","spring","medium","high",8.06,8.8,173.75,3.978,51.429,37.857,326.85699,13.1,4.1,3.1,1,0,0,0,5.9
"45","winter","small","low",8.3,4.3,69.75,0.886,42,27,105.727,6.4,2.4,0,3.7,0,0,32.9,4.2
"47","winter","small","high",8.87,8.3,95.367,4.82,176.66701,18.25,7,6.8,0,12.7,1.2,6.6,0,1.5,0
"49","spring","small","high",7.3,8.6,23.825,3.02,40,2,130.75,1.4,1.2,0,3.3,1.2,0,1.6,0
"50","winter","large","medium",7.9,9.7,17.75,1.655,370,16,287,12.1,1.4,22,0,0,7.5,22.3,0
