1)
  season   size  speed mxPH mnO2     Cl   NO3    NH4  oPO4   PO4  Chla   a1   a2   a3  a4   a5   a6
1 autumn medium medium  8.0  9.8  41.16 0.996  153.8  12.8 122.0  4.30  5.7  4.7  0.0 0.0 34.2 15.7
2 autumn medium medium  8.1  6.0  29.20 1.288 1495.0  33.8 317.0 28.40 15.1 15.7  3.2 2.4  9.4  4.5
3 spring  small   high  7.9  9.9  22.32 5.330   60.0 246.0  54.9  4.67 12.6 14.6  0.0 0.0  0.0  0.0
4 spring medium medium  7.8  6.8   1.55 3.833   98.2 105.0 252.5  4.00 39.1  0.0 18.9 3.7  1.7  1.4
5 autumn medium medium  8.0  9.0 391.50 1.420  578.0  27.7  97.6  6.17 55.5  0.0  5.0 2.0  0.0  0.0
6 winter medium   high  6.6 10.0  17.38 8.688   10.0  19.1  75.2  1.30  1.2 11.3  0.0 0.0  0.0  0.0
   a7
1 2.3
2 0.0
3 9.7
4 0.0
5 1.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,medium,medium,8,9.8,41.163,0.996,153.75,12.75,122,4.3,4.7,0,15.7,2.3
2,autumn,medium,medium,8.1,6,29.2,1.288,1495,33.8,317,28.4,15.7,2.4,4.5,0
3,spring,small,high,7.9,9.9,22.32,5.33,60,246,54.916,4.667,14.6,0,0,9.7
4,spring,medium,medium,7.8,6.8,1.549,3.833,98.182,105,252.5,4,0,3.7,1.4,0
5,autumn,medium,medium,8,9,391.5,1.42,578,27.667,97.58,6.167,0,2,0,1
6,winter,medium,high,6.6,10,17.375,8.688,10,19.111,75.207,1.3,11.3,0,0,0
7,summer,small,low,8.15,11.1,47.229,1.527,271.25,51.111,138.5,3.3,18.4,3.9,0,0
8,summer,small,medium,8.43,10.6,94,3.33,1168,44.667,432.909,6.9,0,0,8.3,1
9,autumn,medium,medium,8.6,7.8,26.76,1.335,72.6,26,77.434,22.5,0,6.9,7.9,0
10,summer,medium,high,7.3,5.7,40.226,0.825,178.57001,8.692,46.438,0.9,38.8,1.2,0,0
11,autumn,small,high,7.93,9.6,53.333,1.287,380,12.75,14.354,0.8,0,4.1,0,0
12,summer,small,low,8.5,10.1,9,1.003,34,1.625,187.05701,1,2.6,4.9,0,0
13,winter,small,high,7.74,7.4,7.613,1.223,172.5,36,213,17.2,0,7.8,0,6.8
14,summer,medium,medium,7.72,11.7,48.429,5.132,10,64,351.60001,3,0,0,22.9,2.7
15,winter,medium,medium,7.9,9.6,51.113,0.376,25.833,26.625,304,2,5.8,0,12.4,0
16,spring,small,high,8.1,11.5,4.7,4.698,14.75,97.333,98.25,1.1,0,0,0,1.6
17,winter,small,low,8,11.1,42.636,3.444,647.57001,18.667,173.75,2,14.5,7.6,9.9,0
18,winter,small,medium,7.84,10.4,32.54,1.443,103.333,35.333,11.818,4.3,21.5,0,4.1,3.2
19,winter,medium,low,7.4,9.9,29.775,0.445,217.75,16,27.5,3.9,0,4.3,0,1.7
20,summer,medium,high,8.05,6,53,0.673,245,13,287,3,0,0,0,1.2
21,winter,small,medium,8.06,10.7,3.5,0.658,3466.65991,467.5,123.333,NA,0,2.1,11.5,1.4
22,spring,small,medium,7.5,9.2,50,2.443,161.81799,55,285.71399,0.8,3.8,2.3,1.2,0
23,spring,small,medium,8,9.8,63.625,0.63,196.66701,125.667,18,21.22,3.9,0,52.5,3.3
24,spring,small,high,8.4,8.1,50,1.715,10,53.625,87.125,0.2,4.6,0,0,16.7
25,summer,medium,low,7.91,6.5,NA,5.13,11.111,41.5,142,NA,8.6,0,0,2.5
26,spring,small,high,8.55,10.3,104.818,6.238,165,151.33299,167.89999,14.7,0,0,0,0
27,autumn,large,low,7.4,8.4,69,2.304,92.375,100,61.444,20.578,0,0,0,0
28,summer,small,medium,8.7,12.1,77,2.805,20,24.667,NA,75,20.6,0,0,0
29,winter,small,high,8,9.8,8.69,5.442,20,236.39999,NA,50,1.4,0,12.6,0
30,summer,medium,high,7.19,11.1,9,1.572,92,12,127,13,0,0,42.1,3.6
31,spring,medium,high,7.8,9.6,49.9,0.941,3515,564.59998,86.997,5.555,36.6,0,0,7.8
32,summer,small,low,8.5,10.3,57.75,3.78,51.111,39,108,92.667,1.9,3.7,0,2.2
33,autumn,large,high,7.4,9.5,10.078,3.02,142,31.333,102.571,7.6,2.9,11.5,42.7,1.2
34,summer,small,medium,7.57,10.5,2.75,1.172,88.182,2,284,15,9.1,1.7,1.5,0
35,winter,large,medium,8.27,6.7,8,1.448,32.5,34.5,4,5.45,12.7,0,2.4,2.2
36,autumn,small,medium,8.7,8.2,40.167,0.381,10,187,16.662,68.05,0,0,0,0
37,autumn,small,high,7.9,10.9,26,0.886,124.167,220.75,115,1.7,0,0,0,0
