1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","medium","medium",8,9.8,41.163,0.996,153.75,12.75,122,4.3,5.7,4.7,0,0,34.2,15.7,2.3
"2","autumn","medium","medium",8.1,6,29.2,1.288,1495,33.8,317,28.4,15.1,15.7,3.2,2.4,9.4,4.5,0
"3","spring","small","high",7.9,9.9,22.32,5.33,60,246,54.916,4.667,12.6,14.6,0,0,0,0,9.7
"4","spring","medium","medium",7.8,6.8,1.549,3.833,98.182,105,252.5,4,39.1,0,18.9,3.7,1.7,1.4,0
"5","autumn","medium","medium",8,9,391.5,1.42,578,27.667,97.58,6.167,55.5,0,5,2,0,0,1
"6","winter","medium","high",6.6,10,17.375,8.688,10,19.111,75.207,1.3,1.2,11.3,0,0,0,0,0
"7","summer","small","low",8.15,11.1,47.229,1.527,271.25,51.111,138.5,3.3,1.4,18.4,4.1,3.9,5.8,0,0
"8","summer","small","medium",8.43,10.6,94,3.33,1168,44.667,432.909,6.9,12.3,0,3.9,0,15.3,8.3,1
"9","autumn","medium","medium",8.6,7.8,26.76,1.335,72.6,26,77.434,22.5,50.6,0,22,6.9,5.9,7.9,0
"10","summer","medium","high",7.3,5.7,40.226,0.825,178.57001,8.692,46.438,0.9,17,38.8,0,1.2,0,0,0
"11","autumn","small","high",7.93,9.6,53.333,1.287,380,12.75,14.354,0.8,14.7,0,0,4.1,0,0,0
"12","summer","small","low",8.5,10.1,9,1.003,34,1.625,187.05701,1,46.9,2.6,0,4.9,0,0,0
"13","winter","small","high",7.74,7.4,7.613,1.223,172.5,36,213,17.2,15.5,0,0,7.8,1,0,6.8
"14","summer","medium","medium",7.72,11.7,48.429,5.132,10,64,351.60001,3,0,0,0,0,1.2,22.9,2.7
"15","winter","medium","medium",7.9,9.6,51.113,0.376,25.833,26.625,304,2,1.9,5.8,9,0,11.5,12.4,0
"16","spring","small","high",8.1,11.5,4.7,4.698,14.75,97.333,98.25,1.1,39.7,0,1.7,0,3.9,0,1.6
"17","winter","small","low",8,11.1,42.636,3.444,647.57001,18.667,173.75,2,13.6,14.5,1.7,7.6,11.2,9.9,0
"18","winter","small","medium",7.84,10.4,32.54,1.443,103.333,35.333,11.818,4.3,1.7,21.5,0,0,0,4.1,3.2
"19","winter","medium","low",7.4,9.9,29.775,0.445,217.75,16,27.5,3.9,81.9,0,9.9,4.3,0,0,1.7
"20","summer","medium","high",8.05,6,53,0.673,245,13,287,3,3.8,0,2.4,0,10.6,0,1.2
"22","spring","small","medium",7.5,9.2,50,2.443,161.81799,55,285.71399,0.8,3.1,3.8,0,2.3,22.5,1.2,0
"23","spring","small","medium",8,9.8,63.625,0.63,196.66701,125.667,18,21.22,30.3,3.9,0,0,27.6,52.5,3.3
"24","spring","small","high",8.4,8.1,50,1.715,10,53.625,87.125,0.2,31.1,4.6,1.4,0,0,0,16.7
"26","spring","small","high",8.55,10.3,104.818,6.238,165,151.33299,167.89999,14.7,0,0,8.8,0,0,0,0
"27","autumn","large","low",7.4,8.4,69,2.304,92.375,100,61.444,20.578,35.5,0,0,0,0,0,0
"30","summer","medium","high",7.19,11.1,9,1.572,92,12,127,13,33.9,0,42.8,0,2.4,42.1,3.6
"31","spring","medium","high",7.8,9.6,49.9,0.941,3515,564.59998,86.997,5.555,3.4,36.6,0,0,7.5,0,7.8
"32","summer","small","low",8.5,10.3,57.75,3.78,51.111,39,108,92.667,1.7,1.9,1.9,3.7,5.7,0,2.2
"33","autumn","large","high",7.4,9.5,10.078,3.02,142,31.333,102.571,7.6,3.6,2.9,1.9,11.5,0,42.7,1.2
"34","summer","small","medium",7.57,10.5,2.75,1.172,88.182,2,284,15,46.2,9.1,0,1.7,4,1.5,0
"35","winter","large","medium",8.27,6.7,8,1.448,32.5,34.5,4,5.45,5.3,12.7,1.2,0,0,2.4,2.2
"36","autumn","small","medium",8.7,8.2,40.167,0.381,10,187,16.662,68.05,18.3,0,3.9,0,11.5,0,0
"37","autumn","small","high",7.9,10.9,26,0.886,124.167,220.75,115,1.7,0,0,21.7,0,6.1,0,0
"38","summer","medium","medium",8.7,5.3,12.536,10.416,43.75,2.5,269.66699,9.882,5.9,41,3.7,0,0,4.7,0
"39","winter","small","high",8.3,9.7,5.83,3.02,39,196.62,6,3.7,4,12.7,0,12.7,0,31.8,0
"40","winter","small","medium",8.4,10.5,41.25,3.351,228.75,234.5,3,6.8,0,2.7,0,0,44.4,0,0
"41","winter","small","medium",9.7,11.2,53.102,6.096,102.75,180.66701,205.875,5.111,0,5.5,1,1.2,5.5,0,0
"42","spring","medium","high",8.7,7.1,54.19,0.923,10,2,175.04601,13.2,0,0,0,1.4,0,0,0
"43","winter","small","high",5.7,10.8,7.838,2.954,429.20001,10.583,45,22.5,12.7,22,0,0,0,0,1.9
"45","summer","medium","low",8.8,7.9,69.75,4.555,42,6.5,235.66701,24.556,39.7,0,1,4,1.2,0,0
"46","winter","large","high",8.16,12.5,4.326,6.188,128.571,50.889,82.444,0.8,29.5,1.5,1.4,3.2,2.5,0,0
"47","spring","small","medium",8.07,7.1,66.3,3.316,65.556,16,17.333,0.5,4.1,40.7,1.4,3.5,0,2,0
"48","winter","small","medium",7.6,12.6,5.273,5.456,18,7.4,56.091,2.1,1.9,0,1,1.7,0,0,0
"49","spring","small","low",8.53,7.3,46.167,0.23,430,49,58.374,1.4,1.1,16.4,0,1.2,0,6.2,1.4
"51","winter","medium","high",7.14,8.1,38.125,1.655,15,64.389,344.60001,41,25.4,0,3.1,0,8.2,0,1.4
"52","summer","small","medium",8.66,10.6,7,0.05,33.636,45.9,361,4.5,24,0,10.3,1.8,5.4,2.2,0
"53","spring","large","medium",7.8,11,5,5.099,137.27299,37.375,72.9,0.5,24.3,12.7,0,0,7.7,0,4.9
"54","winter","large","medium",8.5,9,6.167,0.91,1081.66003,4,17,0.8,7.8,0,11.5,0,2.7,64.6,0
"59","spring","medium","high",8.7,11.4,43.97,3.414,345.45499,2,75.333,0.8,0,0,25.3,3.5,1.2,9.6,0
"61","spring","medium","medium",8.7,10.53,59.067,2.316,46.5,1,13.2,15.6,2.2,1.7,0,0,0,0,0
"63","winter","small","high",8.5,4.9,187.183,3.773,22.5,3.333,111.75,2.9,0,0,6.6,0,0,33.2,3.9
"64","winter","medium","high",8.2,8.1,39,1.203,1911,175.66701,214,4.5,32.1,7.6,24.8,0,2.1,3.3,1.4
"65","autumn","large","high",7.6,7.6,77.364,0.642,160,36.3,272.22198,65.7,15.8,0,21.9,0,6.1,0,0
"66","spring","small","medium",7.44,11.7,3.136,3.829,17.778,1.333,75.904,6.209,0,21.7,1.7,0,5,1.6,1.4
"67","summer","small","low",8.3,10.7,10.5,4.508,246.364,4,7,0.8,2.9,11.6,14.6,5.3,12.4,0,3.9
"69","winter","small","medium",8.2,6.35,41.5,2.302,134,5,34,1,0,1.2,1.5,44.6,0,0,1
"70","winter","small","high",8,7.6,32.92,4.053,155,61.182,388.16699,1,0,4.9,0,3,0,0,0
"72","summer","medium","low",7.4,10.5,22.455,3.07,2167.37012,4,104,5.2,0,0,0,1.2,13.3,13.2,6
"73","summer","small","medium",8.43,10.1,11.867,9.08,5.8,16,72.696,11.7,2.4,14.7,5,0,0,21.4,0
"75","autumn","medium","high",7.45,10.4,129.375,1.587,176.66701,61.556,52.875,3,0,0,2.9,0,0,0,0
"76","autumn","medium","high",8.5,9.4,125.6,2.512,13.5,39,116.2,28.567,14.4,9.6,0,1,6.6,13.1,0
