1)
  season   size  speed mxPH mnO2    Cl  NO3    NH4  oPO4   PO4 Chla   a1   a2   a3  a4   a5  a6
1 autumn  small    low 8.90  8.4 57.75 6.24   32.0 105.0  77.4  0.8 47.1  4.7  0.0 0.0 34.2 8.3
2 summer  small medium 8.50 11.1 29.20 4.55 2082.9  33.8  72.7  1.3 50.6 15.7  4.1 0.0  0.0 0.0
3 autumn medium    low 7.60 11.4 40.02 5.46 1386.2 246.0  46.4   NA  3.3 16.0  0.0 0.0  5.6 0.0
4 winter  small medium 8.06  6.0  1.55 4.03   43.8  61.2 138.7  0.3 82.7 17.1  1.7 6.9  1.7 0.0
5 autumn  small medium 8.15  9.0  5.27 3.90  233.7  58.2 116.2  0.8  0.0  2.1 13.6 1.0  1.2 0.0
6 spring medium medium 7.19  1.8 47.78 1.37 2167.4    NA 200.2 28.4  4.1  0.0  0.0 0.0  0.0 0.0
    a7
1  3.2
2  0.0
3 10.2
4  2.9
5  2.7
6  0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,small,low,8.9,8.4,57.75,6.238,32,105,77.434,0.8,4.7,0,8.3,3.2
2,summer,small,medium,8.5,11.1,29.2,4.555,2082.8501,33.8,72.696,1.3,15.7,0,0,0
3,autumn,medium,low,7.6,11.4,40.02,5.456,1386.25,246,46.438,NA,16,0,0,10.2
4,winter,small,medium,8.06,6,1.549,4.03,43.75,61.182,138.7,0.3,17.1,6.9,0,2.9
5,autumn,small,medium,8.15,9,5.273,3.9,233.7,58.222,116.2,0.8,2.1,1,0,2.7
6,spring,medium,medium,7.19,1.8,47.778,1.374,2167.37012,NA,200.231,28.4,0,0,0,0
7,summer,medium,low,8.15,10.6,32.54,1.527,42,26.625,6.2,3.2,26.5,0,0,0
8,spring,small,medium,7.9,11.7,4.545,4.99,33.636,44.667,60,2,14.6,0,0,1.4
9,autumn,small,medium,8.1,7.8,10.078,3.14,920,51.111,104,NA,5.4,0,0,0
10,winter,medium,high,7.9,9.9,29.5,1.72,58.5,8.692,40.667,0.8,0,3.5,0,3.9
11,autumn,medium,high,8.1,10.2,63.625,2.805,27.5,3.545,14,0.8,0,0,0,0
12,spring,medium,medium,6.5,10.7,51.113,1.003,18.429,NA,89.625,34.75,4.6,0,1.5,0
13,autumn,medium,low,8.55,5.3,38.125,0.23,217.75,23,102.333,17.2,0,1.2,0,0
14,summer,small,medium,7.72,10.77,77.364,8.759,10,50.889,219.909,12.32,6.4,0,0,2.7
15,summer,small,high,8,9.6,7.838,2.443,46.2,13,61.6,3.3,5,0,0,0
16,autumn,medium,high,7.55,11.5,15,3.07,14.75,97.333,102.571,1.1,7.5,0,0,0
17,winter,large,low,6.6,8,64.093,3.316,39,2,50,22.9,12.7,0,6.8,1.2
18,autumn,small,high,8,9.6,56.717,8.688,103.333,35.333,7,3.1,14.7,1.9,13.2,0
19,autumn,small,high,8.1,6.8,29.775,0.13,137.27299,60,27.5,2,13.7,0,0,1
20,summer,medium,medium,8.5,9.3,5,5.97,245,25.167,388.16699,6.8,0,4.6,0,1.4
21,winter,large,medium,8,3.4,13,0.923,13.5,196.62,3,16,4.1,6.8,11.5,0
22,winter,small,high,8.3,10.7,13.5,3.351,8777.59961,47.5,285.71399,0.5,0,2.3,0,0
23,winter,large,medium,7.9,12.1,48.429,3.245,27.286,125.667,116.2,NA,0,2.2,0,0
24,spring,large,high,7.09,7.1,12.146,1.715,103.333,53.625,87.125,11.1,0,3.7,17.1,0
25,spring,small,medium,7.4,3.3,NA,5.13,37.778,16.833,232.89999,1.4,8.6,1.4,6.8,6
26,spring,small,medium,8.5,6.5,87,2.822,34.333,182.42,13.6,4.5,0,0,0,10.8
27,spring,large,high,7.4,12.5,127.833,1.328,28,61.556,175.04601,41,7.3,4.9,7.1,0
28,winter,small,medium,8.3,11.7,41.25,4.82,430,9,NA,21,21.7,0,0,0
29,winter,large,high,8,5.5,173.75,0.461,20,36.3,121,20.87,0,0,0,0
30,autumn,medium,medium,7.83,7,23.25,8.543,153.75,12,58.374,3,0,3.9,42.1,1.9
31,winter,medium,medium,8,9.7,65.333,3.765,101.667,27,142,3,16,2.7,0,7.8
32,summer,small,high,7.5,9.8,26,6.513,52.2,261.60001,127,20.578,12.7,0,11.1,2.2
33,summer,medium,low,8.3,11.8,69.75,4.87,109,120.5,98.25,2.7,1,4,0,0
34,spring,small,high,8.5,9.4,12.444,1.172,461.875,54.1,20.75,31.738,9.1,0,0,1.4
35,spring,small,high,8.27,6.7,40.226,4.408,65.455,10.583,183.66701,5.45,40.7,2.6,49.4,1.9
36,winter,large,medium,8.7,8.4,9,0.381,380,187,44.136,2.15,21.6,0,0,1
37,autumn,medium,high,8.8,10.9,1.17,0.9,128.571,13,146.452,2.338,0,0,0,2.1
38,winter,small,medium,8.58,9.4,5.326,6.2,27.069,2.5,91.111,26.8,1.7,0,0,0
39,autumn,medium,low,8.21,11.7,54.143,2.22,65.556,467.5,138.5,6.209,0,1.7,4.1,0
40,winter,small,high,8.4,10.5,22.286,2.316,228.75,166.72701,18,17.2,2.7,1,0,0
41,winter,medium,low,7.84,6.1,41.5,2.512,102.75,66.4,49.333,3,31.9,0,0,0
42,autumn,medium,high,8.8,9.6,54.19,4.825,49,36.909,4,3.9,0,11.3,31.8,0
43,autumn,large,low,8.3,8.3,50,2.8,46.5,2,124.2,NA,5.6,0,1.5,0
44,spring,small,high,7.3,11.62,8.69,7.83,24064,137.60001,326.85699,11.84,25.4,0,7.9,0
45,winter,large,high,8.3,11.1,4.083,1.42,235,38.75,57.833,11.7,0,0,0,1.4
46,winter,large,high,8.3,9.4,10.5,1.587,643,3.8,558.75,3.3,0,1.7,0,0
47,spring,medium,medium,7.925,10.1,69,1.288,35,19.727,292.625,13.1,12,4.8,0,7
48,winter,small,high,NA,12.6,44,3.778,72.6,5,50.455,5.083,0,0,0,0
49,summer,medium,medium,8,8.6,32.3,3.833,40,7.4,279.06601,0.5,0,8.3,1.8,1.9
50,autumn,small,medium,8.1,11.6,17.75,0.735,49.5,191.75,11,98.817,0,0,4.5,0
51,spring,medium,high,8.7,11.1,22.35,0.921,105.556,267.75,6,NA,0,0,1.6,0
52,summer,medium,medium,8.66,11.9,30.125,4.459,429.20001,12.75,97.58,4.5,8.7,2.2,32.1,0
53,spring,medium,high,9.1,11,55.35,1.223,60.11,220.75,34,5.62,3.1,0,0,0
54,summer,small,high,7.2,9,70,0.91,60,34.5,140.22,7.9,0,0,0,0
55,winter,medium,high,8.3,9.2,53.102,0.05,10.5,1.25,296,NA,0,0,17.2,0
56,winter,small,medium,7.7,4.9,7,5.694,5,180.66701,169.00101,1.1,0,0,0,0
57,summer,small,medium,6.6,7.7,34.037,1.32,125.333,32.5,35.2,NA,1.4,1,0,1.4
58,winter,large,high,9.1,9,57.848,0.642,3466.65991,12.889,6,2.3,1.7,0,0,0
59,summer,medium,high,8,5.8,43.97,1.474,345.45499,78.333,173.75,1.5,1.9,0,15.8,0
