1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","small","low",8.9,8.4,57.75,6.238,32,105,77.434,0.8,47.1,4.7,0,0,34.2,8.3,3.2
"2","summer","small","medium",8.5,11.1,29.2,4.555,2082.8501,33.8,72.696,1.3,50.6,15.7,4.1,0,0,0,0
"4","winter","small","medium",8.06,6,1.549,4.03,43.75,61.182,138.7,0.3,82.7,17.1,1.7,6.9,1.7,0,2.9
"5","autumn","small","medium",8.15,9,5.273,3.9,233.7,58.222,116.2,0.8,0,2.1,13.6,1,1.2,0,2.7
"7","summer","medium","low",8.15,10.6,32.54,1.527,42,26.625,6.2,3.2,16.8,26.5,3.7,0,5.8,0,0
"8","spring","small","medium",7.9,11.7,4.545,4.99,33.636,44.667,60,2,0,14.6,13.5,0,0,0,1.4
"10","winter","medium","high",7.9,9.9,29.5,1.72,58.5,8.692,40.667,0.8,3.3,0,1,3.5,3.9,0,3.9
"11","autumn","medium","high",8.1,10.2,63.625,2.805,27.5,3.545,14,0.8,14.7,0,0,0,2.9,0,0
"13","autumn","medium","low",8.55,5.3,38.125,0.23,217.75,23,102.333,17.2,4.2,0,10.8,1.2,9.5,0,0
"14","summer","small","medium",7.72,10.77,77.364,8.759,10,50.889,219.909,12.32,0,6.4,0,0,0,0,2.7
"15","summer","small","high",8,9.6,7.838,2.443,46.2,13,61.6,3.3,1.6,5,0,0,4.1,0,0
"16","autumn","medium","high",7.55,11.5,15,3.07,14.75,97.333,102.571,1.1,0,7.5,3.3,0,7.3,0,0
"17","winter","large","low",6.6,8,64.093,3.316,39,2,50,22.9,46.2,12.7,1.7,0,10.2,6.8,1.2
"18","autumn","small","high",8,9.6,56.717,8.688,103.333,35.333,7,3.1,1.7,14.7,5.5,1.9,0,13.2,0
"19","autumn","small","high",8.1,6.8,29.775,0.13,137.27299,60,27.5,2,81.9,13.7,24.8,0,7.7,0,1
"20","summer","medium","medium",8.5,9.3,5,5.97,245,25.167,388.16699,6.8,35.5,0,0,4.6,2.4,0,1.4
"21","winter","large","medium",8,3.4,13,0.923,13.5,196.62,3,16,0,4.1,0,6.8,1.2,11.5,0
"22","winter","small","high",8.3,10.7,13.5,3.351,8777.59961,47.5,285.71399,0.5,41,0,2.4,2.3,0,0,0
"24","spring","large","high",7.09,7.1,12.146,1.715,103.333,53.625,87.125,11.1,0,0,1,3.7,0,17.1,0
"26","spring","small","medium",8.5,6.5,87,2.822,34.333,182.42,13.6,4.5,4.1,0,8.8,0,6.6,0,10.8
"27","spring","large","high",7.4,12.5,127.833,1.328,28,61.556,175.04601,41,69.9,7.3,0,4.9,0,7.1,0
"29","winter","large","high",8,5.5,173.75,0.461,20,36.3,121,20.87,31.1,0,1,0,0,0,0
