1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","spring","large","medium",8.4,9.4,9,6.238,5.8,105,102.333,0.4,0,4.7,0,2.2,27.6,0,0
"2","spring","medium","medium",9,12,29.2,1.288,578,221.89999,558.75,1.3,2.2,12.7,6.1,1,0,0,4.9
"3","autumn","large","low",8.8,10.8,40.226,5.099,146.66701,246,222.286,0.8,2.5,0,0,0,0,0,1.9
"4","spring","medium","medium",8.5,12.6,13,8.759,1990.16003,33.8,60,0.3,1.7,5,18.9,0,0,0,0
"5","winter","small","medium",8,10.4,20.625,1.42,10,3.222,97.58,3.7,55.5,2.9,2.2,0,0,4.1,0
"6","winter","small","high",7.8,11.2,47.778,0.701,58.5,16,75.207,2,3.3,3.4,1,4.4,1.4,52.5,0
"7","summer","small","low",8.15,5.9,53,1.651,217.75,67.5,13.2,88.255,0,0,0,1.2,8.9,9.6,0
"8","autumn","large","medium",8.2,10.6,131.39999,6.188,120,44.667,138.7,6.9,0,4.1,3.9,0,5.2,0,1
"9","winter","small","medium",8.1,11.7,45.273,1.32,244.60001,26.625,6,10,5.7,3.8,0,0,0,0,0
"10","autumn","medium","high",7.7,9.9,2.75,1.39,2082.8501,7.667,40.667,0.8,0,0,7.3,2.9,1.2,1.6,0
"13","winter","medium","high",7.74,10.53,38.125,5.41,161.81799,34.636,3,10.5,43.5,31.9,10.8,0,9.4,0,0
"14","winter","small","high",7.72,9.8,77.364,5.694,120,16,17,5.2,4.1,7.5,0,1,1.9,22.9,3.2
"15","winter","small","high",7.3,10.8,53.425,0.758,53.846,59.429,18,3,35.5,5,5.4,4.3,2.4,0,6
"16","winter","large","high",8.3,11.5,37.6,3.73,14.75,26.6,98.25,19.4,0,40.9,1.7,2.2,28.8,1.6,0
"17","winter","small","medium",6.4,9.8,7,9.248,39,18.667,50,12.1,46.2,5.4,1.6,0,0,15.8,0
"18","spring","medium","high",8.7,11.3,32.54,1.443,137.27299,49,6.2,31,1.7,21.5,3.1,3.5,10.6,6.7,31.2
"19","summer","medium","medium",7.35,6.2,29.775,9.773,24064,82.222,20.75,6.4,81.9,0,2.3,0,1.2,0,2.4
"20","winter","medium","low",7.91,10.4,5,2.822,10,564.59998,287,6.8,1.9,22,25.9,0,0,0,0
"21","autumn","medium","medium",7.57,10.7,30.125,1.67,3466.65991,61.556,61.6,23.8,0,0,21.9,0,4,11.5,1.4
"22","autumn","small","high",8.3,10.29,5.326,0.735,102.5,15.6,232.89999,50,56.8,0,0,0,0,0,0
"23","autumn","large","high",7.75,4.8,41.163,3.245,101.667,39,269.66699,7.6,69.9,13.2,0,2.5,0,15.7,0
"24","spring","small","low",7.2,5.3,100.83,0.23,208.33299,4,91.111,1.7,24.3,0,0,3.7,0,0,0
"25","spring","medium","high",7.84,10.7,63.51,0.33,11.111,41.5,11.5,1.4,16.8,8.6,5.5,0,17.9,0,1.4
"27","summer","large","high",8.06,7.8,11.867,0.663,28,12.75,214,2,1.9,0,1.4,4.9,4.1,0,0
"29","winter","medium","medium",8,6,8.69,3.908,20,36.3,170,2,3.4,0,19.7,0,17.8,0,5.2
"30","summer","medium","low",8,10.5,26.76,8.543,18.333,12,292.625,0.5,1.5,7.6,14.6,0,0,42.1,0
"31","autumn","medium","high",8.6,9.3,8.3,3.33,60,55,40,5.62,15.1,16,1.2,0,7.5,0,30.1
"32","spring","medium","high",8.2,11.6,26,3.78,235,4,194.10001,92.667,1.1,17.1,0,1.9,4,0,2.9
"33","spring","medium","high",7.4,3.4,20.083,3.02,233.7,44,102.571,17.2,0,0,24.8,0,2.5,42.7,0
"34","summer","small","medium",8.6,10.7,53,1.172,461.875,71,253.25,6.5,10.8,1.4,0,6.8,0,2.6,0
"35","autumn","large","high",8.1,6.7,104.818,1.921,134,34.5,72.9,5.45,5.3,1.7,3.3,0,1.4,0,2.2
"36","winter","small","high",8.7,8.4,53.102,0.381,27.5,31.333,44.136,2.7,46.6,0,0,0,20.8,0,1
"37","autumn","large","medium",5.6,9.9,130.67,1.208,142,1.625,276,5.8,0,0,0,0,3.1,42.4,2.1
"38","summer","medium","high",8.7,12.9,32.4,1.715,3515,48,3,9.882,12.6,21.1,2,1.2,9.2,0,0
"39","winter","medium","high",8.3,11.7,56.717,5.97,10,26,6.75,6.209,1.2,0,1.2,0,0,31.8,7.8
"40","winter","medium","medium",8.84,9,87,3.318,17.778,51.75,183.66701,0.5,66.9,0,1.4,0,44.4,6.9,0
"41","winter","small","high",8,10,60.8,6.096,102.75,10.8,105.727,93.683,0,5.9,1,0,11.3,16.6,0
"42","spring","medium","high",8.5,7.1,54.19,2.805,37.5,75.875,175.04601,0.2,17.1,1.7,3,2.1,0,0,1.4
"43","summer","medium","medium",7.9,8.3,50,2.231,76,66.4,124.2,3.6,18.1,20.6,0,0,12.4,0,0
"44","spring","small","high",8.3,8.8,173.75,7.83,10.5,23,326.85699,5.555,15.5,0,2,0,0,0,0
"45","spring","large","medium",8.4,11.4,69.75,4.555,42,62.625,57.833,1.1,0,0,17.6,3.5,3.1,5.5,0
"46","winter","small","medium",8.35,12.5,10.5,0.536,228.75,102.364,43.5,3.3,29.5,1.5,6.3,3.2,2.1,64.6,1.4
"47","winter","small","medium",7.8,7.1,15,4.459,10,75,66.75,4,2.4,12.7,1.2,0,11.7,1,0
"49","winter","small","medium",7.6,8.6,31.091,1.47,1386.25,9.667,87.125,3.3,2.4,20.1,3.3,1.2,0,2.4,16.7
"51","winter","medium","high",8.1,8.4,22.35,5.442,239,12.75,6,7.9,39.1,1.2,0,0,8.1,0,0
"52","spring","large","high",8.5,8.8,6.167,4.665,33.636,77.333,361,4.5,0,14.5,10.3,0,5.4,0,3.9
"53","spring","small","high",8.43,11,58.331,2.818,153.75,7.75,34,21.22,0,0,9,0,0,0,0
"54","spring","medium","medium",7.6,9,41.25,2.64,192.5,53.625,14,0.8,7.8,0,0,0,8,0,0
"56","autumn","medium","high",8.8,10.7,50,3.14,5,264.89999,279.06601,34.75,1.9,3.4,0,1.8,9,0,0
"58","summer","small","high",9.1,11.5,6.3,0.86,22.5,1,104,20.829,0,5.4,1.2,0,2.6,0,1.2
"59","spring","small","medium",6.6,10.5,40.02,4.188,345.45499,2,2.5,4.667,14.7,12,1.9,0,0,0,5.9
"60","summer","small","low",8,6.6,31,1.732,10,1,277.33301,18.3,47.1,11.6,0,2.7,0,4.5,0
"61","spring","medium","medium",8.7,10.5,39,3.726,46.5,159.16701,85,21,0,0,1.2,0,7.5,11.1,0
"63","autumn","small","high",8,13.1,187.183,0.866,172.5,3.333,235.66701,2.1,0,8.9,0,3.4,1,4.5,1.2
"64","winter","medium","low",7.4,8.2,65.75,1.374,76.667,2,18.293,18.33,20.3,13.7,0,0,5.8,2,0
"65","spring","small","high",7.5,4.9,4.326,0.921,160,166.72701,7.2,2.9,15.8,0,0,44.6,5.7,0,0
"66","winter","medium","high",8.4,11.7,35.75,0.13,15,1.333,75.904,5.111,2.2,0,4.9,4.6,6.5,0,1.7
"69","autumn","large","medium",7.9,5.5,82.852,6.513,758.75,53,351.60001,1.2,46.9,2.7,1.5,0,0,0,5.5
"70","autumn","medium","medium",7.19,7.6,125.6,0.735,155,144,388.16699,1,1.7,0,0,0,2.9,0,1.9
"71","spring","medium","medium",8.7,3.6,7,0.826,215.556,151.125,249.25,1.1,1.4,2.1,1,0,15,0,3.3
