1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"2","autumn","small","medium",8.7,12,29.775,1.288,345.45499,33.8,558.75,11.7,0,0,1.4,2.4,0,2.6,15.1
"4","spring","small","medium",8,4.8,1.549,2.316,66.667,61.182,56.667,46.075,2.4,5.5,1.7,0,1.4,9.6,0
"5","winter","large","low",8,9,5.273,1.42,105.556,58.222,284,7.9,9.2,0,0,0,9,10.1,0
"6","winter","medium","medium",7.19,3.4,39,6.64,58.5,13,75.207,28.4,25.4,53.6,3,0,0,12.6,0
"7","summer","small","low",8.15,10.7,47.229,5.132,235,32.5,138.5,3.2,0,7.4,3.2,3.9,5.8,1.4,0
"8","winter","small","medium",8.5,9.2,9,4.99,245,44.667,60,10,3.8,3.1,3.9,0,15.3,0,0
"9","summer","small","high",7.4,3.6,7,1.051,102.5,26,170,6.9,50.6,5.4,0,6.9,3.5,0,0
"10","summer","small","high",6.6,7.4,2.111,1.39,178.57001,60.833,262.72699,0.8,19.4,8.9,1,0,6.4,0,2.4
"11","autumn","medium","high",8.4,10.2,42.636,3.78,380,205.636,6,0.8,14.7,28.2,10.8,0,6.7,0,0
"12","summer","small","low",8.3,10.8,16,2.899,10,6,85,1,0,0,4.7,0,0,1.5,0
"15","summer","small","medium",7.9,9.4,51.113,1.448,160,27,84,2,1.9,5,0,0,0,16.6,0
"17","summer","large","medium",7.7,8,49.9,1.415,39,51.111,11.818,3,2.2,0,2.5,0,0,1.9,1.2
"18","autumn","large","medium",8.7,10.4,32.54,3.02,103.333,57.6,254.60001,5.8,24.8,3.4,0,1.9,0,1.4,3.2
"19","winter","small","medium",7.9,9.8,13,1.873,13.5,48.625,27.5,14.775,2.2,0,1.1,4.3,0,0,0
"20","autumn","medium","medium",8.5,10.7,20.083,0.923,10,564.59998,287,6.8,6.9,0,13.6,11,0,2.4,0
"21","autumn","large","medium",7.83,10.7,2.933,1.655,3466.65991,467.5,586,2.1,1.7,13.7,2,3.7,4,11.5,4.1
"22","spring","large","high",6.6,1.5,35.75,3.685,914,55,255.28,0.5,0,15.7,0,1,2.4,0,2.9
"23","summer","small","medium",7.75,6.5,29.5,1.443,27.286,109,18,1.2,23.2,40.7,0,2.5,0,0,0
"24","winter","large","high",8.4,5.3,63.292,4.698,197.909,4,11,2,5.9,15.9,1.2,0,1.2,0,0
"25","summer","small","high",8.6,6.6,43.97,2.64,11.111,19.727,72.696,0.3,24.8,2.1,20.2,3.5,11.2,1.2,0
"27","winter","large","high",7.4,12.5,41.5,1.47,271.25,61.556,177.625,2,69.9,7.5,0,0,1.1,0,1.4
"29","spring","medium","medium",8,5.4,85.982,3.908,20,62.625,77.434,22.9,12.2,0,19.6,0,11.5,5.4,2.5
"30","summer","medium","medium",8.6,8.9,77,2.273,18,37.857,279.06601,4.5,33.9,20.6,2,0,0,0,5.8
"31","autumn","medium","high",7.8,8.4,8.3,1.287,31.333,41.5,142,4.5,12.6,0,8.8,0,0,0,0
"32","winter","large","high",8,7.1,94,1.587,60,6.5,108,9.384,0,38.5,1.9,0,4,0,2.2
"33","spring","large","medium",8.2,9.5,70,5.97,128.571,49,102.571,2,7.2,1,1.9,0,15,0,0
"34","spring","small","high",8.4,11.8,7,1.172,461.875,22.444,253.25,4.5,24,5.4,0,0,2.6,64.6,0
"35","summer","large","low",8.27,6.7,10.078,3.316,49,34.5,102.333,5.45,5.3,16,3.3,0,0,0,2.2
"37","winter","large","low",8.8,7.6,40.167,3.617,27.5,7.4,154.125,28.567,8.8,0,35.1,0,0,0,5.5
"38","winter","medium","high",7.2,8.2,5,10.416,43.75,166.72701,23,9.882,1.2,0,7.8,6.6,9.2,0,0
"40","winter","small","high",7.93,10.5,26.76,3.351,24064,54,98.25,17.2,0,0,7.5,3.4,22.5,0,2.4
"41","winter","medium","low",8.2,8.5,12.146,4.508,102.75,16.833,79.75,0.6,0,5.9,5,0,0,0,0
"42","spring","medium","high",5.7,11.3,54.19,4.17,429.20001,10.583,183.66701,13.2,12.5,0,5.4,6.8,3.2,0,0
"43","spring","medium","medium",8.3,10.6,8.69,3.978,76,2,124.2,8.155,46.9,5,0,1,20.8,0,0
"44","spring","small","high",7.7,10.8,3.5,4.82,32.5,209.85699,246.66701,11.84,4.1,11.6,1,0,19,7.9,0
"45","spring","large","low",7.2,6.1,69.75,1.67,51.429,54.1,57.833,3.9,0,0,4.1,0,3.1,5.5,0
"46","winter","medium","high",7.4,8.4,10.207,2.805,110,23,13.2,2,29.5,0,1.4,1.2,5.7,0,1.4
"49","winter","medium","medium",7.6,11.1,11.818,2.304,65.455,3.333,221.278,16,9.2,6.7,19.5,0,1.9,3.3,0
"50","summer","medium","medium",6.5,8.6,7.613,0.826,931.83301,267.75,20.812,0.5,0,12,0,0,8,15.8,0
"51","autumn","small","high",8.1,8.1,22.35,3.14,192.5,22.2,6,0.3,0,2.7,0,0,15.9,0,1.4
"52","summer","small","high",8.2,9.5,58.331,4.459,33.636,234.5,361,3.2,3.3,8.7,0,2.2,18.7,0,10.8
"53","autumn","small","medium",7.9,10.5,46.167,3.444,28.333,246,6.667,1,0,0,2.7,13.4,1.7,4.5,31.6
"54","spring","large","medium",8.5,9.3,7,0.941,118.571,31.333,285.71399,1.3,7.8,0,0,0,1,0,0
"55","autumn","medium","high",8.84,11,22.286,1.208,8777.59961,19.111,6.5,3,15.8,0,0,0,0,0,3.6
"58","autumn","small","medium",8,9,22.32,6.513,22.5,45.9,26,1.7,3.4,1,1.4,0,0,18.2,0
"59","summer","medium","medium",8.3,9.8,63.51,2.818,10,21.083,61.444,7.3,1.4,1.9,24.8,0,0,0,0
"62","spring","large","medium",8.4,11.7,47,1.588,124.167,13,56.667,1.3,23.7,0,4.9,0,0,17.7,2.1
"63","autumn","small","low",7.45,13.1,65.75,5.414,124,36.3,186.5,15.3,15.1,31.9,0,0,0,20.4,0
"64","winter","large","high",7.57,11.1,8,3.726,239,2,6.75,1,37.3,4.3,3.1,0,2.7,22.9,1.1
"65","spring","large","high",7.8,11.3,87,1.474,5738.33008,10,45,2.9,32.8,0,18.9,0,6.1,22.3,1.2
"66","spring","small","high",7.91,6.9,45.273,0.672,15,120.5,75.904,5.111,50.4,1,2,5.7,0,42.4,14.4
"67","autumn","medium","low",8.06,11.6,3.275,2.67,46.2,180.66701,111.75,31.738,64.9,2,42.8,5.3,0,29.5,0
"68","autumn","large","medium",7.8,12.1,10.4,0.921,196,175.66701,2.5,65.7,39.7,16.4,2.1,0,0,0,2.1
"69","winter","medium","medium",8.2,6,30.125,3.85,758.75,220.75,351.60001,92.667,32.5,21.7,0,0,0,0,5.9
"70","spring","small","medium",6.8,10.2,39.109,5.694,236,412.33301,17.333,1,10.3,4.9,1,0,0,0,1.9
"71","spring","medium","high",7.79,8.5,130.67,6.096,82.1,151.125,43.5,0.8,1.7,2.1,0,3,1.4,16.7,1.9
"72","spring","medium","low",7.3,10.5,55.35,0.663,16.2,4,152.33299,5.2,39.1,0,5,1.2,13.3,10.6,1.4
"73","spring","small","low",8.4,4.5,69,1.72,5.8,191.75,11.5,14.7,1.4,0,3.3,0,0,21.4,0
"74","autumn","large","low",7.6,6.2,5.889,3.07,88.182,136.75,249.25,6.5,52.2,3.8,0,0,9.5,0,0
"76","autumn","medium","high",7.6,9.4,50,2.512,627.27301,104.222,39,0.3,2.2,4.1,4.8,1,9.4,0,0
"78","winter","large","high",8.4,11.8,9,0.376,246.364,46.667,76.333,7.6,0,20.1,0,0,0,0,2.2
"79","spring","small","low",8.07,8.1,21.95,9.773,371.11099,37.375,303.33301,3.6,66,4.6,0,11.3,5.5,0,1.4
"80","spring","medium","low",8.7,10.7,34.5,0.461,20,53.625,3,3,75.8,21.6,0,0,4.9,1.4,0
"81","summer","medium","low",7.5,5.8,77.364,5.33,224.286,144,269.66699,5.544,6.5,21.7,22,4.6,0,17.2,2.7
"82","spring","medium","high",8.15,9,28.333,4.93,217.75,53,219.909,4.3,3.4,0,0,0,9,8.2,16.7
"83","winter","large","high",7.4,11.3,12.444,0.23,89.6,7.667,232.83299,2.86,1.2,21.5,21.9,1,0,6.4,0
"84","summer","medium","low",8.3,4.9,82.111,1.335,10,1.25,69.93,18.3,16.6,4.1,1.6,1.8,3.6,9.9,31.2
"85","winter","medium","high",8.9,11.5,82.852,4.408,98.182,10.667,22.9,12.32,31.1,28,0,0,6.6,0,1
"87","spring","small","high",8.3,11.7,36.248,5.41,134,67.5,169.00101,27.618,2.4,0,0,2.2,0,7,1.9
"88","spring","large","high",8.35,3.6,53.333,0.735,37.778,276.85001,771.59998,4.3,24.3,25.4,2.6,3.4,1.9,32.1,3.9
"89","summer","large","medium",7.4,8.8,53.102,0.536,172.5,282.16699,61.5,34.75,7,0,0,7.7,0,49.4,0
