1)
  season   size  speed mxPH mnO2    Cl   NO3    NH4  oPO4   PO4 Chla   a1   a2   a3  a4  a5   a6
1 autumn medium medium 8.00  9.4 60.80  3.02  271.2 105.0 122.0 22.7  3.6  4.7  0.0 0.0 0.0  0.0
2 winter medium    low 6.50  8.5  3.00 10.42 1495.0 197.8  56.7 16.0  2.2 15.7 13.6 2.4 0.0  0.0
3 autumn  large medium 7.20  8.3 40.02  5.33  346.7  45.9 140.5   NA  1.4 53.6  0.0 0.0 0.0  0.0
4 spring  small   high 7.80  1.8 10.97  2.32   92.4  27.0 213.0  0.3  1.1 38.5 19.6 3.4 1.7  7.1
5 winter medium medium 8.53  9.0  5.27  1.42  161.8  32.5 102.3 10.5 55.5  2.9 23.2 5.7 5.3  5.5
6 spring  small medium 7.80 10.5 12.00  3.20 2082.9  39.0   1.0  4.5  2.4 11.3  0.0 4.8 0.0 12.6
   a7
1 0.0
2 0.0
3 0.0
4 2.9
5 0.0
6 0.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,autumn,medium,medium,8,9.4,60.8,3.02,271.25,105,122,22.7,4.7,0,0,0
2,winter,medium,low,6.5,8.5,3,10.416,1495,197.83299,56.667,16,15.7,2.4,0,0
3,autumn,large,medium,7.2,8.3,40.02,5.33,346.66699,45.9,140.517,NA,53.6,0,0,0
4,spring,small,high,7.8,1.8,10.975,2.316,92.375,27,213,0.3,38.5,3.4,7.1,2.9
5,winter,medium,medium,8.53,9,5.273,1.42,161.81799,32.5,102.333,10.5,2.9,5.7,5.5,0
6,spring,small,medium,7.8,10.53,12,3.2,2082.8501,39,1,4.5,11.3,4.8,12.6,0
7,summer,small,medium,7.7,11.1,47.229,5.132,235,75,205.875,3.2,1,1.9,1.4,0
8,winter,medium,medium,7.29,10.6,4.545,4.99,8,38.75,60,4.5,0,3.5,0,1.2
9,autumn,medium,medium,8.6,12.6,79.077,1.32,920,26,76.333,10,6,13.4,2.4,0
10,summer,medium,high,7.8,3.6,63.625,1.587,215.714,8.692,262.72699,81.54,5.5,2.9,2.2,4.3
11,winter,large,high,8.4,10.2,11,1.287,38.111,12.75,277.33301,13,0,1.7,0,0
12,autumn,large,low,8.3,6.35,82.852,1.003,101.25,33.8,388.16699,0.6,0,0,8.7,0
13,winter,medium,high,8.1,9.6,64,3.31,109,35.333,188.66701,17.2,0,7.8,0,1.4
14,winter,small,high,7.72,3.4,77.364,1.32,12.5,57.6,138.5,68.05,14.6,1,1.4,2.7
15,spring,small,high,7.74,4.4,12.778,6.188,46.2,16,351.60001,1.2,5,2,8.3,0
16,winter,medium,high,7.55,11.5,50,3.07,137.27299,31.333,10.111,54.367,0,5.3,0,1.4
17,winter,medium,high,7.4,10.9,7,3.773,165,18.667,50,NA,1.9,0,6.8,2.4
18,spring,small,low,7.14,10.4,56.717,1.443,43.75,64.389,127.222,0.5,28,1.9,0,0
19,summer,small,high,8.1,7.1,29.775,0.445,24064,21.083,27.5,NA,0,1.7,4.1,1
