1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","autumn","medium","medium",8,9.4,60.8,3.02,271.25,105,122,22.7,3.6,4.7,0,0,0,0,0
"2","winter","medium","low",6.5,8.5,3,10.416,1495,197.83299,56.667,16,2.2,15.7,13.6,2.4,0,0,0
"4","spring","small","high",7.8,1.8,10.975,2.316,92.375,27,213,0.3,1.1,38.5,19.6,3.4,1.7,7.1,2.9
"5","winter","medium","medium",8.53,9,5.273,1.42,161.81799,32.5,102.333,10.5,55.5,2.9,23.2,5.7,5.3,5.5,0
"6","spring","small","medium",7.8,10.53,12,3.2,2082.8501,39,1,4.5,2.4,11.3,0,4.8,0,12.6,0
"7","summer","small","medium",7.7,11.1,47.229,5.132,235,75,205.875,3.2,0,1,0,1.9,17.8,1.4,0
"8","winter","medium","medium",7.29,10.6,4.545,4.99,8,38.75,60,4.5,3.3,0,1.2,3.5,1,0,1.2
"9","autumn","medium","medium",8.6,12.6,79.077,1.32,920,26,76.333,10,0,6,0,13.4,0,2.4,0
"10","summer","medium","high",7.8,3.6,63.625,1.587,215.714,8.692,262.72699,81.54,17,5.5,0,2.9,6.4,2.2,4.3
"11","winter","large","high",8.4,10.2,11,1.287,38.111,12.75,277.33301,13,14.7,0,0,1.7,2.9,0,0
"12","autumn","large","low",8.3,6.35,82.852,1.003,101.25,33.8,388.16699,0.6,32.1,0,1,0,15,8.7,0
"13","winter","medium","high",8.1,9.6,64,3.31,109,35.333,188.66701,17.2,31.8,0,1.9,7.8,1.2,0,1.4
"14","winter","small","high",7.72,3.4,77.364,1.32,12.5,57.6,138.5,68.05,35.5,14.6,0,1,11.5,1.4,2.7
"15","spring","small","high",7.74,4.4,12.778,6.188,46.2,16,351.60001,1.2,3.4,5,1.7,2,0,8.3,0
"16","winter","medium","high",7.55,11.5,50,3.07,137.27299,31.333,10.111,54.367,64.3,0,1.7,5.3,9,0,1.4
"18","spring","small","low",7.14,10.4,56.717,1.443,43.75,64.389,127.222,0.5,31.1,28,3.1,1.9,8.6,0,0
"21","autumn","large","medium",6.4,10.7,131.39999,3.78,3466.65991,182.42,586,16,0,0,1.4,2.1,0,0,1.9
"22","summer","small","medium",8,9.2,22.455,0.758,98.333,264.89999,75.333,72.478,33.9,0,9.4,0,0,4.6,1.6
"23","summer","medium","medium",8.4,11.7,7.25,3.245,54.778,151.33299,18,7.6,23.2,0,10.1,2.2,19,6.7,0
"24","winter","large","high",7.2,6,4.7,3.726,208.33299,53.625,87.125,20.578,0,0,1,3.7,0,0,0
"25","winter","small","high",8.07,3.3,63.51,1.448,178.57001,41.5,287,2.1,13,1.9,0,3.5,0,0,1.2
"26","summer","small","high",8.21,7.6,65.75,3.976,51.111,13,320.39999,3,1.4,2.6,8.8,0,5.9,77.6,2.7
"27","winter","small","medium",7.9,8.4,11.867,0.461,28,61.556,276,11.1,0,0,0,4.9,1.2,0,0
"28","autumn","small","high",8.8,12,71.444,0.735,20,37.857,14,75,1.9,16.4,35.1,0,9.5,0,0
"29","summer","small","high",8,10.7,69.75,3.908,215.556,36.3,121,18.37,30.3,0,18.9,0,0,0,0
"30","spring","large","high",8.1,3.2,208.364,8.543,120,12,279.06601,30,3.1,0,0,0,0,42.1,3.6
"31","autumn","medium","medium",7.5,10.8,8.3,0.735,461.875,19.111,6.667,5.62,1.2,16,1.2,1.9,20.8,0,0
"32","spring","medium","high",7.6,8,26,0.77,32,32,81.558,12.1,39.1,0,10.8,0,4,9.9,0
"33","spring","small","high",7.4,9.5,13,1.051,217.75,23,66.75,21.9,12.5,1,5.5,0,6.4,42.7,0
"34","summer","large","low",8.47,5.8,53,1.328,236,346.16699,6.2,26.8,1.5,2.1,0,0,0,13.1,0
"36","winter","large","medium",7.9,8.4,139.989,0.381,62.5,187,44.136,1.3,18.3,0,2.2,0,0,2,1
"37","summer","medium","high",8.8,11.1,1.17,1.921,58.5,136.75,222.286,3.2,0,6.7,0,2.2,0,2.7,2.1
