1)
  season   size  speed mxPH mnO2   Cl  NO3   NH4  oPO4 PO4  Chla   a1   a2   a3  a4   a5   a6   a7
1 winter medium    low 8.00  9.4 41.2 6.24  25.0  12.8 122  8.96  0.0  4.7  0.0 0.0 34.2  8.3  0.0
2 summer medium    low 8.50 12.0 29.2 1.29  12.5  33.8 247 13.00 50.4 15.7  0.0 2.4  0.0  4.1  1.2
3 summer medium medium 8.22  9.5 40.0 1.45 244.6  45.9   4  1.00  0.0 53.6 22.9 0.0  8.2  0.0  9.7
4 spring  large medium 8.70 10.8 13.5 4.41 137.0 346.2 228  0.30  2.4  0.0 18.9 0.0  0.0  0.0  2.9
5 autumn medium   high 7.19  6.8 57.8 1.53   8.0  85.5 126 25.00  1.7  0.0  0.0 0.0  2.7 17.2 14.4
6 summer  small   high 8.00 10.0 63.6 1.01  58.5 105.0  71  5.20  0.0  1.2  0.0 0.0  0.0  1.5  1.0
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,medium,low,8,9.4,41.163,6.238,25,12.75,122,8.957,4.7,0,8.3,0
2,summer,medium,low,8.5,12,29.2,1.287,12.5,33.8,246.66701,13,15.7,2.4,4.1,1.2
3,summer,medium,medium,8.22,9.5,40.02,1.448,244.60001,45.9,4,1,53.6,0,0,9.7
4,spring,large,medium,8.7,10.8,13.5,4.408,137,346.16699,228.364,0.3,0,0,0,2.9
5,autumn,medium,high,7.19,6.8,57.75,1.534,8,85.5,125.8,25,0,0,17.2,14.4
6,summer,small,high,8,10,63.625,1.013,58.5,105,71,5.2,1.2,0,1.5,1
7,summer,small,medium,8.15,10.3,47.229,9.715,60,27,275.14301,22.5,0,3.9,1.4,1.6
8,winter,medium,medium,8.2,10.6,29.775,3.617,192.5,44.667,60,1,2.9,0,0,1.9
9,winter,medium,medium,8.6,7.8,NA,0.758,421.66699,26,219.909,10,5.4,1.9,0,1.9
10,summer,small,high,7.93,9.9,4.575,9.248,49.5,54.1,46.6,28.4,0,2.9,3.3,0
11,autumn,small,high,8.5,9.4,7.25,2.8,380,12.75,34,4.3,0,2.2,1.5,0
12,summer,small,high,8.3,8.1,13,1.003,371.11099,NA,262.72699,1,0,0,0,0
13,autumn,medium,high,8.6,12.1,15,0.77,11.111,24,213,20.829,0,7.8,0,1
14,summer,large,high,NA,8.6,22.455,NA,10,36.909,13.6,1.7,0,28.8,1.4,2.9
15,autumn,small,low,7.9,9.6,51.113,5.099,18.429,24.667,61.6,3.9,21.7,0,13.2,1.2
