1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","medium","low",8,9.4,41.163,6.238,25,12.75,122,8.957,0,4.7,0,0,34.2,8.3,0
"2","summer","medium","low",8.5,12,29.2,1.287,12.5,33.8,246.66701,13,50.4,15.7,0,2.4,0,4.1,1.2
"3","summer","medium","medium",8.22,9.5,40.02,1.448,244.60001,45.9,4,1,0,53.6,22.9,0,8.2,0,9.7
"4","spring","large","medium",8.7,10.8,13.5,4.408,137,346.16699,228.364,0.3,2.4,0,18.9,0,0,0,2.9
"5","autumn","medium","high",7.19,6.8,57.75,1.534,8,85.5,125.8,25,1.7,0,0,0,2.7,17.2,14.4
"6","summer","small","high",8,10,63.625,1.013,58.5,105,71,5.2,0,1.2,0,0,0,1.5,1
"7","summer","small","medium",8.15,10.3,47.229,9.715,60,27,275.14301,22.5,51.8,0,9.4,3.9,5.8,1.4,1.6
"8","winter","medium","medium",8.2,10.6,29.775,3.617,192.5,44.667,60,1,0,2.9,1.9,0,7.5,0,1.9
"10","summer","small","high",7.93,9.9,4.575,9.248,49.5,54.1,46.6,28.4,0,0,0,2.9,1,3.3,0
"11","autumn","small","high",8.5,9.4,7.25,2.8,380,12.75,34,4.3,24.3,0,0,2.2,2.9,1.5,0
"13","autumn","medium","high",8.6,12.1,15,0.77,11.111,24,213,20.829,82.7,0,10.8,7.8,0,0,1
"15","autumn","small","low",7.9,9.6,51.113,5.099,18.429,24.667,61.6,3.9,1.9,21.7,25.9,0,0,13.2,1.2
"16","autumn","medium","high",8,11.5,73.25,3.07,153.75,12,222.286,65.7,3.4,0,4.8,5,7.5,64.6,0
"17","winter","medium","medium",7.78,10.3,7,6.045,153,102.364,304,0.5,42.5,12.7,0,5.7,0,0,0
"18","winter","large","high",7.14,6.35,2.111,1.328,32.5,1.25,20.812,0.5,25.4,20.6,0,1.2,8.6,29.5,0
"19","winter","medium","high",7.35,10.3,4.545,1.474,122.5,60,69.93,40,81.9,0,0,5.3,1.2,0,1
"20","summer","medium","medium",8.5,10.7,5,2.822,245,34.5,287,6.8,33.9,5.5,0,0,8.6,0,1.4
"22","spring","large","high",8.3,9.2,69,0.735,914,15.6,98.25,0.4,3.1,1.9,0,2.3,0,13.1,1
"23","spring","medium","high",7.4,10.9,127.833,2.31,27.286,16.8,18,4.9,23.2,25.4,22,2.5,0,4.5,1.4
"24","winter","small","high",7.2,7.4,50,0.33,627.27301,10.8,771.59998,14.775,1.6,16.4,1,0,27.6,0,0
"25","summer","small","high",6.5,6.5,64,5.13,13.5,51.111,40,1.1,24.8,28,16,0,0,0,3.4
"26","winter","small","medium",8.21,8.3,17.75,5.456,165,22.2,44.136,27.5,4.1,0,0,0,5.9,0,0
