1)
  season   size  speed mxPH mnO2    Cl  NO3   NH4  oPO4   PO4 Chla   a1   a2   a3  a4   a5   a6  a7
1 winter  small medium 8.00  9.4 41.16 6.24  31.3 187.0  13.6 50.0  0.0  5.4  0.0 1.0 34.2  0.0 1.4
2 spring  large    low 7.50 10.9 29.20 5.97  49.0  33.8 558.8  7.3  2.2  0.0  4.1 2.4  4.1  0.0 0.0
3 autumn  large    low 8.25 11.4 40.02 5.33 346.7  46.7 388.2 81.5  1.4 53.6  2.1 3.5  0.0 42.7 0.0
4 spring  small medium 7.79 11.1 11.09 1.72  13.5   5.0 138.7  0.3 10.3  0.0 18.9 1.9  5.7  0.0 2.9
5 autumn  small    low 7.90  9.0  5.83 1.42 233.7  58.2  43.5 13.2 14.6  5.6 12.9 0.0  0.0  0.0 1.2
6 spring medium    low 7.19  1.5 44.00 3.78  92.4   3.0  13.2 28.4 15.8  7.6  2.4 1.2  0.0 22.9 3.9
2)
,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a2,a4,a6,a7
1,winter,small,medium,8,9.4,41.163,6.238,31.333,187,13.6,50,5.4,1,0,1.4
2,spring,large,low,7.5,10.9,29.2,5.97,49,33.8,558.75,7.3,0,2.4,0,0
3,autumn,large,low,8.25,11.4,40.02,5.33,346.66699,46.667,388.16699,81.54,53.6,3.5,42.7,0
4,spring,small,medium,7.79,11.1,11.088,1.72,13.5,5,138.7,0.3,0,1.9,0,2.9
5,autumn,small,low,7.9,9,5.83,1.42,233.7,58.222,43.5,13.2,5.6,0,0,1.2
6,spring,medium,low,7.19,1.5,44,3.778,92.375,3,13.2,28.4,7.6,1.2,22.9,3.9
7,summer,medium,medium,8.3,10.3,47.229,5.132,235,26.625,11.5,88.255,0,3.9,4.5,0
8,summer,small,medium,7.8,10.6,3.275,6.188,8,31.333,214,0.9,0,0,0,0
9,autumn,large,medium,8.6,7.8,NA,1.32,122.85,21.083,104,10,21.7,6.9,6.7,2.1
10,winter,large,high,8.5,4.3,4.575,1.39,72.6,8.692,146.452,0.8,20.1,11.5,0,3.9
11,summer,small,high,8.4,10.2,26.76,1.287,206.53799,35.333,40.667,2.8,0,1.7,49.4,0
12,autumn,large,low,8.15,8.1,16,0.91,101.25,12,262.72699,1,14.7,0,0,0
13,winter,small,high,8.1,7.7,13,1.223,27.286,24,188.66701,8.155,10.4,0,0,0
14,autumn,medium,high,7.72,10.2,61.05,8.759,15,57.6,624.73297,3.6,6.4,0,17.2,6
15,summer,medium,low,8,9.8,NA,3.245,46.2,102,7.2,17.491,7.5,0,16.6,2.2
16,summer,medium,high,7.29,3.2,4.7,3.444,21.571,4.25,98.25,1.1,5,5,17.8,0
17,spring,small,medium,7.6,8,7,3.561,429.20001,18.667,75.207,0.6,21.5,1.2,0,0
18,autumn,large,high,7.14,9.2,NA,1.443,98.182,18.25,254.60001,5.2,11.6,1.9,0,0
19,summer,medium,medium,7.35,6.3,29.775,0.445,24064,2.5,27.5,1.1,0,0,16.7,0
20,spring,medium,high,8.7,10.7,5,2.818,245,191.75,287,11.7,1,4.6,0,1.4
21,spring,medium,low,9.1,10.7,3.5,4.825,32.5,467.5,586,7.9,4.6,0,0,1
22,winter,large,low,7.4,9.2,44.205,3.14,124.167,48.625,285.71399,18.3,1.6,1.6,0,4.9
23,autumn,small,medium,7.6,6,29.5,3.14,10,125.667,18,7.6,5.9,0,0,1
24,winter,medium,high,8.5,5.3,50,4.17,46.5,53.625,130.75,3.2,0,0,0,2.7
25,summer,small,high,7.09,3.3,63.51,5.13,11.111,41.5,88.5,0.6,5.6,3.5,0,0
26,spring,small,high,8.21,10.3,31.091,3.976,165,15.6,49.333,3,19.6,0,10.1,0
27,winter,medium,low,7.925,10.6,32.056,2.304,34,16.8,61.444,2,4.1,2,6.8,0
28,summer,large,high,6.8,10.1,101.875,0.63,20,34.636,NA,75,1.4,0,1.4,0
29,winter,small,high,8,9.6,53.425,3.617,40,27.667,69.93,13.1,0,0,0,1
30,autumn,small,medium,8.4,4.9,2.933,8.543,931.83301,2.5,279.06601,0.5,0,5.7,17.1,1.1
31,autumn,medium,medium,7,9.6,125.6,3.33,60,36.3,142,2,5.5,0,0,7.8
32,summer,medium,medium,8.2,10.4,32.3,3.78,60,132.5,123.333,19.4,0,0,11.1,6
33,spring,small,high,7.6,10.7,9,1.474,18.429,120.5,102.571,21.22,8.7,0,33.2,1.2
34,spring,small,medium,8.47,10.29,53,0.406,10,20,253.25,31.738,1,6.8,0,0
35,winter,large,medium,7.9,6.7,65.75,3.316,3466.65991,34.5,72.9,5.45,0,0,0,2.2
36,winter,medium,high,8.5,12.1,53.333,4.188,1729,412.33301,175.04601,1.3,3.8,0,0,1.5
37,autumn,small,medium,8.8,12.5,49.625,2.55,142,104.222,14.354,0.2,0,0,0,2.4
38,winter,small,high,8.7,8.2,1.17,4.99,43.75,51.111,3,0.8,1.7,1.1,0,0
39,summer,medium,high,7.9,11.7,26,2.64,65.556,196.62,141.83299,6.209,12.7,3.7,31.8,0
40,spring,small,medium,8,11.1,10.975,4.665,228.75,16.833,183.66701,17.2,3.1,0,0,0
41,winter,small,high,8.6,11.2,2.75,10.416,102.75,136.75,205.875,3.7,25.4,0,0,7.2
42,autumn,medium,high,7.91,NA,54.19,1.013,60.11,48,213,10.5,36.6,3.7,0,0
43,autumn,large,low,6.6,8.4,9.055,0.376,10.5,2,124.2,22.5,3.1,0,0,1.6
44,summer,small,high,7.7,8.8,7,4.508,225,276.85001,108,6.167,0,0,42.4,0
45,winter,small,low,7.9,11.3,69.75,2.586,42,159.5,61.6,3.9,28.2,3.5,0,2.7
46,autumn,small,high,8.3,9.8,10.5,4.03,3515,7.75,50,3.3,0,0,0,0
47,winter,small,medium,8,7.1,NA,1.875,27.5,30.75,317,41,0,0,2,1.4
48,winter,small,high,8,6.2,34.037,1.374,178.57001,13,276,18.37,0,0,0,0
49,winter,medium,medium,8.27,8.6,9,0.825,40,27,58.374,1.3,0,8.3,0,0
50,winter,small,medium,8.1,11.21,6.3,3.734,370,51.75,20.812,NA,2.6,2.3,15.8,1.6
51,winter,medium,high,7.4,11.5,151.83299,5.164,10,12.75,186,2.1,0,0,29.5,1.4
52,summer,large,high,8.66,6.3,9,4.459,33.636,428.75,361,1.5,0,1.4,42.1,0
53,spring,large,medium,7.4,11,NA,1.732,105.556,180.66701,34,0.4,40.9,1.8,0,0
54,summer,large,medium,7.2,11.17,66.3,5.099,18.333,41.3,11.818,5.5,0,3.7,0,0
55,winter,medium,medium,8.84,9.2,NA,5.456,208.33299,62.625,6.5,NA,10.5,1,0,0
56,winter,large,medium,5.6,9.9,3.86,1.448,131.66701,175.66701,16,4.3,0,0,17,0
57,winter,small,high,8.7,9.6,3,0.102,10,1,1,NA,4.6,0,0,2.9
58,summer,small,high,9.06,9,22.35,0.642,1990.16003,234.5,6,11.1,5.4,6.6,0,0
59,spring,medium,high,8.5,6.5,43.97,3.414,345.45499,2,102.333,7.3,1.9,1.4,0,0
60,spring,small,medium,7.5,9.7,22.286,2.231,39,1,277.33301,17.2,12,0,4.7,0
61,summer,large,medium,8.7,3.4,NA,5.099,137,26,85,15.6,0,0,0,0
62,summer,small,medium,7.5,8.9,47,3.07,18,1.625,44.136,3,12.7,0,0,7.1
63,spring,small,medium,7.45,12.9,187.183,1.203,758.75,36,111.75,2.1,3.4,0,1.4,0
64,winter,medium,high,7.84,11.62,8,2.805,10,2,6.75,3.1,4.3,0,0,1.4
65,winter,large,high,7.8,11.3,4.326,1.172,160,104.5,275.14301,93.683,0,44.6,1.9,1.2
66,winter,large,low,8.24,9.7,12,0.672,578,1.333,228.364,6.429,14.5,2.1,0,1.4
67,winter,small,medium,8.22,6.2,21.95,3.31,5738.33008,1.25,85.4,4.5,2.1,0,4.1,0
68,autumn,small,high,8,8.5,1.45,6.2,51.111,20.667,125.8,NA,16.4,0,0,3.2
69,spring,medium,high,8.2,6.5,82.852,2.102,96.833,220.75,351.60001,1.2,1,0,0,2.4
70,spring,medium,medium,7.5,10.7,39.109,1.288,146.66701,38.625,46.438,0.8,4.9,1.3,0,3.3
71,autumn,large,high,8.1,8.4,27.233,2.67,215.556,151.125,61.5,34.75,0,1,0,0
72,spring,large,low,6.4,8.4,NA,6.096,2167.37012,1,152.33299,22.5,7.4,4,5.9,1.4
73,summer,medium,low,8,3.6,69,5.078,103.333,66.4,81.558,12.1,31.9,0,21.4,0
74,spring,large,medium,8,6.2,10.936,6.64,83.75,205.636,249.25,20.87,2,2.2,5.1,0
75,spring,medium,high,8.3,10.4,129.375,1.588,137.27299,159.16701,215.5,2.338,0,0,0,1
76,winter,large,medium,6.6,9.4,87,5.442,32.5,39,39,NA,1.7,1,0,0
77,autumn,medium,high,9.1,10.8,12.182,7.74,84.667,109,197.14301,54.367,8,0,0,2.5
78,winter,medium,high,8.4,7.3,63.292,0.735,133.636,54.1,76.333,18.33,17.1,1,0,2.2
79,spring,small,high,8.07,8.1,4.545,0.658,20,37.375,11.8,68.05,0,11.3,15.7,4.1
80,winter,medium,low,8.7,11.1,11,4.535,5.8,12.75,66.75,NA,21.6,0,6.9,0
