1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","small","medium",8,9.4,41.163,6.238,31.333,187,13.6,50,0,5.4,0,1,34.2,0,1.4
"2","spring","large","low",7.5,10.9,29.2,5.97,49,33.8,558.75,7.3,2.2,0,4.1,2.4,4.1,0,0
"3","autumn","large","low",8.25,11.4,40.02,5.33,346.66699,46.667,388.16699,81.54,1.4,53.6,2.1,3.5,0,42.7,0
"4","spring","small","medium",7.79,11.1,11.088,1.72,13.5,5,138.7,0.3,10.3,0,18.9,1.9,5.7,0,2.9
"5","autumn","small","low",7.9,9,5.83,1.42,233.7,58.222,43.5,13.2,14.6,5.6,12.9,0,0,0,1.2
"6","spring","medium","low",7.19,1.5,44,3.778,92.375,3,13.2,28.4,15.8,7.6,2.4,1.2,0,22.9,3.9
"7","summer","medium","medium",8.3,10.3,47.229,5.132,235,26.625,11.5,88.255,0,0,3.2,3.9,2.7,4.5,0
"8","summer","small","medium",7.8,10.6,3.275,6.188,8,31.333,214,0.9,18.2,0,3.9,0,9.9,0,0
"10","winter","large","high",8.5,4.3,4.575,1.39,72.6,8.692,146.452,0.8,17,20.1,13.6,11.5,6.4,0,3.9
"11","summer","small","high",8.4,10.2,26.76,1.287,206.53799,35.333,40.667,2.8,14.7,0,3.3,1.7,1.9,49.4,0
"12","autumn","large","low",8.15,8.1,16,0.91,101.25,12,262.72699,1,32.1,14.7,5,0,0,0,0
"13","winter","small","high",8.1,7.7,13,1.223,27.286,24,188.66701,8.155,2,10.4,0,0,0,0,0
"14","autumn","medium","high",7.72,10.2,61.05,8.759,15,57.6,624.73297,3.6,0,6.4,10.6,0,1.9,17.2,6
"16","summer","medium","high",7.29,3.2,4.7,3.444,21.571,4.25,98.25,1.1,1.5,5,1.7,5,28.8,17.8,0
