1)
"","x"
"1",0.316372041452463
"2",2.80214779087735
"3",2.10663752161334
"4",2.70048775125785
"5",0.639804397803858
"6",3.41582418300329
"7",3.0901084012669
"8",0.0914721223188971
"9",1.73146874487326
"10",2.5984629443554
"11",2.66505161037603
"12",0.103597533532892
"13",2.23011561662184
"14",-0.41475814519861
"15",3.19647918245513
"16",1.56796868349322
"17",3.62644704483948
"18",1.61398600245058
"19",1.62602522835118
"20",2.93352517079077
"21",1.8155308621653
"22",2.77435922816689
"23",3.18570380670248
"24",1.87591670849142
"25",0.604612384398214
"26",-0.988963765699441
"27",2.96032951403851
"28",0.725919472618581
"29",4.12617981327048
"30",1.93279525129788
"31",1.3677175851092
"32",3.20814863861153
"33",2.12229996102964
"34",2.78437363763232
"35",3.09948284986174
"36",0.357347860568399
"37",1.83561854742894
"38",1.32838347604423
"39",2.68875758597424
"40",2.14644581462702
"41",1.12449251981752
"42",3.05785173276429
"43",1.11006961415374
"44",1.74452726474779
"45",1.277232672543
"46",4.12073055236712
"47",2.20089201267625
"48",2.14996424919444
"49",4.05214292993348
"50",1.61409293161479
"51",1.9400436309441
"52",0.3178143997567
"53",1.52528980182942
"54",1.78401270958226
"55",2.38128010351658
"56",0.0291868525795126
"57",1.7660704797725
"58",3.22718515989174
"59",3.68457988185224
"60",1.09696076649249
"61",1.11381770428376
"62",-0.257812779420529
"63",1.69820468608161
"64",1.27963723306193
"65",5.00254264126878
"66",0.742076696561137
"67",2.29368973547119
"68",0.0646976485242322
"69",2.49456809803021
"70",0.511345895878945
"71",1.15779379681822
"72",2.48253669492473
"73",2.81411174685746
"74",2.80604265001657
"75",0.749547000277873
"76",2.08582514326325
"77",2.27897282783655
"78",2.18541920240527
"79",4.40975888988599
"80",1.94561692076517
"81",3.09164542303743
"82",3.34523945655732
"83",0.810464380140453
"84",1.88405476455691
"85",1.01825220398577
"86",2.84678339806246
"87",1.98876463136959
"88",1.32555693826083
"89",2.10760136921585
"90",2.36826044983736
"91",1.8305740831154
"92",1.24982192450861
"93",0.307733941476511
"94",1.43809820389056
"95",2.08888038235679
"96",1.01984854253046
"97",2.65864165028936
"98",1.68142547873776
"99",2.84926000237979
"100",3.48331253067797
"101",0.745698659221323
"102",2.73549827146552
"103",1.60822317026733
"104",0.521070885512408
"105",2.12216140765369
"106",1.83843600978032
"107",2.14464864461746
"108",2.60934093104289
"109",1.61421516197286
"110",1.29313226251988
"111",3.59272054954876
"112",3.3965211306308
"113",3.24811125841285
"114",3.64554728986088
"115",2.30819010321949
"116",1.54912543159067
"117",1.93269282385961
"118",0.892639902829487
"119",0.111861077220331
"120",2.34350437530933
"121",-2.10524952598176
"122",1.98606715932338
"123",2.63971741552059
"124",1.327356778006
"125",2.4410553121386
"126",2.49835916642208
"127",3.06321506049698
"128",3.47320797308733
"129",4.03262978142386
"130",2.30344303497033
"131",1.74340899945145
"132",2.72696871965401
"133",2.50735636433735
"134",1.03326017676819
"135",0.475041970353626
"136",2.77928472601966
"137",2.44545139465456
"138",2.85284188233505
"139",4.25550822127682
"140",3.8507389206562
"141",1.77858416739305
"142",0.95594412527537
"143",1.40258167538329
"144",0.483734734427666
"145",2.76591244777141
"146",1.80565625547733
"147",2.43462507304647
"148",1.3109659386599
"149",0.960082206118336
"150",2.27021434894634
"151",2.77141791467108
"152",2.6276477682166
"153",0.864353114784359
"154",2.53050333801239
"155",1.66127855321036
"156",2.40683800035873
"157",3.85397999419693
"158",3.76669434315092
"159",2.63611092702197
"160",3.62735035505568
"161",1.5693437891689
"162",1.70182350861874
"163",3.28528172751043
"164",2.72387943969464
"165",0.478538737197615
"166",3.25682466882573
"167",3.11113566908207
"168",0.67957256627477
"169",3.70274483266985
"170",2.47947920993234
"171",2.52214284523354
"172",1.54522449430422
"173",0.924638393391593
"174",2.15710657872514
"175",1.23942893013322
"176",0.996978914507821
"177",1.50951192558469
"178",1.30601456251403
"179",0.879924033128743
"180",1.87014396813952
"181",2.35949810018024
"182",2.40945785243231
"183",3.06597252899854
"184",1.5434085572742
"185",0.142415813159522
"186",1.48819956387874
"187",2.05836262241206
"188",-1.37967403003827
"189",2.00792396473375
"190",0.560053137063932
"191",2.42451732711531
"192",2.63533733772784
"193",2.37129453979295
"194",0.0805721942201245
"195",2.4360833533878
"196",3.1219507662382
"197",2.37114214008209
"198",1.80500447265104
"199",0.620408324384602
"200",2.89163896835765
2)
"","x"
"1",1.18989898989899
"2",2.25
"3",1.18989898989899
"4",1.18989898989899
"5",1.18989898989899
"6",1.73384615384615
"7",2.25
"8",1.18989898989899
"9",7.05
"10",1.18989898989899
"11",2.25
"12",1.18989898989899
"13",1.73384615384615
"14",1.18989898989899
"15",1.73384615384615
"16",1.73384615384615
"17",1.18989898989899
"18",1.18989898989899
"19",1.18989898989899
"20",1.73384615384615
"21",1.18989898989899
"22",2.25
"23",8.325
"24",1.73384615384615
"25",1.18989898989899
"26",2.25
"27",2.25
"28",1.18989898989899
"29",1.18989898989899
"30",1.18989898989899
"31",1.18989898989899
"32",1.73384615384615
"33",1.73384615384615
"34",1.18989898989899
"35",1.18989898989899
"36",1.18989898989899
"37",1.73384615384615
"38",1.18989898989899
"39",1.73384615384615
"40",1.18989898989899
"41",1.18989898989899
"42",1.18989898989899
"43",1.18989898989899
"44",2.25
"45",1.73384615384615
"46",7.05
"47",1.18989898989899
"48",1.73384615384615
"49",1.18989898989899
"50",1.18989898989899
"51",1.18989898989899
"52",1.73384615384615
"53",1.73384615384615
"54",1.73384615384615
"55",1.18989898989899
"56",1.18989898989899
"57",1.18989898989899
"58",1.18989898989899
"59",7.05
"60",1.18989898989899
"61",1.73384615384615
"62",1.18989898989899
"63",1.18989898989899
"64",1.18989898989899
"65",7.05
"66",1.18989898989899
"67",8.325
"68",1.18989898989899
"69",1.73384615384615
"70",1.18989898989899
"71",1.73384615384615
"72",1.18989898989899
"73",1.18989898989899
"74",1.18989898989899
"75",1.18989898989899
"76",1.73384615384615
"77",1.73384615384615
"78",1.18989898989899
"79",8.325
"80",1.18989898989899
"81",1.73384615384615
"82",2.25
"83",1.18989898989899
"84",1.18989898989899
"85",1.18989898989899
"86",1.73384615384615
"87",1.18989898989899
"88",1.18989898989899
"89",1.18989898989899
"90",1.73384615384615
"91",1.18989898989899
"92",1.18989898989899
"93",1.18989898989899
"94",1.73384615384615
"95",2.25
"96",1.73384615384615
"97",1.73384615384615
"98",1.73384615384615
"99",1.18989898989899
"100",2.25
"101",1.73384615384615
"102",1.73384615384615
"103",1.18989898989899
"104",1.18989898989899
"105",1.18989898989899
"106",1.73384615384615
"107",8.325
"108",1.18989898989899
"109",1.18989898989899
"110",1.73384615384615
"111",1.18989898989899
"112",2.25
"113",1.73384615384615
"114",1.73384615384615
"115",1.18989898989899
"116",1.18989898989899
"117",1.73384615384615
"118",1.73384615384615
"119",1.18989898989899
"120",8.325
"121",1.18989898989899
"122",1.73384615384615
"123",2.25
"124",1.73384615384615
"125",2.25
"126",1.18989898989899
"127",1.18989898989899
"128",7.05
"129",1.73384615384615
"130",1.18989898989899
