1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","small","medium",7.35,10,82.857,6.238,578,1.25,122,2.3,54.4,0,0,0,34.2,8.3,0
"2","spring","medium","high",8.7,12,29.2,0.102,98.182,33.8,284,68.05,0,21.1,2,0,4,0,3.9
"4","spring","small","low",7.74,4.8,1.549,0.461,142,32.5,138.7,0.8,2.4,5.2,0,0,0,1.4,2.9
"5","autumn","small","high",7.75,9.7,5.273,3.561,233.7,58.222,97.58,3.2,4.1,21.5,1.7,0,0,0,0
"6","summer","medium","high",9.1,10,127.833,3.778,58.5,1.333,249.25,28.4,52.4,0,0,1.2,0,12.6,0
"7","spring","medium","medium",8.15,10.3,47.229,3.978,76.667,105,138.5,3.2,1.1,0,2.6,3.9,0,0,0
"8","winter","small","high",7.9,8,9,4.99,90,53.625,771.59998,0.3,24,1.6,3.9,0,15.3,0,0
"9","winter","large","medium",8.1,3.6,151.83299,0.758,122.85,8.692,7,3,5.3,5.4,1,6.9,9.2,0,0
"10","winter","medium","high",7.55,9.9,12.778,1.39,178.57001,55,130.75,0.5,18,1.5,0,2.9,6.4,0,0
"11","spring","large","high",8.35,10.2,64,1.87,56.364,12.75,246.66701,11.84,0,0,0,0,5.2,4.1,0
"13","autumn","medium","high",8.2,9.6,53.333,1.223,21.571,60.833,213,0.3,43.5,0,0,7.8,1.2,8.7,0
"14","summer","large","high",7.2,3.4,5.889,8.759,10,10.8,17,98.817,0,25.4,3.4,0,1.2,17,2.7
"15","summer","medium","high",8.4,10.9,2.111,3.02,46.2,13,388.16699,5.083,16.5,21.6,1.2,5,0,0,6
"16","autumn","large","medium",9.06,8.1,4.7,2.603,14.75,72,171.272,1.1,0,0,3.3,7.7,0,0,0
"17","spring","medium","high",7.78,10.6,53.102,1.415,15,180.66701,120.889,4.5,2.9,0,1,1.9,3.9,21.4,0
"20","winter","medium","medium",8.05,9.8,41.5,1.527,133.636,564.59998,287,3.7,35.5,0,13.6,4.6,10.6,1.6,0
"21","winter","medium","medium",7.8,10.7,3.5,4.825,244.60001,87.333,143.75,16,17.1,0,1.2,1.1,4,11.5,0
"22","spring","small","low",8.3,10.5,22.455,4.053,65.455,15.6,108,21.9,1.9,0,0,2.3,0,0,0
"23","spring","large","medium",9,11.1,173.75,3.245,39,48.667,44.136,7.6,4,6.4,10.6,5.7,27.6,0,0
"24","winter","small","high",8.3,5.3,57.75,1.715,430,151.33299,58.374,1.7,12.7,1,3.5,0,0,0,6.6
"25","winter","small","high",7.84,3.3,63.51,8.543,271.25,10,11.5,5.609,13,8.6,0,0,16.2,0,3.4
"27","spring","large","high",8.7,5.7,12.536,0.866,112.857,44.667,222.286,2,69.9,4.3,0,4.9,6.7,3.9,4.9
"28","autumn","small","high",7.4,8.3,77,0.63,20,144.66701,66.75,9,25.4,5.6,1.7,12.7,2.5,0,4.1
"29","spring","medium","low",8,6.3,0.222,3.908,20,234.5,124.2,0.8,31.1,0,4.1,2.4,0,0,2.5
"30","winter","large","high",7.8,11.7,56.717,2.818,134,25.167,167.89999,2.8,6.7,0,14.6,1.7,0,3.6,3.6
